#blocchi media err var var_err
1 0.501438 0 0.0835406 0
2 0.500841 0.000596754 0.0835041 3.65348e-05
3 0.501149 0.000462409 0.0836178 0.000115705
4 0.50089 0.000417136 0.0834464 0.00018994
5 0.5006 0.000434645 0.0834033 0.000153298
6 0.500454 0.000383628 0.0833938 0.000125533
7 0.500281 0.00036724 0.0833965 0.00010613
8 0.500256 0.000319015 0.083389 9.22184e-05
9 0.500059 0.000343785 0.0834106 8.41561e-05
10 0.500114 0.000312457 0.0834056 7.54369e-05
11 0.499991 0.000308342 0.0833972 6.87482e-05
12 0.499981 0.000281657 0.0834151 6.52431e-05
13 0.499849 0.000290741 0.0834125 6.00699e-05
14 0.49995 0.000287609 0.0834201 5.61368e-05
15 0.49992 0.000269488 0.0833946 5.81705e-05
16 0.499886 0.000254347 0.0833869 5.49559e-05
17 0.499823 0.000247202 0.0833877 5.16283e-05
18 0.499846 0.000234264 0.08338 4.92774e-05
19 0.499912 0.000231086 0.0833728 4.71596e-05
20 0.499899 0.000219589 0.0833525 4.91496e-05
21 0.499929 0.000211044 0.0833482 4.69426e-05
22 0.499986 0.000209151 0.08333 4.83352e-05
23 0.499989 0.000199868 0.0833259 4.63628e-05
24 0.499965 0.000192849 0.0833256 4.43902e-05
25 0.5 0.00018819 0.0833066 4.66439e-05
26 0.500015 0.000181411 0.0833043 4.48718e-05
27 0.499997 0.000175409 0.0832955 4.40641e-05
28 0.499941 0.000178116 0.083293 4.25353e-05
29 0.499956 0.000172468 0.083296 4.11524e-05
30 0.499978 0.000168148 0.0832927 3.98932e-05
31 0.499898 0.000181391 0.0832969 3.88116e-05
32 0.49989 0.000175806 0.0833049 3.84153e-05
33 0.499905 0.000171049 0.0833231 4.14424e-05
34 0.499932 0.000168168 0.0833274 4.04386e-05
35 0.499916 0.000164102 0.0833356 4.01205e-05
36 0.499903 0.000160044 0.083335 3.89959e-05
37 0.499911 0.000155866 0.0833416 3.85097e-05
38 0.499889 0.000153195 0.0833439 3.75508e-05
39 0.499887 0.000149227 0.0833377 3.71003e-05
40 0.499849 0.000150469 0.0833333 3.64213e-05
41 0.499841 0.000146942 0.0833342 3.55325e-05
42 0.499838 0.000143453 0.0833414 3.54167e-05
43 0.499812 0.000142404 0.0833406 3.45933e-05
44 0.499834 0.000140811 0.083347 3.4408e-05
45 0.499834 0.000137648 0.0833462 3.36453e-05
46 0.499821 0.000135225 0.0833512 3.32803e-05
47 0.49982 0.000132326 0.0833519 3.25726e-05
48 0.499833 0.0001302 0.08334 3.40123e-05
49 0.499818 0.000128352 0.08335 3.4777e-05
50 0.499818 0.000125759 0.0833548 3.44122e-05
51 0.499867 0.000132533 0.0833514 3.39087e-05
52 0.49986 0.000130141 0.0833531 3.32933e-05
53 0.499872 0.000128236 0.0833512 3.27126e-05
54 0.499851 0.000127637 0.0833471 3.23671e-05
55 0.499847 0.000125334 0.0833513 3.20525e-05
56 0.499868 0.000124811 0.0833584 3.22717e-05
57 0.499875 0.00012278 0.0833579 3.17048e-05
58 0.499865 0.000121029 0.0833616 3.13732e-05
59 0.49989 0.000121514 0.083354 3.17688e-05
60 0.499891 0.000119478 0.0833567 3.13575e-05
61 0.499898 0.000117701 0.0833501 3.1538e-05
62 0.499926 0.000119031 0.0833541 3.12746e-05
63 0.499937 0.000117653 0.0833588 3.11358e-05
64 0.499942 0.000115909 0.0833575 3.06741e-05
65 0.499938 0.00011419 0.0833563 3.02209e-05
66 0.499938 0.000112448 0.0833554 2.97744e-05
67 0.499933 0.000110859 0.0833514 2.95962e-05
68 0.499941 0.000109459 0.0833552 2.94075e-05
69 0.49995 0.00010824 0.0833519 2.91672e-05
70 0.499936 0.0001076 0.0833535 2.87946e-05
71 0.499959 0.000108622 0.0833512 2.84844e-05
72 0.499966 0.000107346 0.0833534 2.81762e-05
73 0.499976 0.000106299 0.0833573 2.80519e-05
74 0.499972 0.000104924 0.0833552 2.77499e-05
75 0.499965 0.00010375 0.0833579 2.75155e-05
76 0.499966 0.000102378 0.0833576 2.71529e-05
77 0.499983 0.000102519 0.0833518 2.74088e-05
78 0.500012 0.000105327 0.0833566 2.74621e-05
79 0.500011 0.000103994 0.0833526 2.73922e-05
80 0.500008 0.000102718 0.0833478 2.74767e-05
81 0.500015 0.000101634 0.0833474 2.71386e-05
82 0.500023 0.000100735 0.0833476 2.68065e-05
83 0.500006 0.000100895 0.0833419 2.70894e-05
84 0.500003 9.97565e-05 0.0833403 2.68103e-05
85 0.499999 9.86431e-05 0.0833418 2.65338e-05
86 0.500004 9.75957e-05 0.0833398 2.62986e-05
87 0.500009 9.66034e-05 0.0833378 2.60703e-05
88 0.500005 9.55866e-05 0.0833363 2.58175e-05
89 0.500011 9.47265e-05 0.083339 2.56633e-05
90 0.500008 9.37244e-05 0.083333 2.60588e-05
91 0.500007 9.26923e-05 0.0833291 2.60682e-05
92 0.500004 9.17191e-05 0.0833297 2.57896e-05
93 0.499993 9.14221e-05 0.0833281 2.55592e-05
94 0.499996 9.04872e-05 0.0833262 2.53555e-05
95 0.5 8.96252e-05 0.0833263 2.50873e-05
96 0.499997 8.87374e-05 0.0833225 2.51111e-05
97 0.499992 8.79433e-05 0.0833198 2.49962e-05
98 0.500003 8.76411e-05 0.0833197 2.47399e-05
99 0.500026 8.99927e-05 0.0833236 2.47927e-05
100 0.500018 8.95312e-05 0.0833263 2.46917e-05
