#blocchi mean dev
1 3.13136 0
2 3.14005 0.00868898
3 3.14513 0.00714098
4 3.14758 0.00561142
5 3.14655 0.0044669
6 3.1478 0.00385424
7 3.14519 0.00417432
8 3.14573 0.00365613
9 3.14597 0.00323295
10 3.14725 0.00316399
11 3.14615 0.00306721
12 3.14665 0.00284448
13 3.14456 0.00334816
14 3.14433 0.00310803
15 3.14445 0.00289592
16 3.1429 0.00312149
17 3.14398 0.00312506
18 3.14402 0.00294657
19 3.14389 0.00279005
20 3.14295 0.0028096
21 3.1422 0.00277702
22 3.14183 0.00267289
23 3.14148 0.0025783
24 3.14233 0.00261079
25 3.14209 0.00251607
26 3.14263 0.00247877
27 3.14301 0.00241493
28 3.14288 0.00233096
29 3.14312 0.00226225
30 3.14218 0.00237937
31 3.14234 0.00230681
32 3.1418 0.00229637
33 3.14164 0.00223146
34 3.14135 0.00218527
35 3.14086 0.00217698
36 3.14089 0.00211582
37 3.1412 0.00208148
38 3.14088 0.00205031
39 3.14085 0.00199728
40 3.14106 0.00195743
41 3.14108 0.0019092
42 3.14135 0.00188203
43 3.14171 0.00187285
44 3.14155 0.00183605
45 3.14141 0.00180074
46 3.14152 0.00176465
47 3.14163 0.00173015
48 3.14166 0.00169409
49 3.14168 0.0016592
50 3.14186 0.00163594
51 3.14151 0.00164215
52 3.1417 0.00162237
53 3.14127 0.00165
54 3.1409 0.00166077
55 3.14078 0.00163479
56 3.14034 0.00166282
57 3.14029 0.00163429
58 3.14024 0.00160656
59 3.14043 0.00159027
60 3.14049 0.00156481
61 3.1407 0.0015525
62 3.14038 0.00156059
63 3.14031 0.00153719
64 3.14036 0.00151375
65 3.1404 0.00149094
66 3.14041 0.00146822
67 3.14047 0.00144734
68 3.14023 0.00144681
69 3.14023 0.00142571
70 3.14017 0.0014064
71 3.13992 0.00141032
72 3.1401 0.00140321
73 3.14029 0.00139571
74 3.1404 0.00138179
75 3.14045 0.00136407
76 3.14074 0.00137686
77 3.14058 0.0013687
78 3.14037 0.00136717
79 3.14022 0.00135841
80 3.14027 0.00134247
81 3.14043 0.00133548
82 3.14049 0.00132033
83 3.14043 0.00130584
84 3.14032 0.00129449
85 3.14038 0.00128056
86 3.1405 0.00127148
87 3.14064 0.00126475
88 3.14079 0.00125832
89 3.14079 0.0012441
90 3.14103 0.00125391
91 3.14111 0.00124268
92 3.14132 0.00124709
93 3.14132 0.00123362
94 3.14134 0.00122067
95 3.1413 0.00120836
96 3.14139 0.0011988
97 3.14145 0.00118784
98 3.14136 0.00117916
99 3.14111 0.00119206
100 3.1411 0.00118019
