blocchi mean devstd mean_imp devstd_imp
1 0.994718 0 1.00094 0
2 1.00058 0.00414459 1.00083 7.28923e-05
3 0.998646 0.00318245 1.00162 0.000647716
4 0.997135 0.00272178 1.00121 0.000604532
5 0.997344 0.00218539 1.00077 0.00062115
6 0.997691 0.00184854 1.00042 0.000611364
7 0.997399 0.00160736 1.00046 0.000525844
8 0.998299 0.00163944 1.00024 0.00050552
9 0.99837 0.00145881 1.00024 0.000449365
10 0.997298 0.00166074 1.00016 0.000411598
11 0.997416 0.00151392 1.00019 0.000375214
12 0.997434 0.00138787 1.00005 0.000371392
13 0.997129 0.00131436 1.00006 0.000343244
14 0.996065 0.00159375 1.00016 0.000331613
15 0.99658 0.00156862 1.00025 0.00032302
16 0.996827 0.00148984 1.00018 0.00031071
17 0.99729 0.00147229 1.0001 0.000303741
18 0.997715 0.00145059 1.00015 0.000292091
19 0.997514 0.00138804 1.00014 0.000277133
20 0.997316 0.00133277 1.00012 0.000264196
21 0.997089 0.00128844 1.0001 0.000252151
22 0.997193 0.00123406 0.999984 0.000265664
23 0.996981 0.00119839 0.999996 0.000254385
24 0.997496 0.00125404 0.999894 0.000263461
25 0.9976 0.00120825 0.999906 0.00025319
26 0.997842 0.0011857 0.999914 0.00024357
27 0.99811 0.00117163 0.999889 0.000235745
28 0.998004 0.00113455 0.99992 0.000229259
29 0.998132 0.00110264 0.999936 0.000221966
30 0.998397 0.00109712 0.999999 0.000223091
31 0.998863 0.00115645 1.00003 0.000217517
32 0.999082 0.00114094 1.00002 0.000210768
33 0.999184 0.0011109 1.00001 0.000204777
34 0.999085 0.00108259 0.999997 0.000199072
35 0.999168 0.00105483 1.00005 0.000200056
36 0.998927 0.0010528 1.00001 0.000198382
37 0.998876 0.00102559 1.00001 0.000193097
38 0.99881 0.00100073 0.999995 0.000189038
39 0.998924 0.000981601 0.999996 0.000184198
40 0.998935 0.000957125 0.999974 0.00018094
41 0.999044 0.000939914 0.999969 0.00017659
42 0.999235 0.000936768 0.999956 0.000172896
43 0.999496 0.000950758 0.999954 0.000168888
44 0.999413 0.000932796 0.99996 0.000165156
45 0.999487 0.000914968 0.999948 0.00016187
46 0.99944 0.000896282 1 0.000167675
47 0.999564 0.000885796 1.00001 0.000164144
48 0.99942 0.000879004 1.00003 0.000162925
49 0.999441 0.000861325 1.00001 0.000160799
50 0.999495 0.000845786 1 0.00015806
51 0.999454 0.000830205 0.999956 0.000161616
52 0.999524 0.000817172 0.999983 0.000160748
53 0.999468 0.000803646 0.999926 0.000167466
54 0.999581 0.000796619 0.999963 0.000168372
55 0.999664 0.000786465 0.999942 0.000166584
56 0.999738 0.000775887 0.999946 0.000163645
57 0.999821 0.000766752 0.999965 0.000161923
58 0.999852 0.000754154 0.999932 0.000162488
59 0.999822 0.000741985 0.999959 0.000161983
60 0.999781 0.000730727 0.999972 0.000159762
61 0.999955 0.000739019 1.00001 0.000161271
62 1.00011 0.000743038 1.00002 0.000159003
63 1.00023 0.000741688 1.00002 0.00015659
64 1.00031 0.00073435 0.999986 0.000158897
65 1.00034 0.000723568 1.00001 0.000157752
66 1.00019 0.000728382 1.00001 0.00015537
67 1.00012 0.000720466 1 0.000153223
68 1.00012 0.000709897 1.00001 0.000151153
69 1.00005 0.00070287 1.00002 0.000149265
70 1.00006 0.000692936 1.00002 0.000147133
71 1.00004 0.000683416 1.00001 0.000145288
72 1.00011 0.00067732 1 0.000143451
73 1.00022 0.000676639 1.00001 0.000141649
74 1.00012 0.000674696 1.00002 0.000140144
75 1.00019 0.000669212 1.00002 0.000138316
76 1.00025 0.000662996 1.00002 0.000136497
77 1.00027 0.000654785 1.00002 0.000134735
78 1.0003 0.000647195 1 0.000133616
79 1.00024 0.000641982 0.99999 0.000132682
80 1.00021 0.000634861 0.999993 0.000131053
81 1.00022 0.000627072 1.00001 0.000131049
82 1.00025 0.000620511 0.999981 0.000133355
83 1.00024 0.000613143 0.999947 0.000135975
84 1.00022 0.000606373 0.999936 0.000134876
85 1.00014 0.000603802 0.999916 0.000134634
86 1.00013 0.000596856 0.99992 0.000133105
87 1.00015 0.000590227 0.999901 0.000132806
88 1.00015 0.000583521 0.999929 0.000134053
89 1.0002 0.00057894 0.999966 0.000137762
90 1.00032 0.000585572 0.999978 0.000136696
91 1.00033 0.000579298 0.999988 0.000135571
92 1.00028 0.000575089 0.999966 0.000135777
93 1.00029 0.000568911 0.999955 0.000134789
94 1.00031 0.000563499 0.999976 0.000134978
95 1.0002 0.000569326 1 0.000135597
96 1.0003 0.000573112 1.00001 0.000134462
97 1.00019 0.0005783 0.999983 0.000135472
98 1.00023 0.000573893 0.999969 0.000134832
99 1.00025 0.000568334 0.999988 0.000134811
100 1.00023 0.000562844 0.999987 0.000133464
