x_c y_c z_c
0.428334 0.778187 -0.459299
-0.979412 0.141811 -0.143669
0.814688 0.48879 -0.312037
-0.511283 0.534305 -0.673133
0.741719 0.099092 0.663351
-0.181876 0.979035 -0.0917158
-0.426141 -0.245481 0.870714
0.0834236 0.785343 0.613414
0.0379553 -0.998408 0.0417242
-0.0423018 0.852224 0.521464
-0.837182 -0.494518 -0.233619
0.632356 0.368386 0.681482
0.025454 -0.999669 -0.00371557
-0.377744 -0.888275 0.261299
0.210362 0.910203 -0.35676
0.676153 0.642667 -0.360274
0.239586 -0.377501 0.894478
0.0335914 -0.338035 -0.940534
0.545801 -0.0184899 -0.837711
0.102806 -0.244771 0.964115
0.853749 0.298187 -0.426846
0.975319 -0.0892575 0.201956
-0.00855274 0.997048 -0.0763005
-0.151949 0.0177138 0.98823
0.632241 0.0712442 0.771489
-0.0394001 0.693844 0.719047
0.560944 0.643507 0.520808
-0.0074211 -0.960487 -0.278225
0.506438 0.788109 -0.349863
-0.758657 0.55184 0.346283
-0.548424 0.826619 0.126226
0.565267 -0.823208 -0.0529277
0.554939 -0.727574 -0.403335
-0.091198 0.478984 -0.873074
0.575444 -0.292235 -0.763847
0.041832 -0.205742 0.977712
0.565038 -0.673046 -0.477222
-0.0459056 0.699248 -0.713404
0.837377 0.517583 -0.175807
-0.128172 -0.436938 -0.890313
0.0245439 -0.38839 0.921168
0.229578 0.973262 0.00742792
0.461496 -0.0223122 0.886861
0.449012 0.272871 -0.850841
0.737431 0.60145 0.307332
-0.454745 0.174971 -0.873265
0.510725 0.162964 0.844158
0.76483 -0.538419 -0.353751
-0.473985 -0.620116 0.625136
0.62898 0.24942 0.736325
-0.517225 0.496693 0.696975
0.380598 -0.759127 -0.528083
0.773059 -0.625145 0.107579
-0.704222 -0.500958 0.503103
-0.949804 0.312732 0.00838124
-0.449423 0.550261 0.703727
-0.156268 0.770414 -0.618096
-0.312454 -0.927921 -0.203309
-0.00977179 -0.0128386 0.99987
-0.272312 0.908184 -0.317879
-0.42616 -0.459661 0.779166
-0.382636 0.249513 -0.889569
0.429628 -0.473552 -0.768875
0.852665 -0.165798 0.495453
0.503326 -0.625096 -0.596589
-0.525823 -0.482362 0.700598
-0.241889 0.966975 -0.0803077
-0.386125 -0.633586 0.67043
0.987546 0.0532452 0.148046
0.0910601 0.34335 0.934783
0.273123 0.961647 -0.025285
-0.970482 -0.124503 -0.206551
-0.535701 -0.246857 -0.807519
-0.25948 0.947193 -0.1884
0.254228 0.463846 0.848655
