x_d y_d z_d x_c y_c z_c
0 0 0 0 0 0
1 0 0 0.428334 0.778187 -0.459299
1 0 -1 0.252529 1.30926 -1.28819
1 0 0 1.23126 1.51428 -1.29479
1 0 -1 1.57642 0.65541 -0.916351
2 0 -1 0.85363 0.48574 -1.58627
2 0 0 0.656562 -0.478325 -1.76443
2 -1 0 0.655333 -1.03327 -0.932549
2 0 0 0.839816 -0.859567 0.0348146
2 0 -1 1.2662 -1.65443 -0.396915
3 0 -1 1.58038 -2.58623 -0.215132
2 0 -1 0.828217 -3.17419 0.0824239
2 0 0 0.947519 -2.20945 0.317048
2 1 0 0.951573 -1.84054 -0.612407
2 0 0 1.55842 -1.22546 -0.10901
2 0 -1 2.39842 -1.30118 0.428273
3 0 -1 1.59181 -1.88035 0.310185
3 0 0 1.83529 -2.03832 1.26714
3 1 0 2.4183 -2.75011 1.65887
4 1 0 2.63266 -3.10269 2.56977
5 1 0 1.76903 -3.07295 2.06651
5 1 -1 1.70159 -2.11569 1.78523
5 1 0 1.49609 -1.68572 0.906092
5 1 1 0.968969 -0.960161 0.463696
5 1 2 1.21826 -1.69467 -0.167454
5 0 2 1.90382 -1.5595 -0.882812
5 -1 2 2.20589 -1.48387 0.0674713
5 0 2 2.83885 -0.710598 0.0298635
5 0 1 2.37486 0.120488 0.336469
5 1 1 1.768 -0.669491 0.423961
5 1 2 1.48261 0.109262 -0.134698
5 1 1 2.25939 -0.242422 0.387734
6 1 1 1.6141 -0.857247 0.84115
7 1 1 1.85546 -0.426428 -0.0284119
7 2 1 1.91408 0.204516 0.745199
7 2 2 1.87346 -0.2564 -0.141315
8 2 2 1.8755 0.187915 -1.03718
8 3 2 1.8352 -0.132089 -1.98374
8 4 2 1.41732 0.774344 -1.92243
9 4 2 0.679546 0.616439 -1.26611
8 4 2 0.103036 -0.0458504 -1.74466
8 3 2 -0.843599 0.207163 -1.54499
9 3 2 -1.58178 0.28808 -0.875257
9 3 3 -2.49825 0.532329 -1.19217
9 2 3 -2.89336 1.05948 -0.439834
8 2 3 -2.08433 0.565229 -0.75795
8 3 3 -2.60629 -0.101825 -0.226353
8 3 4 -3.59221 0.0349872 -0.322567
9 3 4 -2.79043 -0.36461 0.121821
9 3 5 -1.95905 -0.293378 -0.429301
9 2 5 -1.85766 -1.13117 -0.965789
10 2 5 -2.42462 -1.41692 -0.193196
10 3 5 -1.98374 -0.811143 0.469114
11 3 5 -2.73607 -0.693183 -0.179035
11 3 4 -3.50314 -0.314179 -0.696685
11 2 4 -3.79401 -0.168925 -1.64236
11 2 3 -3.26209 -0.639122 -0.938099
10 2 3 -3.31255 -1.25123 -1.72726
10 2 2 -2.73592 -2.05913 -1.6056
11 2 2 -3.40162 -2.49014 -2.21476
11 3 2 -3.673 -2.20182 -1.29649
11 3 1 -4.45603 -1.5913 -1.41539
11 3 2 -5.11585 -1.5205 -0.667311
11 3 1 -4.73526 -0.60531 -0.799898
11 2 1 -3.87289 -0.448293 -1.28122
11 1 1 -3.38046 0.0943674 -1.96168
11 2 1 -2.4427 0.41941 -2.08395
11 2 2 -1.7117 0.780241 -1.50478
11 3 2 -1.57938 -0.12556 -1.10227
11 4 2 -1.05591 0.651777 -1.45117
10 4 2 -0.403196 1.2144 -1.95854
10 4 3 -0.988459 1.09857 -2.76106
9 4 3 -0.602014 0.176887 -2.79518
8 4 3 -0.131187 0.616629 -3.56
8 5 3 0.605903 1.19035 -3.20287
9 5 3 -0.235332 1.46849 -3.66651
10 5 3 0.144625 1.37659 -2.74608
10 4 3 -0.742444 1.00068 -3.01404
10 4 2 0.0702858 0.523434 -2.67981
11 4 2 0.543226 0.527559 -3.5609
11 4 3 0.11615 0.685473 -4.45122
11 4 4 0.658269 -0.137617 -4.28201
11 4 3 1.52494 -0.537786 -4.57992
10 4 3 1.99146 -1.38435 -4.83623
10 3 3 2.23002 -0.685676 -5.51073
10 4 3 1.29397 -1.03746 -5.50287
10 4 2 0.598818 -1.52353 -6.03248
10 5 2 0.555026 -1.83611 -6.98137
10 5 3 0.177606 -2.75374 -6.85689
10 5 2 -0.432343 -2.70193 -7.64763
10 6 2 -1.13902 -2.5787 -6.95091
11 6 2 -0.96651 -2.95546 -7.86101
12 6 2 -0.723803 -2.05292 -8.21668
13 6 2 -0.0139595 -1.96491 -8.91552
13 7 2 0.124837 -2.54447 -8.1125
14 7 2 0.195121 -1.55378 -8.22908
14 7 3 -0.144218 -2.39533 -7.80878
14 7 4 0.565631 -1.96265 -8.36458
14 7 3 0.113504 -1.96087 -7.47262
13 7 3 -0.317574 -1.05856 -7.47644
14 7 3 0.284327 -1.04278 -8.27486
14 8 3 -0.438155 -1.51853 -8.77653
