step mean_d devstd_d mean_c devstd_c
0 0 0 0 0
1 1 0 1 0
2 1.40813 0.00443206 1.41433 0.00416918
3 1.73481 0.00567601 1.73144 0.00548416
4 1.99289 0.00707614 1.9913 0.00662918
5 2.24113 0.00857115 2.22211 0.00803697
6 2.44232 0.0091 2.43376 0.00929886
7 2.64364 0.0103838 2.6367 0.0100676
8 2.82544 0.0120474 2.81513 0.0113772
9 2.98375 0.0133567 2.99041 0.0115064
10 3.1461 0.0135949 3.15248 0.0128316
11 3.29705 0.014582 3.30019 0.0139903
12 3.45054 0.0148231 3.44757 0.0139146
13 3.58823 0.0152944 3.59175 0.0152539
14 3.72232 0.0162806 3.72305 0.015473
15 3.85189 0.0166073 3.85208 0.0156332
16 3.977 0.0170518 3.98157 0.0161299
17 4.08892 0.016702 4.10346 0.0168067
18 4.21213 0.0168965 4.22653 0.0177658
19 4.33319 0.0182401 4.34681 0.0181967
20 4.44975 0.019061 4.46175 0.0189376
21 4.56066 0.0192885 4.58003 0.019194
22 4.66967 0.0200013 4.6895 0.0197049
23 4.77756 0.0200879 4.78503 0.0197512
24 4.88868 0.0195978 4.88108 0.0203787
25 4.98302 0.0196172 4.98145 0.0202878
26 5.08139 0.0200193 5.08264 0.0217122
27 5.17931 0.019733 5.18488 0.0216633
28 5.27478 0.0198645 5.27042 0.0214648
29 5.37341 0.0203993 5.36028 0.0209042
30 5.46567 0.0218223 5.45112 0.0220626
31 5.55961 0.0225719 5.54651 0.0233535
32 5.63746 0.0236274 5.6292 0.0239556
33 5.71966 0.0247561 5.71707 0.02443
34 5.79391 0.0254902 5.79951 0.0247906
35 5.88747 0.0259334 5.89586 0.0252314
36 5.98275 0.0258346 5.97537 0.0247619
37 6.07015 0.0255212 6.05674 0.024382
38 6.15506 0.0251863 6.13941 0.0243051
39 6.2292 0.0247561 6.22082 0.0245159
40 6.30021 0.0245998 6.29832 0.0247138
41 6.3803 0.024313 6.37274 0.0250466
42 6.46445 0.0260125 6.44674 0.0255038
43 6.54531 0.0266004 6.53368 0.0271718
44 6.61481 0.0261742 6.61227 0.0272013
45 6.68384 0.026958 6.68834 0.0273759
46 6.75742 0.0288171 6.75976 0.0282182
47 6.82333 0.0290868 6.8277 0.0289803
48 6.89357 0.0294103 6.89692 0.0295479
49 6.97446 0.0298205 6.97273 0.0294425
50 7.04787 0.0297618 7.03158 0.0305182
51 7.11226 0.0302993 7.09303 0.0300053
52 7.1825 0.0307938 7.16274 0.0307464
53 7.26179 0.0308015 7.23311 0.0318436
54 7.33626 0.0315649 7.29715 0.0327303
55 7.41084 0.0305931 7.37121 0.0329381
56 7.4941 0.0304731 7.44265 0.0326835
57 7.57054 0.0307665 7.51487 0.0331001
58 7.62895 0.0304952 7.57949 0.0333821
59 7.70018 0.0311566 7.64145 0.0338926
60 7.76267 0.0312049 7.69491 0.0331621
61 7.82113 0.0315986 7.76808 0.033687
62 7.88391 0.0319087 7.84293 0.0335061
63 7.94358 0.0322155 7.90773 0.0340148
64 8.01927 0.0322562 7.97649 0.0335989
65 8.08694 0.0319388 8.0355 0.0335122
66 8.14947 0.031634 8.09513 0.0333458
67 8.215 0.0322423 8.15663 0.0333897
68 8.27245 0.0328706 8.21681 0.0337739
69 8.33348 0.0324828 8.28473 0.0353815
70 8.39318 0.0324803 8.35017 0.0350413
71 8.44623 0.0332207 8.40498 0.0350943
72 8.50328 0.0329901 8.46821 0.0348949
73 8.56207 0.0335099 8.541 0.0352227
74 8.62085 0.03372 8.58918 0.0357101
75 8.67823 0.0336124 8.64348 0.0364962
76 8.73739 0.0339633 8.69519 0.0367098
77 8.79349 0.0347185 8.75921 0.0367396
78 8.83516 0.0358284 8.81883 0.0372332
79 8.88815 0.036434 8.88874 0.0371359
80 8.94851 0.0368841 8.95244 0.0377317
81 9.0001 0.0386021 9.00644 0.0367438
82 9.05928 0.0390908 9.05578 0.0355633
83 9.1075 0.0401474 9.10683 0.0356683
84 9.15947 0.0397089 9.16439 0.0361416
85 9.22682 0.0394404 9.22544 0.0366262
86 9.27216 0.0389901 9.27692 0.0365156
87 9.33619 0.0393905 9.33043 0.0367489
88 9.39391 0.0386666 9.37995 0.0375199
89 9.44486 0.0385942 9.43317 0.0381686
90 9.4998 0.0391351 9.48718 0.0392876
91 9.55205 0.0397125 9.53641 0.0397855
92 9.60194 0.0396077 9.59179 0.0399852
93 9.64493 0.0409281 9.64624 0.0394851
94 9.69118 0.0412981 9.69074 0.0395814
95 9.73941 0.0420788 9.74224 0.0396025
96 9.78277 0.0428713 9.80724 0.039189
97 9.84863 0.0432379 9.8535 0.0400854
98 9.89458 0.043446 9.90489 0.0406222
99 9.94804 0.0435743 9.948 0.0413429
100 9.98709 0.0439323 9.99697 0.0411124
101 10.0431 0.0442427 10.0488 0.0410157
