block mean_dir devstd_dir mean_dis devstd_dis
1 14.8735 0 14.9679 0
2 14.9051 0.0223453 14.9386 0.0207088
3 14.9138 0.0165084 14.9384 0.0138067
4 14.9212 0.0139485 14.9491 0.0138773
5 14.9417 0.0214536 14.9662 0.0188981
6 14.9421 0.0178821 14.9618 0.0162441
7 14.9623 0.0241104 14.9539 0.0157627
8 14.958 0.0214743 14.9475 0.0150248
9 14.9583 0.0190911 14.9476 0.0133561
10 14.9677 0.0193581 14.9491 0.0120991
11 14.969 0.0176421 14.9553 0.0124779
12 14.9705 0.0162306 14.9594 0.0120997
13 14.9664 0.0154863 14.9604 0.0112075
14 14.9667 0.0143834 14.9547 0.0117596
15 14.962 0.0141538 14.9566 0.0111338
16 14.9681 0.0144931 14.9562 0.0104449
17 14.9648 0.0139999 14.9603 0.0106155
18 14.9655 0.0132369 14.9627 0.0102846
19 14.963 0.0127615 14.9636 0.00978049
20 14.9644 0.0121937 14.9645 0.00933006
21 14.9669 0.0118716 14.9636 0.00892419
22 14.9613 0.0125722 14.9659 0.00881876
23 14.9664 0.0129905 14.9665 0.00845239
24 14.9668 0.012456 14.9665 0.00810025
25 14.9619 0.0128677 14.9632 0.00843561
26 14.9623 0.0123774 14.9636 0.00812264
27 14.9628 0.0119315 14.965 0.0079442
28 14.9636 0.0115299 14.9648 0.00766419
29 14.9662 0.0114226 14.9638 0.00745912
30 14.9633 0.0114016 14.9646 0.00724537
31 14.9636 0.0110375 14.9634 0.00709878
32 14.9623 0.0107729 14.9619 0.00703966
33 14.9615 0.0104708 14.9633 0.00696168
34 14.9615 0.0101629 14.9602 0.00741421
35 14.9587 0.0102587 14.9576 0.00762622
36 14.9593 0.00998901 14.9588 0.00750097
37 14.9622 0.0101456 14.9593 0.00731249
38 14.9606 0.00999998 14.9604 0.00720062
39 14.9614 0.0097735 14.9601 0.00701973
40 14.964 0.00987067 14.961 0.00689645
41 14.9638 0.00963209 14.959 0.00701743
42 14.9647 0.00944234 14.9595 0.00686761
43 14.9637 0.00927286 14.9609 0.00685841
44 14.9644 0.00908978 14.9615 0.00672779
45 14.9628 0.00903688 14.9634 0.00684997
46 14.9639 0.00891413 14.9612 0.00703723
47 14.9631 0.0087613 14.9607 0.00690543
48 14.9623 0.0086192 14.9602 0.00678164
49 14.9635 0.00853314 14.9619 0.00683774
50 14.9635 0.00836251 14.9612 0.00673157
51 14.9638 0.00820142 14.9601 0.00668646
52 14.9647 0.00809881 14.961 0.00661406
53 14.9644 0.00795312 14.9617 0.00653281
54 14.9648 0.00781863 14.9598 0.00668299
55 14.9654 0.0076948 14.9608 0.00662825
56 14.9644 0.00761478 14.9623 0.00668037
57 14.9661 0.00766553 14.9612 0.00665478
58 14.9661 0.0075334 14.9632 0.00683857
59 14.9657 0.00741314 14.9634 0.00672553
60 14.9661 0.00730049 14.9649 0.00678515
61 14.9671 0.00724431 14.9645 0.00669098
62 14.9682 0.00720459 14.9644 0.00658354
63 14.9682 0.00709023 14.9647 0.00648554
64 14.9692 0.00705729 14.9659 0.00650078
65 14.9693 0.00694879 14.9673 0.00655403
66 14.9691 0.00684628 14.9664 0.00651329
67 14.9676 0.00689034 14.9676 0.00652139
68 14.9682 0.006814 14.9683 0.00646279
69 14.968 0.00671991 14.9699 0.00655452
70 14.9686 0.00665381 14.97 0.0064619
71 14.9708 0.00690452 14.9681 0.0066543
72 14.9722 0.00696165 14.9688 0.00660115
73 14.9732 0.0069345 14.9683 0.00652862
74 14.9726 0.00686481 14.9688 0.0064597
75 14.9721 0.00679127 14.968 0.00642465
76 14.9703 0.00694708 14.9689 0.00640207
77 14.971 0.0068969 14.9687 0.00632056
78 14.9702 0.00686384 14.9685 0.00624375
79 14.9696 0.00679691 14.9689 0.00617418
80 14.97 0.0067201 14.9696 0.00613777
81 14.9717 0.00684556 14.9694 0.00606496
82 14.9717 0.00676209 14.969 0.00599985
83 14.9707 0.00674867 14.9696 0.0059548
84 14.9713 0.0066917 14.9708 0.00599656
85 14.972 0.0066469 14.9718 0.00601246
86 14.9725 0.00659053 14.9729 0.00603626
87 14.972 0.00653491 14.9726 0.00597187
88 14.9725 0.00647869 14.9733 0.00594019
89 14.9738 0.00654914 14.9739 0.0059019
90 14.9735 0.00648218 14.975 0.00595065
91 14.973 0.00643369 14.9753 0.00588936
92 14.9732 0.00636694 14.9761 0.00588097
93 14.9734 0.00630069 14.9763 0.00582126
94 14.9726 0.00628594 14.9754 0.00581662
95 14.9727 0.00622138 14.9752 0.00576264
96 14.973 0.00616407 14.975 0.00570379
97 14.9722 0.00615076 14.9755 0.00566614
98 14.9727 0.00610763 14.9762 0.00564554
99 14.9725 0.00604812 14.9758 0.00560005
100 14.974 0.006154 14.9769 0.00563805
