block mean_dir devstd_dir mean_dis devstd_dis
1 5.42252 0 5.46967 0
2 5.45828 0.0252879 5.44664 0.0162882
3 5.45707 0.0168875 5.45454 0.0126312
4 5.4484 0.0147233 5.45907 0.0102531
5 5.45132 0.0120647 5.46347 0.00910056
6 5.44796 0.0105126 5.45952 0.00840107
7 5.45148 0.00958478 5.45857 0.00725407
8 5.45436 0.00880732 5.46212 0.00716527
9 5.44882 0.00940811 5.4605 0.00654942
10 5.44919 0.00847447 5.45967 0.00594683
11 5.45106 0.00790693 5.46267 0.00611401
12 5.45368 0.00766958 5.46617 0.00653132
13 5.45581 0.00737077 5.46446 0.00624941
14 5.45672 0.00689992 5.46262 0.0060672
15 5.45654 0.00644217 5.45857 0.00688542
16 5.45505 0.00621073 5.45913 0.00647802
17 5.45429 0.00589198 5.45852 0.00612511
18 5.4552 0.00563485 5.45868 0.00578671
19 5.45626 0.00543792 5.45857 0.00548306
20 5.45603 0.00517093 5.45709 0.00540565
21 5.45501 0.00502478 5.45751 0.00516413
22 5.45726 0.00527813 5.45895 0.00512646
23 5.45768 0.00506513 5.45976 0.00496733
24 5.45629 0.00504303 5.4606 0.00483182
25 5.45595 0.00485271 5.46149 0.00471929
26 5.45766 0.00496021 5.46002 0.0047608
27 5.45662 0.00488431 5.45864 0.00478144
28 5.45627 0.00472277 5.45796 0.00465804
29 5.45824 0.00495397 5.45813 0.00450035
30 5.45843 0.00479241 5.45775 0.00436607
31 5.45824 0.00464127 5.45701 0.0042881
32 5.45743 0.00456694 5.45649 0.00418484
33 5.45868 0.00459758 5.45644 0.00405841
34 5.46004 0.00465759 5.45746 0.0040651
35 5.45925 0.0045905 5.45764 0.00395295
36 5.4586 0.00450913 5.4584 0.00391532
37 5.45813 0.00441148 5.46007 0.00415159
38 5.45811 0.00429546 5.45898 0.00418177
39 5.45827 0.00418827 5.45829 0.00413201
40 5.45858 0.00409561 5.45828 0.00402872
41 5.45781 0.00406751 5.45777 0.00396225
42 5.45671 0.00411702 5.45776 0.00386793
43 5.45605 0.00407382 5.45841 0.00383117
44 5.4573 0.00416746 5.4581 0.00375637
45 5.45777 0.00410115 5.45821 0.0036744
46 5.4575 0.00402061 5.45918 0.00372025
47 5.45721 0.0039454 5.45968 0.00367475
48 5.45706 0.00386628 5.45916 0.00363478
49 5.45843 0.00402431 5.45859 0.00360507
50 5.45859 0.00394687 5.45863 0.00353319
51 5.45759 0.00399475 5.45817 0.003493
52 5.45759 0.00391793 5.45817 0.00342583
53 5.45811 0.00387806 5.45852 0.00337937
54 5.45815 0.00380644 5.45892 0.00334065
55 5.45819 0.00373747 5.45903 0.00328165
56 5.45788 0.0036833 5.4586 0.00325073
57 5.45744 0.00364482 5.45871 0.00319555
58 5.45754 0.00358318 5.45871 0.00314046
59 5.45804 0.00355712 5.45959 0.00320842
60 5.45816 0.00349984 5.45978 0.00316041
61 5.45818 0.00344257 5.45936 0.00313714
62 5.45777 0.00341214 5.45931 0.00308686
63 5.45778 0.00335798 5.45906 0.00304775
64 5.45737 0.00332975 5.45866 0.0030267
65 5.45727 0.00328011 5.45872 0.00298065
66 5.45696 0.00324493 5.45927 0.00298711
67 5.45639 0.00324691 5.46006 0.00304356
68 5.45685 0.00323182 5.45971 0.00301849
69 5.45698 0.00318783 5.46029 0.00303059
70 5.45689 0.00314352 5.45984 0.00302096
71 5.45602 0.00321726 5.45953 0.00299384
72 5.45547 0.00321959 5.46019 0.00302386
73 5.45624 0.00326461 5.46044 0.00299271
74 5.45637 0.00322347 5.45968 0.00304763
75 5.45564 0.0032621 5.45921 0.0030428
76 5.45506 0.00327133 5.45929 0.00300364
77 5.45585 0.00332357 5.4588 0.00300343
78 5.45617 0.0032964 5.45876 0.0029652
79 5.45722 0.00341607 5.45886 0.0029295
80 5.45732 0.00337497 5.45851 0.0029141
81 5.45748 0.00333713 5.45844 0.00287907
82 5.45771 0.00330449 5.45803 0.00287243
83 5.45815 0.00329292 5.45836 0.00285647
84 5.45874 0.00330583 5.45796 0.00285063
85 5.45899 0.0032764 5.45786 0.00281887
86 5.45975 0.0033265 5.45817 0.00280361
87 5.45954 0.00329475 5.45798 0.00277795
88 5.45989 0.00327532 5.45853 0.00279966
89 5.45979 0.00324011 5.45882 0.00278396
90 5.4604 0.00326225 5.45874 0.00275416
91 5.46112 0.00330487 5.45845 0.00273973
92 5.4612 0.00326988 5.45849 0.00271023
93 5.461 0.00324063 5.45887 0.00270817
94 5.46132 0.00322105 5.4586 0.00269276
95 5.46215 0.00329228 5.4586 0.00266441
96 5.46187 0.00326959 5.45817 0.00267216
97 5.46164 0.00324353 5.45773 0.00267964
98 5.46106 0.00326239 5.45753 0.00265999
99 5.46131 0.00323908 5.45826 0.00273146
100 5.46078 0.00324994 5.4584 0.00270773
