#BLOCK ACTUAL AVE ERROR
1 1.61763 1.61763 0
2 1.61711 1.61737 0.000186635
3 1.61719 1.61731 0.000133476
4 1.6172 1.61728 0.000102777
5 1.61715 1.61726 8.55587e-05
6 1.61721 1.61725 7.1657e-05
7 1.6171 1.61723 6.45777e-05
8 1.61697 1.6172 6.39549e-05
9 1.61709 1.61718 5.79052e-05
10 1.61701 1.61717 5.47519e-05
11 1.61708 1.61716 5.03727e-05
12 1.61712 1.61715 4.62644e-05
13 1.61711 1.61715 4.28334e-05
14 1.61716 1.61715 3.97751e-05
15 1.61723 1.61716 3.74516e-05
16 1.61721 1.61716 3.52398e-05
17 1.61723 1.61716 3.34287e-05
18 1.61728 1.61717 3.22126e-05
19 1.61726 1.61718 3.08885e-05
20 1.61708 1.61717 2.97297e-05
21 1.6171 1.61717 2.85275e-05
22 1.61709 1.61716 2.74389e-05
23 1.61702 1.61716 2.69684e-05
24 1.61708 1.61715 2.60361e-05
25 1.61713 1.61715 2.50066e-05
26 1.61718 1.61715 2.40607e-05
27 1.61714 1.61715 2.31747e-05
28 1.61715 1.61715 2.23471e-05
29 1.61708 1.61715 2.17271e-05
30 1.61709 1.61715 2.10955e-05
31 1.6171 1.61715 2.04812e-05
32 1.61703 1.61714 2.01772e-05
33 1.61699 1.61714 2.01227e-05
34 1.61707 1.61714 1.96276e-05
35 1.6172 1.61714 1.91525e-05
36 1.61712 1.61714 1.8626e-05
37 1.61708 1.61714 1.81946e-05
38 1.61701 1.61713 1.8006e-05
39 1.61695 1.61713 1.81219e-05
40 1.61704 1.61713 1.78118e-05
41 1.61709 1.61713 1.73991e-05
42 1.61712 1.61713 1.69854e-05
43 1.61713 1.61713 1.65913e-05
44 1.6171 1.61713 1.62248e-05
45 1.61703 1.61712 1.6016e-05
46 1.61703 1.61712 1.58065e-05
47 1.61692 1.61712 1.6021e-05
48 1.61699 1.61711 1.5912e-05
49 1.61699 1.61711 1.57985e-05
50 1.61701 1.61711 1.56026e-05
51 1.61708 1.61711 1.53057e-05
52 1.61722 1.61711 1.51721e-05
53 1.61725 1.61711 1.51231e-05
54 1.61713 1.61711 1.48465e-05
55 1.61716 1.61711 1.45971e-05
56 1.61723 1.61712 1.44796e-05
57 1.61709 1.61712 1.4236e-05
58 1.61709 1.61712 1.39985e-05
59 1.61706 1.61711 1.37894e-05
60 1.61705 1.61711 1.35985e-05
61 1.61703 1.61711 1.3452e-05
62 1.61701 1.61711 1.33372e-05
63 1.61703 1.61711 1.31822e-05
64 1.61712 1.61711 1.29766e-05
65 1.61713 1.61711 1.27827e-05
66 1.61714 1.61711 1.25998e-05
67 1.61716 1.61711 1.24348e-05
68 1.61726 1.61711 1.24464e-05
69 1.61721 1.61712 1.23498e-05
70 1.61714 1.61712 1.21807e-05
71 1.61722 1.61712 1.20912e-05
72 1.6173 1.61712 1.21767e-05
73 1.61724 1.61712 1.21248e-05
74 1.61725 1.61712 1.20938e-05
75 1.61719 1.61712 1.19635e-05
76 1.61723 1.61713 1.1881e-05
77 1.61718 1.61713 1.17478e-05
78 1.61718 1.61713 1.16216e-05
79 1.61717 1.61713 1.14859e-05
80 1.61718 1.61713 1.13631e-05
81 1.6171 1.61713 1.12276e-05
82 1.61715 1.61713 1.10942e-05
83 1.61726 1.61713 1.10697e-05
84 1.61716 1.61713 1.09442e-05
85 1.61713 1.61713 1.08155e-05
86 1.61706 1.61713 1.07192e-05
87 1.61707 1.61713 1.06146e-05
88 1.61708 1.61713 1.05056e-05
89 1.61711 1.61713 1.03889e-05
90 1.61703 1.61713 1.03354e-05
91 1.61699 1.61712 1.03251e-05
92 1.61706 1.61712 1.02374e-05
93 1.61702 1.61712 1.01863e-05
94 1.61708 1.61712 1.0088e-05
95 1.61704 1.61712 1.00159e-05
96 1.61716 1.61712 9.92119e-06
97 1.61715 1.61712 9.8238e-06
98 1.61718 1.61712 9.74296e-06
99 1.61707 1.61712 9.65874e-06
100 1.617 1.61712 9.63675e-06
101 1.61708 1.61712 9.54961e-06
102 1.61723 1.61712 9.52071e-06
103 1.6173 1.61712 9.59036e-06
104 1.61716 1.61712 9.50623e-06
105 1.61713 1.61712 9.4157e-06
106 1.6173 1.61713 9.46655e-06
107 1.6171 1.61713 9.38227e-06
108 1.61702 1.61712 9.34436e-06
109 1.61717 1.61713 9.26913e-06
110 1.61717 1.61713 9.19448e-06
111 1.61719 1.61713 9.13008e-06
112 1.61721 1.61713 9.0828e-06
113 1.61722 1.61713 9.043e-06
114 1.61717 1.61713 8.97268e-06
115 1.6172 1.61713 8.91461e-06
116 1.61716 1.61713 8.84263e-06
117 1.61721 1.61713 8.79589e-06
118 1.61727 1.61713 8.79852e-06
119 1.61725 1.61713 8.7821e-06
120 1.61738 1.61713 8.95189e-06
121 1.61726 1.61714 8.93964e-06
122 1.61729 1.61714 8.95244e-06
123 1.61716 1.61714 8.88151e-06
124 1.61724 1.61714 8.84622e-06
125 1.61717 1.61714 8.78031e-06
126 1.61705 1.61714 8.73738e-06
127 1.61717 1.61714 8.67343e-06
128 1.61706 1.61714 8.62525e-06
129 1.61716 1.61714 8.56094e-06
130 1.61726 1.61714 8.54693e-06
131 1.61727 1.61714 8.54256e-06
132 1.61721 1.61714 8.49718e-06
133 1.61733 1.61714 8.55952e-06
134 1.61719 1.61714 8.50441e-06
135 1.61719 1.61714 8.44869e-06
136 1.61707 1.61714 8.40228e-06
137 1.61717 1.61714 8.34357e-06
138 1.61708 1.61714 8.29639e-06
139 1.61704 1.61714 8.27033e-06
140 1.61696 1.61714 8.31612e-06
141 1.61698 1.61714 8.32924e-06
