#BLOCK ACTUAL AVE ERROR
1 0.048802 0.048802 0
2 0.0523881 0.050595 0.00126786
3 0.0559156 0.0523686 0.0016767
4 0.0574316 0.0536343 0.00166822
5 0.0594802 0.0548035 0.00169549
6 0.0596657 0.0556139 0.00159485
7 0.059152 0.0561193 0.00144489
8 0.0598494 0.0565856 0.0013374
9 0.0603063 0.056999 0.00125106
10 0.0595367 0.0572528 0.00115141
11 0.0599252 0.0574957 0.00107206
12 0.0588063 0.0576049 0.000988268
13 0.0578911 0.0576269 0.000912492
14 0.057304 0.0576039 0.000847606
15 0.0581642 0.0576412 0.000791922
16 0.0588535 0.057717 0.000746043
17 0.0598432 0.0578421 0.000712565
18 0.0591309 0.0579137 0.000676566
19 0.059849 0.0580155 0.00064858
20 0.0605304 0.0581413 0.000628222
21 0.0596439 0.0582128 0.000602368
22 0.0590317 0.05825 0.000576136
23 0.0588453 0.0582759 0.000551668
24 0.0606026 0.0583729 0.000537133
25 0.0608119 0.0584704 0.000524433
26 0.061002 0.0585678 0.000513222
27 0.060718 0.0586474 0.000500354
28 0.0623178 0.0587785 0.00049936
29 0.0612821 0.0588649 0.000489546
30 0.0611762 0.0589419 0.000479252
31 0.0616742 0.05903 0.000471827
32 0.0625208 0.0591391 0.000469524
33 0.0618802 0.0592222 0.000462585
34 0.0605132 0.0592602 0.000450536
35 0.0584402 0.0592367 0.000438272
36 0.0584728 0.0592155 0.000426611
37 0.0602586 0.0592437 0.000416011
38 0.0610207 0.0592905 0.000407684
39 0.0603385 0.0593173 0.000398115
40 0.0596234 0.059325 0.000388236
41 0.0615548 0.0593794 0.000382557
42 0.0610947 0.0594202 0.000375622
43 0.0610612 0.0594584 0.00036882
44 0.0609403 0.0594921 0.000361972
45 0.0621462 0.059551 0.000358702
46 0.0624311 0.0596137 0.000356326
47 0.0634675 0.0596957 0.000358055
48 0.0620622 0.059745 0.000353974
49 0.0628417 0.0598082 0.000352346
50 0.0621476 0.0598549 0.000348392
51 0.0617723 0.0598925 0.000343583
52 0.0620597 0.0599342 0.000339494
53 0.0631737 0.0599953 0.000338546
54 0.063607 0.0600622 0.000338819
55 0.0625224 0.0601069 0.000335599
56 0.0624956 0.0601496 0.000332305
57 0.0620745 0.0601834 0.000328187
58 0.0638551 0.0602467 0.000328578
59 0.0623327 0.060282 0.000324905
60 0.0611039 0.0602957 0.000319779
61 0.0612428 0.0603113 0.000314913
62 0.060058 0.0603072 0.00030986
63 0.0618676 0.0603319 0.00030593
64 0.0606816 0.0603374 0.000301199
65 0.0597017 0.0603276 0.000296724
66 0.0602116 0.0603259 0.000292233
67 0.0614525 0.0603427 0.000288355
68 0.0599278 0.0603366 0.000284179
69 0.0582909 0.0603069 0.000281603
70 0.0587162 0.0602842 0.000278495
71 0.0581561 0.0602542 0.000276181
72 0.0581296 0.0602247 0.000273917
73 0.0589135 0.0602068 0.000270753
74 0.0599803 0.0602037 0.000267111
75 0.0595273 0.0601947 0.000263702
76 0.0604283 0.0601978 0.00026025
77 0.0606151 0.0602032 0.000256927
78 0.0621562 0.0602282 0.00025485
79 0.0629007 0.0602621 0.000253859
80 0.0625048 0.0602901 0.000252229
81 0.0607742 0.0602961 0.000249186
82 0.060666 0.0603006 0.000246188
83 0.061641 0.0603167 0.000243751
84 0.0597947 0.0603105 0.000240929
85 0.0605625 0.0603135 0.000238112
86 0.0624914 0.0603388 0.000236686
87 0.0619039 0.0603568 0.000234649
88 0.0624516 0.0603806 0.000233187
89 0.06063 0.0603834 0.000230583
90 0.0593899 0.0603724 0.000228285
91 0.0601575 0.06037 0.000225789
92 0.0603879 0.0603702 0.000223335
93 0.0597094 0.0603631 0.000221046
94 0.0615214 0.0603754 0.000219038
95 0.0608586 0.0603805 0.000216791
96 0.0607096 0.0603839 0.00021456
97 0.0607975 0.0603882 0.000212391
98 0.0614116 0.0603986 0.00021048
99 0.063001 0.0604249 0.000209989
100 0.0643991 0.0604647 0.000211616
101 0.0621658 0.0604815 0.00021019
102 0.0614872 0.0604914 0.000208361
103 0.0615829 0.060502 0.000206607
104 0.0620191 0.0605165 0.000205135
105 0.0625559 0.060536 0.000204099
106 0.0629791 0.060559 0.00020347
107 0.0645952 0.0605967 0.000205036
108 0.0643697 0.0606317 0.000206092
109 0.0623641 0.0606476 0.000204813
110 0.0631915 0.0606707 0.000204253
111 0.0617813 0.0606807 0.000202657
112 0.0610633 0.0606841 0.000200877
113 0.060775 0.0606849 0.000199101
114 0.0602813 0.0606814 0.000197386
115 0.0595892 0.0606719 0.000195898
116 0.0595526 0.0606622 0.000194446
117 0.0595404 0.0606526 0.000193021
118 0.0608107 0.060654 0.000191389
119 0.0627854 0.0606719 0.000190617
120 0.0625571 0.0606876 0.000189675
121 0.0637989 0.0607133 0.000189843
122 0.0650343 0.0607487 0.000191562
123 0.0628342 0.0607657 0.000190753
124 0.0624131 0.060779 0.000189677
125 0.0623392 0.0607915 0.00018857
126 0.0609073 0.0607924 0.000187076
127 0.0608601 0.0607929 0.000185603
128 0.0621245 0.0608033 0.000184445
