#BLOCK ACTUAL AVE ERROR
1 0.98591 0.98591 0
2 1.05812 1.02202 0.0255303
3 1.12937 1.0578 0.0338145
4 1.15921 1.08315 0.0335437
5 1.20009 1.10654 0.0340246
6 1.20345 1.12269 0.0319583
7 1.1917 1.13255 0.0288734
8 1.20904 1.14211 0.0268006
9 1.22046 1.15081 0.0251969
10 1.20093 1.15583 0.0231702
11 1.23479 1.16301 0.0221481
12 1.21059 1.16697 0.0206543
13 1.19905 1.16944 0.0192124
14 1.20897 1.17226 0.0180464
15 1.24359 1.17702 0.0174585
16 1.24763 1.18143 0.016916
17 1.26644 1.18643 0.0166436
18 1.21324 1.18792 0.0157855
19 1.18396 1.18771 0.014956
20 1.19239 1.18795 0.0142101
21 1.21418 1.1892 0.0135882
22 1.19556 1.18948 0.0129737
23 1.18973 1.1895 0.0124096
24 1.19495 1.18972 0.0118946
25 1.21437 1.19071 0.0114596
26 1.21443 1.19162 0.0110551
27 1.20228 1.19202 0.0106527
28 1.19667 1.19218 0.0102736
29 1.22305 1.19325 0.00997428
30 1.27239 1.19588 0.00998459
31 1.23835 1.19725 0.00975604
32 1.22688 1.19818 0.009495
33 1.22656 1.19904 0.00924614
34 1.22337 1.19976 0.00900185
35 1.24638 1.20109 0.00884266
36 1.27755 1.20321 0.00884844
37 1.21806 1.20361 0.00861839
38 1.21144 1.20382 0.00839405
39 1.19823 1.20368 0.00818005
40 1.20088 1.20361 0.00797584
41 1.18037 1.20304 0.00780141
42 1.18754 1.20267 0.00762439
43 1.21753 1.20302 0.00745491
44 1.22662 1.20355 0.00730475
45 1.23905 1.20434 0.00718489
46 1.19208 1.20407 0.00703364
47 1.19608 1.2039 0.00688605
48 1.18153 1.20344 0.00675834
49 1.17601 1.20288 0.00664355
50 1.14573 1.20174 0.00660827
51 1.15752 1.20087 0.00653533
52 1.18301 1.20053 0.00641866
53 1.20558 1.20062 0.00629826
54 1.24436 1.20143 0.00623349
55 1.25191 1.20235 0.00618736
56 1.2349 1.20293 0.00610411
57 1.22785 1.20337 0.00601265
58 1.20443 1.20339 0.00590901
59 1.19431 1.20323 0.00581086
60 1.24686 1.20396 0.00575933
61 1.20668 1.204 0.00566509
62 1.17709 1.20357 0.00559032
63 1.18417 1.20326 0.00551006
64 1.19352 1.20311 0.00542607
65 1.21246 1.20325 0.00534449
66 1.19542 1.20313 0.00526483
67 1.19689 1.20304 0.00518708
68 1.20682 1.2031 0.00511109
69 1.21755 1.20331 0.00504131
70 1.20911 1.20339 0.00496997
71 1.1809 1.20307 0.00491006
72 1.19805 1.203 0.00484236
73 1.2078 1.20307 0.00477647
