#BLOCK ACTUAL AVE ERROR
1 -0.0426886 -0.0426886 0
2 -0.151454 -0.0970712 0.0384543
3 -0.25831 -0.150817 0.0508231
4 -0.303092 -0.188886 0.0503969
5 -0.364553 -0.224019 0.0511174
6 -0.369764 -0.24831 0.0480237
7 -0.352495 -0.263194 0.0434083
8 -0.37985 -0.277776 0.0403572
9 -0.392818 -0.290558 0.0378433
10 -0.337286 -0.295231 0.0343463
11 -0.377795 -0.302737 0.0320335
12 -0.362505 -0.307717 0.0297487
13 -0.319695 -0.308639 0.0274746
14 -0.333409 -0.310408 0.0255691
15 -0.387711 -0.315562 0.0243783
16 -0.366427 -0.318741 0.023061
17 -0.334281 -0.319655 0.0217226
18 -0.353049 -0.32151 0.0205948
19 -0.354871 -0.323266 0.0195856
20 -0.362233 -0.325214 0.018703
21 -0.366633 -0.327187 0.0179161
22 -0.326982 -0.327177 0.0171017
23 -0.328842 -0.32725 0.0163583
24 -0.330029 -0.327365 0.0156771
25 -0.342516 -0.327971 0.0150617
26 -0.373486 -0.329722 0.0145838
27 -0.390825 -0.331985 0.0142182
28 -0.389068 -0.334024 0.0138558
29 -0.41401 -0.336782 0.0136497
30 -0.368246 -0.337831 0.013235
31 -0.386893 -0.339413 0.0129023
32 -0.403256 -0.341408 0.0126524
33 -0.438083 -0.344338 0.0126036
34 -0.449221 -0.347423 0.0126048
35 -0.440315 -0.350077 0.012521
36 -0.388947 -0.351157 0.0122196
37 -0.331503 -0.350625 0.0119009
38 -0.397506 -0.351859 0.0116515
39 -0.410962 -0.353375 0.0114509
40 -0.34202 -0.353091 0.0111681
41 -0.377191 -0.353678 0.0109112
42 -0.357196 -0.353762 0.0106517
43 -0.389248 -0.354587 0.0104359
44 -0.380831 -0.355184 0.0102158
45 -0.423233 -0.356696 0.0101
46 -0.414564 -0.357954 0.00995852
47 -0.407148 -0.359001 0.00980148
48 -0.399784 -0.35985 0.00963404
49 -0.329146 -0.359224 0.00945779
50 -0.351277 -0.359065 0.00926997
51 -0.366667 -0.359214 0.0090894
52 -0.343271 -0.358907 0.00891977
53 -0.375421 -0.359219 0.00875692
54 -0.38082 -0.359619 0.00860388
55 -0.405778 -0.360458 0.00848828
56 -0.411378 -0.361367 0.00838527
57 -0.414811 -0.362305 0.00829041
58 -0.400455 -0.362963 0.00817352
59 -0.439456 -0.364259 0.00813716
60 -0.397208 -0.364808 0.00802005
61 -0.335274 -0.364324 0.00790318
62 -0.376681 -0.364524 0.00777822
63 -0.386717 -0.364876 0.00766273
64 -0.418481 -0.365713 0.00758864
65 -0.411192 -0.366413 0.00750408
66 -0.368478 -0.366444 0.00739044
67 -0.359274 -0.366337 0.00728091
68 -0.348086 -0.366069 0.00717879
69 -0.329277 -0.365536 0.00709452
70 -0.29439 -0.364519 0.0070656
71 -0.340515 -0.364181 0.00697417
72 -0.350498 -0.363991 0.00687989
73 -0.350196 -0.363802 0.00678824
74 -0.396821 -0.364248 0.00671116
75 -0.433589 -0.365173 0.00668506
76 -0.384175 -0.365423 0.00660177
77 -0.369253 -0.365473 0.00651622
78 -0.402158 -0.365943 0.00644963
79 -0.385015 -0.366185 0.0063725
80 -0.338669 -0.365841 0.00630212
81 -0.355101 -0.365708 0.00622571
82 -0.361155 -0.365652 0.00615004
83 -0.407049 -0.366151 0.00609613
84 -0.363581 -0.366121 0.00602364
85 -0.338369 -0.365794 0.00596161
86 -0.410044 -0.366309 0.00591445
87 -0.462336 -0.367412 0.00594857
88 -0.421313 -0.368025 0.00591242
89 -0.378957 -0.368148 0.00584727
90 -0.39795 -0.368479 0.00579167
91 -0.451736 -0.369394 0.00579984
92 -0.40223 -0.369751 0.00574777
93 -0.360597 -0.369652 0.00568681
94 -0.375614 -0.369716 0.00562666
95 -0.424893 -0.370297 0.00559733
96 -0.398595 -0.370591 0.00554678
97 -0.363479 -0.370518 0.00549008
98 -0.356709 -0.370377 0.00543587
99 -0.4018 -0.370694 0.00539022
100 -0.402812 -0.371016 0.00534588
101 -0.415343 -0.371455 0.00531093
102 -0.404439 -0.371778 0.0052687
103 -0.41361 -0.372184 0.00523318
104 -0.404377 -0.372494 0.00519201
105 -0.423649 -0.372981 0.00516537
106 -0.41461 -0.373374 0.00513154
107 -0.424751 -0.373854 0.005106
108 -0.425171 -0.374329 0.00508078
109 -0.384991 -0.374427 0.00503511
110 -0.390625 -0.374574 0.00499149
111 -0.397688 -0.374782 0.00495087
112 -0.376324 -0.374796 0.00490668
113 -0.409279 -0.375101 0.00487274
114 -0.414739 -0.375449 0.00484239
115 -0.42783 -0.375904 0.00482165
116 -0.382724 -0.375963 0.00478044
117 -0.351817 -0.375757 0.00474404
118 -0.356877 -0.375597 0.00470653
119 -0.340884 -0.375305 0.00467601
120 -0.344483 -0.375048 0.00464409
121 -0.383133 -0.375115 0.00460619
122 -0.370967 -0.375081 0.00456856
123 -0.394549 -0.375239 0.00453416
124 -0.431324 -0.375692 0.0045201
125 -0.443998 -0.376238 0.00451685
126 -0.376855 -0.376243 0.004481
127 -0.422281 -0.376605 0.00446036
128 -0.444773 -0.377138 0.00445719
129 -0.385463 -0.377202 0.00442311
130 -0.401235 -0.377387 0.00439295
131 -0.377743 -0.37739 0.00435941
132 -0.407888 -0.377621 0.0043325
133 -0.43456 -0.378049 0.00432103
134 -0.397326 -0.378193 0.00429118
135 -0.406881 -0.378406 0.00426465
136 -0.45869 -0.378996 0.00427395
137 -0.483671 -0.37976 0.00431051
138 -0.493516 -0.380584 0.00435738
139 -0.492671 -0.381391 0.00440002
140 -0.446683 -0.381857 0.00439323
141 -0.447082 -0.38232 0.00438636
142 -0.458985 -0.38286 0.00438857
143 -0.427874 -0.383174 0.00436916
144 -0.444837 -0.383603 0.00435975
145 -0.46755 -0.384181 0.00436796
146 -0.476464 -0.384814 0.00438353
147 -0.460241 -0.385327 0.00438364
148 -0.407763 -0.385478 0.00435664
149 -0.37252 -0.385391 0.00432827
150 -0.362634 -0.38524 0.00430207
151 -0.381072 -0.385212 0.00427367
152 -0.395486 -0.38528 0.00424609
153 -0.368093 -0.385167 0.00421982
154 -0.368149 -0.385057 0.00419387
155 -0.388585 -0.385079 0.00416687
156 -0.440227 -0.385433 0.00415513
157 -0.408248 -0.385578 0.00413121
158 -0.389477 -0.385603 0.00410513
159 -0.419511 -0.385816 0.00408485
160 -0.436008 -0.38613 0.00407135
161 -0.479502 -0.38671 0.00408716
162 -0.467198 -0.387207 0.00409201
163 -0.411695 -0.387357 0.00406967
164 -0.395975 -0.38741 0.00404519
165 -0.402416 -0.3875 0.0040217
166 -0.447324 -0.387861 0.00401358
167 -0.443222 -0.388192 0.00400322
168 -0.392671 -0.388219 0.00397948
169 -0.429379 -0.388463 0.00396338
170 -0.402291 -0.388544 0.0039409
