#BLOCK ACTUAL AVE ERROR
1 1.4772 1.4772 0
2 1.58542 1.53131 0.0382613
3 1.69237 1.585 0.0507169
4 1.73711 1.62303 0.0503144
5 1.79855 1.65813 0.0510493
6 1.80389 1.68242 0.0479742
7 1.78656 1.6973 0.0433659
8 1.81392 1.71188 0.040321
9 1.8252 1.72447 0.0377558
10 1.76867 1.72889 0.034238
11 1.80953 1.73622 0.0319007
12 1.7964 1.74124 0.029634
13 1.74863 1.7418 0.0273599
14 1.7974 1.74577 0.0256922
15 1.82042 1.75075 0.0244566
16 1.77132 1.75204 0.0229618
17 1.7877 1.75413 0.0217067
18 1.75669 1.75428 0.0205013
19 1.77169 1.75519 0.0194427
20 1.78535 1.7567 0.018529
21 1.82706 1.76005 0.0179469
22 1.86762 1.76494 0.0177847
23 1.94108 1.7726 0.0185874
24 1.86533 1.77646 0.0182101
25 1.82169 1.77827 0.0175713
26 1.81529 1.7797 0.0169531
27 1.84363 1.78206 0.0164897
28 1.88358 1.78569 0.0162945
29 1.85661 1.78814 0.0159151
30 1.883 1.7913 0.0156956
31 1.90812 1.79507 0.0156351
32 1.87725 1.79763 0.015356
33 1.86869 1.79979 0.0150409
34 1.89124 1.80248 0.0148371
35 1.89617 1.80515 0.0146527
36 1.87856 1.80719 0.0143868
37 1.887 1.80935 0.0141587
38 1.89309 1.81155 0.0139566
39 1.91843 1.81429 0.0138652
40 1.88693 1.81611 0.0136369
41 1.84665 1.81685 0.0133246
42 1.82976 1.81716 0.0130109
43 1.78612 1.81644 0.0127284
44 1.82051 1.81653 0.0124394
45 1.87539 1.81784 0.0122316
46 1.82842 1.81807 0.0119678
47 1.78751 1.81742 0.0117308
48 1.82677 1.81761 0.0114881
49 1.85418 1.81836 0.0112778
50 1.8512 1.81902 0.0110714
51 1.8502 1.81963 0.0108712
52 1.86722 1.82054 0.0107005
53 1.85998 1.82129 0.0105245
54 1.81791 1.82123 0.0103298
55 1.76427 1.82019 0.0101937
56 1.80311 1.81989 0.0100163
57 1.83655 1.82018 0.00984481
58 1.84338 1.82058 0.0096832
59 1.82266 1.82061 0.00951914
60 1.82796 1.82074 0.00936128
61 1.80326 1.82045 0.0092122
62 1.78732 1.81991 0.0090791
63 1.7383 1.81862 0.00902693
64 1.76737 1.81782 0.00892134
65 1.76559 1.81702 0.00882019
66 1.76879 1.81628 0.00871676
67 1.77243 1.81563 0.0086112
68 1.75288 1.81471 0.00853387
69 1.74135 1.81364 0.00847617
70 1.72243 1.81234 0.00845465
71 1.77084 1.81176 0.00835576
72 1.76566 1.81112 0.0082642
73 1.75463 1.81034 0.00818714
74 1.78562 1.81001 0.00808331
75 1.81445 1.81007 0.00797575
76 1.8274 1.8103 0.00787406
77 1.76579 1.80972 0.00779299
78 1.76311 1.80912 0.00771595
79 1.79425 1.80893 0.00762057
80 1.84519 1.80939 0.00753879
81 1.82163 1.80954 0.00744723
82 1.77698 1.80914 0.00736699
83 1.8038 1.80907 0.00727851
84 1.79999 1.80897 0.00719266
85 1.77794 1.8086 0.0071173
86 1.77757 1.80824 0.00704368
87 1.81828 1.80836 0.00696366
88 1.79146 1.80816 0.00688718
89 1.80478 1.80813 0.0068099
90 1.83053 1.80838 0.00673878
91 1.87098 1.80906 0.00669975
92 1.81615 1.80914 0.00662737
93 1.78113 1.80884 0.00656294
94 1.83296 1.8091 0.00649814
95 1.89001 1.80995 0.00648531
96 1.82321 1.81009 0.00641923
97 1.80893 1.81007 0.00635306
98 1.83903 1.81037 0.0062951
99 1.84129 1.81068 0.00623925
100 1.8681 1.81126 0.00620323
101 1.86345 1.81177 0.00616329
102 1.80891 1.81174 0.00610293
103 1.85723 1.81219 0.00605964
104 1.88084 1.81285 0.00603723
105 1.92774 1.81394 0.00607808
106 1.87208 1.81449 0.00604544
107 1.83081 1.81464 0.00599086
108 1.85755 1.81504 0.00594855
109 1.86709 1.81552 0.00591311
110 1.83271 1.81567 0.00586142
111 1.82302 1.81574 0.00580899
112 1.83934 1.81595 0.00576095
113 1.82476 1.81603 0.00571049
114 1.79488 1.81584 0.00566341
115 1.81733 1.81585 0.00561418
116 1.82743 1.81595 0.00556667
117 1.84009 1.81616 0.00552291
118 1.81037 1.81611 0.00547632
119 1.81148 1.81607 0.00543044
120 1.85028 1.81636 0.00539266
121 1.84144 1.81657 0.00535208
122 1.832 1.81669 0.00530971
123 1.8919 1.8173 0.00530162
124 1.87122 1.81774 0.00527667
125 1.86113 1.81809 0.00524586
126 1.86996 1.8185 0.00522036
127 1.84938 1.81874 0.00518491
128 1.83418 1.81886 0.00514581
129 1.85911 1.81917 0.00511537
130 1.84445 1.81937 0.00507971
131 1.8107 1.8193 0.00504137
132 1.87923 1.81975 0.00502358
133 1.86719 1.82011 0.00499845
134 1.8524 1.82035 0.00496695
135 1.8763 1.82077 0.00494742
136 1.93228 1.82159 0.00497852
137 1.90534 1.8222 0.00497957
138 1.8941 1.82272 0.00497067
139 1.84571 1.82288 0.00493766
140 1.86527 1.82319 0.00491166
141 1.81089 1.8231 0.0048776
142 1.82479 1.82311 0.00484327
143 1.83593 1.8232 0.00481023
144 1.82744 1.82323 0.00477691
145 1.83729 1.82333 0.00474495
146 1.85009 1.82351 0.00471599
147 1.87416 1.82386 0.00469648
148 1.82618 1.82387 0.00466477
149 1.85727 1.8241 0.00463885
150 1.81622 1.82404 0.00460822
151 1.83637 1.82412 0.00457843
152 1.78884 1.82389 0.00455419
153 1.76013 1.82348 0.00454345
154 1.76412 1.82309 0.00453026
155 1.77817 1.8228 0.00451029
156 1.82719 1.82283 0.00448147
157 1.87773 1.82318 0.00446655
158 1.84181 1.8233 0.00443984
159 1.83823 1.82339 0.00441291
160 1.84009 1.82349 0.00438656
161 1.85012 1.82366 0.00436243
162 1.82006 1.82364 0.00433556
163 1.80337 1.82351 0.00431074
164 1.87407 1.82382 0.00429547
165 1.82967 1.82386 0.00426958
166 1.89792 1.8243 0.00426711
167 1.9009 1.82476 0.00426614
168 1.82636 1.82477 0.00424075
169 1.78801 1.82455 0.00422123
170 1.8087 1.82446 0.00419743
171 1.84554 1.82458 0.0041747
172 1.85864 1.82478 0.00415512
173 1.81529 1.82473 0.00413146
174 1.81728 1.82468 0.00410794
175 1.8564 1.82487 0.00408846
176 1.88878 1.82523 0.00408133
177 1.8586 1.82542 0.00406262
178 1.7831 1.82518 0.00404675
179 1.80655 1.82508 0.00402548
180 1.8242 1.82507 0.00400312
181 1.82536 1.82507 0.003981
182 1.87249 1.82533 0.00396764
183 1.88304 1.82565 0.00395848
184 1.84663 1.82576 0.0039386
185 1.86505 1.82597 0.00392303
186 1.81519 1.82592 0.00390237
187 1.79345 1.82574 0.00388536
188 1.77318 1.82546 0.00387474
189 1.82862 1.82548 0.00385428
190 1.85416 1.82563 0.00383695
191 1.83453 1.82568 0.00381714
192 1.80704 1.82558 0.0037985
193 1.77935 1.82534 0.00378636
194 1.74984 1.82495 0.00378679
195 1.79183 1.82478 0.00377118
196 1.80497 1.82468 0.00375329
197 1.81093 1.82461 0.00373489
198 1.81596 1.82457 0.00371628
199 1.81713 1.82453 0.0036978
200 1.78936 1.82435 0.00368349
