#BLOCK ACTUAL AVE ERROR
1 1.80759 1.80759 0
2 1.76961 1.7886 0.0134281
3 1.80241 1.7932 0.00970935
4 1.85142 1.80776 0.0145559
5 1.89134 1.82447 0.0189512
6 1.89755 1.83665 0.0193136
7 1.86079 1.8401 0.0168595
8 1.83892 1.83995 0.0147527
9 1.83736 1.83966 0.0131163
10 1.82231 1.83793 0.011919
11 1.85173 1.83918 0.0109013
12 1.83005 1.83842 0.0100194
13 1.76422 1.83271 0.0107523
14 1.79049 1.8297 0.0103986
15 1.82761 1.82956 0.00970627
16 1.8299 1.82958 0.00909965
17 1.84492 1.83048 0.00860899
18 1.83194 1.83056 0.00813109
19 1.75814 1.82675 0.00855015
20 1.78478 1.82465 0.00837624
21 1.79697 1.82333 0.00808044
22 1.81589 1.823 0.00772022
23 1.81309 1.82257 0.00739657
24 1.83376 1.82303 0.00710307
25 1.86549 1.82473 0.007019
26 1.88166 1.82692 0.00708232
27 1.88296 1.829 0.00711765
28 1.90627 1.83176 0.00737911
29 1.89326 1.83388 0.00742317
30 1.85694 1.83464 0.00721544
31 1.86146 1.83551 0.00703433
32 1.84527 1.83581 0.00682112
33 1.80526 1.83489 0.00667695
34 1.83945 1.83502 0.00648191
35 1.83049 1.83489 0.00629801
36 1.80852 1.83416 0.00616553
37 1.81179 1.83356 0.00602846
38 1.78364 1.83224 0.0060112
39 1.77765 1.83084 0.00601782
40 1.79914 1.83005 0.00591934
41 1.84113 1.83032 0.00578113
42 1.8086 1.8298 0.00566656
43 1.76455 1.82829 0.00573438
44 1.82892 1.8283 0.00560407
45 1.80392 1.82776 0.00550565
46 1.8362 1.82794 0.00538902
47 1.87457 1.82893 0.00536489
48 1.85 1.82937 0.00527104
49 1.85708 1.82994 0.00519372
50 1.87257 1.83079 0.00515935
51 1.84962 1.83116 0.00507138
52 1.8559 1.83164 0.00499611
53 1.9108 1.83313 0.00512023
54 1.95504 1.83539 0.00550067
55 1.87914 1.83618 0.00545787
56 1.91364 1.83757 0.00553291
57 1.9044 1.83874 0.00555871
58 1.89393 1.83969 0.00554372
59 1.84639 1.8398 0.00545092
60 1.81532 1.8394 0.00537533
61 1.81197 1.83895 0.00530598
62 1.82138 1.83866 0.00522796
63 1.84451 1.83876 0.0051458
64 1.81945 1.83845 0.00507422
65 1.85491 1.83871 0.00500247
66 1.87553 1.83927 0.00495769
67 1.86061 1.83958 0.00489392
68 1.83696 1.83955 0.00482211
69 1.87645 1.84008 0.0047818
70 1.82743 1.8399 0.0047169
71 1.8367 1.83985 0.00465068
72 1.84125 1.83987 0.00458613
73 1.78796 1.83916 0.00457812
74 1.77657 1.83832 0.00459372
75 1.82706 1.83817 0.00453492
76 1.85632 1.83841 0.00448154
77 1.79595 1.83785 0.00445712
78 1.8217 1.83765 0.00440479
79 1.83202 1.83758 0.00434961
80 1.8548 1.83779 0.00430056
81 1.8714 1.83821 0.00426744
82 1.88251 1.83875 0.00424947
83 1.81969 1.83852 0.00420447
84 1.80755 1.83815 0.00417055
85 1.8284 1.83803 0.00412306
86 1.84013 1.83806 0.00407519
87 1.83144 1.83798 0.00402906
88 1.80875 1.83765 0.00399695
89 1.77146 1.83691 0.00402063
90 1.77682 1.83624 0.00403102
91 1.77428 1.83556 0.0040438
92 1.75632 1.8347 0.00409054
93 1.75062 1.83379 0.00414524
94 1.80349 1.83347 0.00411366
95 1.83661 1.8335 0.00407049
96 1.79785 1.83313 0.00404499
97 1.72965 1.83206 0.00414159
98 1.77082 1.83144 0.00414621
99 1.83867 1.83151 0.00410497
100 1.77265 1.83092 0.00410591
