#BLOCK ACTUAL AVE ERROR
1 -0.373395 -0.373395 0
2 -0.335536 -0.354466 0.0133854
3 -0.368339 -0.35909 0.00968958
4 -0.417394 -0.373666 0.0145656
5 -0.457255 -0.390384 0.018957
6 -0.463396 -0.402553 0.0193121
7 -0.426595 -0.405987 0.0168559
8 -0.404857 -0.405846 0.0147495
9 -0.403281 -0.405561 0.0131134
10 -0.388271 -0.403832 0.0119155
11 -0.417625 -0.405086 0.0108981
12 -0.395923 -0.404322 0.0100166
13 -0.330139 -0.398616 0.0107494
14 -0.356493 -0.395607 0.0103941
15 -0.393696 -0.39548 0.00970196
16 -0.395957 -0.39551 0.00909563
17 -0.410908 -0.396415 0.00860558
18 -0.39787 -0.396496 0.00812787
19 -0.324099 -0.392686 0.00854669
20 -0.35073 -0.390588 0.00837285
21 -0.362845 -0.389267 0.0080777
22 -0.3818 -0.388927 0.00771766
23 -0.379055 -0.388498 0.00739404
24 -0.399812 -0.38897 0.00710096
25 -0.431538 -0.390672 0.00701811
26 -0.44755 -0.39286 0.00708092
27 -0.448875 -0.394935 0.00711609
28 -0.472148 -0.397692 0.00737693
29 -0.45912 -0.39981 0.00742043
30 -0.422802 -0.400577 0.00721255
31 -0.427435 -0.401443 0.00703174
32 -0.41113 -0.401746 0.00681851
33 -0.371235 -0.400821 0.00667428
34 -0.405418 -0.400957 0.00647934
35 -0.396418 -0.400827 0.00629552
36 -0.374563 -0.400097 0.00616277
37 -0.377752 -0.399493 0.00602573
38 -0.349637 -0.398181 0.00600829
39 -0.343542 -0.39678 0.00601536
40 -0.36503 -0.395987 0.00591711
41 -0.407005 -0.396255 0.00577889
42 -0.374394 -0.395735 0.00566469
43 -0.330535 -0.394219 0.0057323
44 -0.394912 -0.394234 0.00560204
45 -0.369782 -0.393691 0.00550384
46 -0.402076 -0.393873 0.00538721
47 -0.44041 -0.394863 0.00536281
48 -0.415945 -0.395303 0.00526904
49 -0.423007 -0.395868 0.00519175
50 -0.438425 -0.396719 0.00515721
51 -0.415553 -0.397088 0.00506929
52 -0.421813 -0.397564 0.00499406
53 -0.476689 -0.399057 0.00511812
54 -0.520875 -0.401313 0.00549806
55 -0.445027 -0.402107 0.00545524
56 -0.479641 -0.403492 0.00553073
57 -0.470434 -0.404666 0.00555699
58 -0.460042 -0.405621 0.00554259
59 -0.41243 -0.405737 0.00544985
60 -0.381356 -0.40533 0.00537415
61 -0.377962 -0.404882 0.00530474
62 -0.387418 -0.4046 0.00522666
63 -0.410352 -0.404691 0.00514449
64 -0.385431 -0.40439 0.0050729
65 -0.420959 -0.404645 0.00500126
66 -0.441334 -0.405201 0.00495628
67 -0.426361 -0.405517 0.00489236
68 -0.402786 -0.405477 0.00482057
69 -0.442326 -0.406011 0.0047802
70 -0.393187 -0.405828 0.00471542
71 -0.402591 -0.405782 0.00464923
72 -0.406966 -0.405798 0.00458469
73 -0.35367 -0.405084 0.00457716
74 -0.34231 -0.404236 0.00459324
75 -0.392932 -0.404085 0.00453447
76 -0.422101 -0.404322 0.004481
77 -0.361766 -0.40377 0.00445675
78 -0.387641 -0.403563 0.00440441
79 -0.39788 -0.403491 0.00434925
80 -0.420752 -0.403707 0.00430023
81 -0.437416 -0.404123 0.00426723
82 -0.448426 -0.404663 0.00424926
83 -0.3856 -0.404433 0.00420426
84 -0.373464 -0.404065 0.00417035
85 -0.394287 -0.40395 0.00412287
86 -0.406143 -0.403975 0.00407501
87 -0.39746 -0.4039 0.00402886
88 -0.374652 -0.403568 0.00399676
89 -0.337315 -0.402824 0.00402058
90 -0.342661 -0.402155 0.0040311
91 -0.340129 -0.401474 0.00404401
92 -0.322152 -0.400611 0.00409094
93 -0.316491 -0.399707 0.00414574
94 -0.369331 -0.399384 0.00411421
95 -0.402403 -0.399415 0.00407102
96 -0.363584 -0.399042 0.00404569
97 -0.2955 -0.397975 0.00414241
98 -0.336779 -0.39735 0.00414694
99 -0.404515 -0.397423 0.00410568
100 -0.338499 -0.396833 0.00410669
