#BLOCK ACTUAL AVE ERROR
1 0.0601069 0.0601069 0
2 0.0589028 0.0595048 0.000425725
3 0.0599849 0.0596649 0.000312445
4 0.0616042 0.0601497 0.000480839
5 0.0629211 0.060704 0.000627504
6 0.0631766 0.0611161 0.000644179
7 0.0619156 0.0612303 0.000562187
8 0.0612275 0.0612299 0.000491914
9 0.0611518 0.0612213 0.000437334
10 0.0606642 0.0611656 0.000397133
11 0.0616716 0.0612116 0.000363685
12 0.0609336 0.0611884 0.000334114
13 0.0587021 0.0609971 0.000359004
14 0.0596181 0.0608986 0.000346611
15 0.0608463 0.0608951 0.000323522
16 0.0609307 0.0608974 0.000303309
17 0.0613772 0.0609256 0.000286778
18 0.0609614 0.0609276 0.000270853
19 0.0585161 0.0608007 0.000284787
20 0.0594092 0.0607311 0.000278916
21 0.0598115 0.0606873 0.00026905
22 0.0604499 0.0606765 0.000257037
23 0.0603488 0.0606623 0.000246256
24 0.0610301 0.0606776 0.000236472
25 0.0621263 0.0607355 0.000234005
26 0.0626145 0.0608078 0.0002359
27 0.0626609 0.0608764 0.000236937
28 0.0634688 0.060969 0.000245899
29 0.0629958 0.0610389 0.000247152
30 0.061783 0.0610637 0.000240155
31 0.0619678 0.0610929 0.000234172
32 0.0614077 0.0611027 0.000227061
33 0.0600945 0.0610722 0.000222226
34 0.0611897 0.0610756 0.000215717
35 0.0608607 0.0610695 0.000209641
36 0.0601913 0.0610451 0.000205232
37 0.0602995 0.0610249 0.000200672
38 0.059353 0.0609809 0.000200156
39 0.0591438 0.0609338 0.000200491
40 0.0598497 0.0609067 0.000197302
41 0.0612767 0.0609158 0.000192696
42 0.0601856 0.0608984 0.00018889
43 0.0586833 0.0608469 0.000191393
44 0.0608419 0.0608467 0.000187043
45 0.060024 0.0608285 0.000183778
46 0.0610961 0.0608343 0.000179875
47 0.062351 0.0608665 0.000178919
48 0.0615729 0.0608813 0.000175796
49 0.0617888 0.0608998 0.000173181
50 0.0623689 0.0609292 0.000172192
51 0.0615209 0.0609408 0.000169206
52 0.0618003 0.0609573 0.000166757
53 0.0635809 0.0610068 0.000170801
54 0.0651034 0.0610827 0.000183714
55 0.0625387 0.0611091 0.000182272
56 0.0636973 0.0611554 0.000184783
57 0.063394 0.0611946 0.000185668
58 0.0630146 0.061226 0.0001851
59 0.061418 0.0612293 0.000181991
60 0.0604117 0.0612156 0.000179467
61 0.0603185 0.0612009 0.000177127
62 0.0606433 0.0611919 0.000174498
63 0.0614641 0.0611963 0.000171782
64 0.0605379 0.061186 0.000169405
65 0.0617255 0.0611943 0.000167002
66 0.0624329 0.061213 0.000165523
67 0.0619179 0.0612236 0.000163386
68 0.0611166 0.061222 0.000160991
69 0.0624672 0.06124 0.000159666
70 0.0607875 0.0612336 0.000157516
71 0.0611826 0.0612328 0.000155299
72 0.0613008 0.0612338 0.000153145
73 0.0594878 0.0612099 0.000152904
74 0.0591366 0.0611819 0.000153383
75 0.060793 0.0611767 0.000151425
76 0.0617451 0.0611842 0.000149617
77 0.0597929 0.0611661 0.000148761
78 0.0606108 0.061159 0.000147024
79 0.0609522 0.0611563 0.000145187
80 0.0617087 0.0611633 0.000143536
81 0.0622395 0.0611765 0.000142377
82 0.0626881 0.061195 0.000141829
83 0.0605501 0.0611872 0.000140333
84 0.0601456 0.0611748 0.00013921
85 0.0608497 0.061171 0.000137624
86 0.0612522 0.0611719 0.000136027
87 0.0609735 0.0611696 0.000134483
88 0.0602319 0.061159 0.000133376
89 0.0589608 0.0611343 0.000134145
90 0.0591545 0.0611123 0.000134446
91 0.0590923 0.0610901 0.000134788
92 0.0584487 0.0610614 0.000136347
93 0.0582851 0.0610315 0.00013811
94 0.0600478 0.0610211 0.000137037
95 0.0612141 0.0610231 0.000135609
96 0.0598613 0.061011 0.000134736
97 0.0575316 0.0609751 0.000138039
98 0.0589139 0.0609541 0.000138223
99 0.0611936 0.0609565 0.000136848
100 0.0589507 0.0609365 0.000136942
