#BLOCK ACTUAL AVE ERROR
1 1.20506 1.20506 0
2 1.17974 1.1924 0.00895206
3 1.20161 1.19547 0.0064729
4 1.23428 1.20517 0.00970392
5 1.26089 1.21632 0.0126341
6 1.26503 1.22443 0.0128758
7 1.24052 1.22673 0.0112397
8 1.22595 1.22663 0.00983514
9 1.2249 1.22644 0.00874423
10 1.21487 1.22529 0.00794598
11 1.23449 1.22612 0.0072675
12 1.22003 1.22561 0.00667957
13 1.17615 1.22181 0.0071682
14 1.19366 1.2198 0.00693239
15 1.21841 1.21971 0.00647085
16 1.21993 1.21972 0.00606644
17 1.22994 1.22032 0.00573933
18 1.2213 1.22038 0.00542073
19 1.17209 1.21783 0.0057001
20 1.18985 1.21644 0.00558416
21 1.19798 1.21556 0.00538696
22 1.2106 1.21533 0.00514682
23 1.20872 1.21504 0.00493105
24 1.22251 1.21535 0.00473538
25 1.24366 1.21649 0.00467933
26 1.25444 1.21795 0.00472155
27 1.25531 1.21933 0.0047451
28 1.27085 1.22117 0.00491941
29 1.26217 1.22258 0.00494878
30 1.23796 1.2231 0.00481029
31 1.24097 1.22367 0.00468956
32 1.23018 1.22388 0.00454742
33 1.20351 1.22326 0.0044513
34 1.2263 1.22335 0.00432128
35 1.22033 1.22326 0.00419867
36 1.20568 1.22277 0.00411035
37 1.20786 1.22237 0.00401897
38 1.1891 1.2215 0.00400746
39 1.1851 1.22056 0.00401188
40 1.19943 1.22003 0.00394622
41 1.22742 1.22021 0.00385409
42 1.20574 1.21987 0.00377771
43 1.17637 1.21886 0.00382292
44 1.21928 1.21887 0.00373605
45 1.20262 1.21851 0.00367043
46 1.22413 1.21863 0.00359268
47 1.24971 1.21929 0.00357659
48 1.23334 1.21958 0.00351403
49 1.23806 1.21996 0.00346248
50 1.24838 1.22053 0.00343957
51 1.23308 1.22077 0.00338092
52 1.23726 1.22109 0.00333074
53 1.27386 1.22209 0.00341349
54 1.30336 1.22359 0.00366711
55 1.25276 1.22412 0.00363858
56 1.27576 1.22504 0.0036886
57 1.2696 1.22583 0.0037058
58 1.26262 1.22646 0.00369581
59 1.23093 1.22654 0.00363395
60 1.21021 1.22626 0.00358355
61 1.20798 1.22596 0.00353732
62 1.21425 1.22578 0.00348531
63 1.22967 1.22584 0.00343053
64 1.21297 1.22564 0.00338282
65 1.23661 1.2258 0.00333498
66 1.25035 1.22618 0.00330513
67 1.24041 1.22639 0.00326262
68 1.22464 1.22636 0.00321474
69 1.25097 1.22672 0.00318787
70 1.21828 1.2266 0.0031446
71 1.22447 1.22657 0.00310046
72 1.2275 1.22658 0.00305742
73 1.19197 1.22611 0.00305208
74 1.18438 1.22554 0.00306248
75 1.21804 1.22544 0.00302328
76 1.23755 1.2256 0.00298769
77 1.1973 1.22524 0.00297141
78 1.21447 1.2251 0.00293652
79 1.22135 1.22505 0.00289974
80 1.23653 1.22519 0.00286704
81 1.2476 1.22547 0.00284496
82 1.25501 1.22583 0.00283298
83 1.21313 1.22568 0.00280298
84 1.20503 1.22543 0.00278037
85 1.21893 1.22536 0.00274871
86 1.22675 1.22537 0.00271679
87 1.22096 1.22532 0.00268604
88 1.20583 1.2251 0.00266463
89 1.18097 1.2246 0.00268042
90 1.18454 1.22416 0.00268734
91 1.18286 1.22371 0.00269587
92 1.17088 1.22313 0.00272702
93 1.16708 1.22253 0.00276349
94 1.20233 1.22231 0.00274244
95 1.2244 1.22234 0.00271366
96 1.19857 1.22209 0.00269666
97 1.1531 1.22138 0.00276106
98 1.18055 1.22096 0.00276414
99 1.22578 1.22101 0.00273665
100 1.18177 1.22062 0.00273728
