#BLOCK ACTUAL AVE ERROR
1 1.43419 1.43419 0
2 1.43407 1.43413 4.26956e-05
3 1.43407 1.43411 3.29653e-05
4 1.43402 1.43409 3.1677e-05
5 1.43408 1.43409 2.53787e-05
6 1.43415 1.4341 2.32064e-05
7 1.43419 1.43411 2.33849e-05
8 1.43406 1.43411 2.13576e-05
9 1.43407 1.4341 1.92699e-05
10 1.43404 1.4341 1.83928e-05
11 1.4341 1.4341 1.67316e-05
12 1.43413 1.4341 1.55053e-05
13 1.43408 1.4341 1.43885e-05
14 1.434 1.43409 1.49253e-05
15 1.43392 1.43408 1.79397e-05
16 1.43394 1.43407 1.87216e-05
17 1.43401 1.43407 1.79585e-05
18 1.43407 1.43407 1.69651e-05
19 1.43404 1.43407 1.61534e-05
20 1.43405 1.43406 1.53675e-05
21 1.43412 1.43407 1.48915e-05
22 1.4341 1.43407 1.42671e-05
23 1.43403 1.43407 1.37362e-05
24 1.43395 1.43406 1.40291e-05
25 1.43395 1.43406 1.42079e-05
26 1.43411 1.43406 1.37948e-05
27 1.43409 1.43406 1.33162e-05
28 1.43412 1.43406 1.30164e-05
29 1.43414 1.43407 1.2827e-05
30 1.43414 1.43407 1.26294e-05
31 1.43402 1.43407 1.23082e-05
32 1.43414 1.43407 1.21554e-05
33 1.43403 1.43407 1.18452e-05
34 1.43403 1.43407 1.15568e-05
35 1.43407 1.43407 1.12285e-05
36 1.43396 1.43406 1.13271e-05
37 1.43404 1.43406 1.10359e-05
38 1.43401 1.43406 1.08416e-05
39 1.43411 1.43406 1.06425e-05
40 1.43411 1.43406 1.04393e-05
41 1.43413 1.43407 1.02979e-05
42 1.43421 1.43407 1.06086e-05
43 1.43402 1.43407 1.04334e-05
44 1.43401 1.43407 1.02757e-05
45 1.43414 1.43407 1.01859e-05
46 1.43412 1.43407 1.00276e-05
47 1.43416 1.43407 9.98692e-06
48 1.43406 1.43407 9.78173e-06
49 1.43408 1.43407 9.58298e-06
50 1.43414 1.43407 9.50112e-06
51 1.43407 1.43407 9.31536e-06
52 1.43408 1.43407 9.13895e-06
53 1.43411 1.43407 8.98943e-06
54 1.43417 1.43407 8.99442e-06
55 1.43411 1.43408 8.85361e-06
56 1.434 1.43407 8.79392e-06
57 1.43397 1.43407 8.82499e-06
58 1.43389 1.43407 9.21203e-06
59 1.43396 1.43407 9.23736e-06
60 1.43396 1.43407 9.24994e-06
61 1.43401 1.43406 9.14594e-06
62 1.43396 1.43406 9.14839e-06
63 1.43415 1.43406 9.11388e-06
64 1.43402 1.43406 8.99302e-06
65 1.43395 1.43406 9.01222e-06
66 1.4342 1.43406 9.09782e-06
67 1.43425 1.43407 9.39211e-06
68 1.43417 1.43407 9.38127e-06
69 1.43413 1.43407 9.28476e-06
70 1.43424 1.43407 9.46178e-06
71 1.43411 1.43407 9.34193e-06
72 1.43428 1.43408 9.66583e-06
73 1.43429 1.43408 9.9628e-06
74 1.43426 1.43408 1.0135e-05
75 1.43413 1.43408 1.00209e-05
76 1.43422 1.43408 1.00591e-05
77 1.43419 1.43408 1.00175e-05
78 1.43406 1.43408 9.89419e-06
79 1.43414 1.43409 9.7936e-06
80 1.43405 1.43408 9.68158e-06
81 1.43399 1.43408 9.63457e-06
82 1.43409 1.43408 9.51725e-06
83 1.43409 1.43408 9.40357e-06
84 1.43408 1.43408 9.29162e-06
85 1.43411 1.43408 9.18799e-06
86 1.43399 1.43408 9.15124e-06
87 1.43398 1.43408 9.11574e-06
88 1.43409 1.43408 9.01317e-06
89 1.43415 1.43408 8.94029e-06
90 1.43415 1.43408 8.87679e-06
91 1.43416 1.43408 8.8143e-06
92 1.43417 1.43408 8.76821e-06
93 1.43413 1.43409 8.68982e-06
94 1.43416 1.43409 8.63165e-06
95 1.4342 1.43409 8.62794e-06
96 1.43427 1.43409 8.74391e-06
97 1.43415 1.43409 8.67388e-06
98 1.43404 1.43409 8.60001e-06
99 1.43415 1.43409 8.53712e-06
100 1.43415 1.43409 8.47206e-06
