#BLOCK ACTUAL AVE ERROR
1 -3.65001 -3.65001 0
2 -3.64854 -3.64928 0.00051948
3 -3.64759 -3.64872 0.000575392
4 -3.64815 -3.64858 0.000448441
5 -3.64646 -3.64815 0.000521648
6 -3.64961 -3.6484 0.00048808
7 -3.6475 -3.64827 0.000434864
8 -3.64854 -3.6483 0.000381838
9 -3.64859 -3.64833 0.0003408
10 -3.65076 -3.64858 0.00038341
11 -3.64762 -3.64849 0.000358339
12 -3.649 -3.64853 0.000330947
13 -3.64823 -3.64851 0.000306281
14 -3.64657 -3.64837 0.000314146
15 -3.64957 -3.64845 0.000303161
16 -3.64898 -3.64848 0.00028602
17 -3.64733 -3.64842 0.000277109
18 -3.6478 -3.64838 0.000263824
19 -3.64864 -3.64839 0.000250278
20 -3.65152 -3.64855 0.000282375
21 -3.64978 -3.64861 0.000274907
22 -3.64971 -3.64866 0.000266966
23 -3.65086 -3.64875 0.000271915
24 -3.64868 -3.64875 0.000260601
25 -3.64894 -3.64876 0.00025028
26 -3.64816 -3.64874 0.000241714
27 -3.65 -3.64878 0.000237272
28 -3.6498 -3.64882 0.000231577
29 -3.64998 -3.64886 0.000227007
30 -3.64876 -3.64886 0.000219464
31 -3.65007 -3.6489 0.000215834
32 -3.6468 -3.64883 0.000218758
33 -3.64668 -3.64876 0.000221645
34 -3.64733 -3.64872 0.000219122
35 -3.649 -3.64873 0.000213005
36 -3.64918 -3.64874 0.000207448
37 -3.65054 -3.64879 0.00020748
38 -3.64821 -3.64878 0.000202583
39 -3.64682 -3.64873 0.000203501
40 -3.64838 -3.64872 0.0001986
41 -3.64708 -3.64868 0.000197731
42 -3.64793 -3.64866 0.000193829
43 -3.64905 -3.64867 0.000189531
44 -3.64955 -3.64869 0.000186289
45 -3.64923 -3.6487 0.000182532
46 -3.64854 -3.6487 0.000178599
47 -3.64947 -3.64871 0.000175556
48 -3.64816 -3.6487 0.000172275
49 -3.64971 -3.64872 0.000169978
50 -3.65127 -3.64877 0.000174057
51 -3.64804 -3.64876 0.000171245
52 -3.6486 -3.64876 0.00016798
53 -3.64909 -3.64876 0.000164925
54 -3.64542 -3.6487 0.0001731
55 -3.64817 -3.64869 0.000170221
56 -3.64793 -3.64868 0.000167723
57 -3.64716 -3.64865 0.000166879
58 -3.64918 -3.64866 0.000164252
59 -3.64809 -3.64865 0.000161756
60 -3.64599 -3.64861 0.000165004
61 -3.64973 -3.64862 0.000163318
62 -3.65064 -3.64866 0.000163896
63 -3.65176 -3.64871 0.000168549
64 -3.64644 -3.64867 0.000169586
65 -3.64959 -3.64868 0.000167572
66 -3.65079 -3.64872 0.000168028
67 -3.64927 -3.64872 0.000165725
68 -3.64722 -3.6487 0.000164767
69 -3.64728 -3.64868 0.00016366
70 -3.64775 -3.64867 0.00016186
71 -3.65072 -3.6487 0.000162142
72 -3.64956 -3.64871 0.000160336
73 -3.64852 -3.64871 0.000158161
74 -3.65017 -3.64873 0.000157263
75 -3.64946 -3.64874 0.000155468
76 -3.64577 -3.6487 0.000158246
77 -3.64935 -3.64871 0.00015642
78 -3.64888 -3.64871 0.00015443
79 -3.64914 -3.64871 0.000152573
80 -3.64952 -3.64872 0.000150998
81 -3.64764 -3.64871 0.000149726
82 -3.64824 -3.6487 0.000148009
83 -3.64617 -3.64867 0.000149355
84 -3.64733 -3.64866 0.000148435
85 -3.64937 -3.64867 0.000146924
86 -3.64928 -3.64867 0.000145388
87 -3.64836 -3.64867 0.00014376
88 -3.64855 -3.64867 0.000142133
89 -3.64718 -3.64865 0.000141519
90 -3.64839 -3.64865 0.000139975
91 -3.64937 -3.64866 0.000138659
92 -3.64758 -3.64865 0.000137648
93 -3.65049 -3.64866 0.000137586
94 -3.64763 -3.64865 0.000136561
95 -3.64859 -3.64865 0.000135125
96 -3.65064 -3.64867 0.00013529
97 -3.64958 -3.64868 0.000134214
98 -3.64802 -3.64868 0.000133015
99 -3.64893 -3.64868 0.000131697
100 -3.64751 -3.64867 0.000130894
