#BLOCK ACTUAL AVE ERROR
1 -5.14724 -5.14724 0
2 -5.04056 -5.0939 0.0377173
3 -5.07688 -5.08823 0.0255678
4 -5.07673 -5.08535 0.0193368
5 -5.05226 -5.07873 0.0165635
6 -5.05175 -5.07424 0.0144003
7 -5.07825 -5.07481 0.0123546
8 -5.05599 -5.07246 0.0110319
9 -5.0788 -5.07316 0.00982867
10 -5.11758 -5.0776 0.0097983
11 -5.06467 -5.07643 0.00897777
12 -5.07849 -5.0766 0.00823127
13 -5.04679 -5.07431 0.00791116
14 -5.05023 -5.07259 0.00753069
15 -5.06419 -5.07203 0.00704944
16 -5.02924 -5.06935 0.00709793
17 -5.08111 -5.07005 0.00671402
18 -5.0869 -5.07098 0.00640597
19 -5.11528 -5.07331 0.00647928
20 -5.07439 -5.07337 0.00615553
21 -5.07024 -5.07322 0.00586422
22 -5.09863 -5.07437 0.0057103
23 -5.08139 -5.07468 0.00547017
24 -5.08504 -5.07511 0.00525924
25 -5.0784 -5.07524 0.00505053
26 -5.05715 -5.07455 0.00490396
27 -5.03396 -5.07304 0.00494733
28 -5.07761 -5.07321 0.00477333
29 -5.05387 -5.07254 0.00465504
30 -5.03921 -5.07143 0.00463053
31 -5.0863 -5.07191 0.00450593
32 -5.10521 -5.07295 0.00448369
33 -5.08521 -5.07332 0.0043632
34 -5.06399 -5.07305 0.0042435
35 -5.0632 -5.07276 0.00413156
36 -5.039 -5.07183 0.0041219
37 -5.08196 -5.0721 0.00401959
38 -5.10437 -5.07295 0.00400249
39 -5.08434 -5.07324 0.0039105
40 -5.07578 -5.0733 0.00381325
41 -5.07658 -5.07338 0.00372108
42 -5.0693 -5.07329 0.00363375
43 -5.04574 -5.07265 0.0036053
44 -5.1 -5.07327 0.00357656
45 -5.07658 -5.07334 0.00349784
46 -5.05564 -5.07296 0.00344291
47 -5.05386 -5.07255 0.00339354
48 -5.02916 -5.07165 0.00344113
49 -5.09318 -5.07209 0.00339885
50 -5.10113 -5.07267 0.00338016
51 -5.10392 -5.07328 0.00336895
52 -5.03098 -5.07247 0.00340097
53 -5.07221 -5.07246 0.00333681
54 -5.04992 -5.07204 0.00330101
55 -5.09785 -5.07251 0.00327417
56 -5.07741 -5.0726 0.00321687
57 -5.0689 -5.07254 0.00316109
58 -5.03825 -5.07194 0.00316139
59 -5.06493 -5.07183 0.00311004
60 -5.08306 -5.07201 0.00306383
61 -5.05637 -5.07176 0.00302432
62 -5.07768 -5.07185 0.00297705
63 -5.07461 -5.0719 0.00293012
64 -5.04699 -5.07151 0.00291006
65 -5.0996 -5.07194 0.00289721
66 -5.05166 -5.07163 0.00286955
67 -5.07611 -5.0717 0.0028275
68 -5.10505 -5.07219 0.00282814
69 -5.07312 -5.0722 0.00278719
70 -5.05129 -5.0719 0.00276333
71 -5.07943 -5.07201 0.00272644
72 -5.08392 -5.07218 0.00269359
73 -5.07732 -5.07225 0.00265761
74 -5.07982 -5.07235 0.00262367
75 -5.02484 -5.07171 0.00266406
76 -5.06038 -5.07157 0.00263318
77 -5.07721 -5.07164 0.0026
78 -5.07648 -5.0717 0.00256741
79 -5.05112 -5.07144 0.0025481
80 -5.06888 -5.07141 0.00251645
81 -5.07315 -5.07143 0.00248548
82 -5.03607 -5.071 0.00249229
83 -5.08878 -5.07121 0.00247145
84 -5.06106 -5.07109 0.00244498
85 -5.04132 -5.07074 0.00244117
86 -5.05836 -5.0706 0.00241702
87 -5.05038 -5.07037 0.00240039
88 -5.08498 -5.07053 0.00237885
89 -5.06723 -5.07049 0.00235241
90 -5.05621 -5.07034 0.00233162
91 -5.09012 -5.07055 0.00231611
92 -5.05137 -5.07034 0.0023003
93 -5.06607 -5.0703 0.00227603
94 -5.05988 -5.07019 0.00225451
95 -5.07541 -5.07024 0.00223145
96 -5.08405 -5.07039 0.00221283
97 -5.06346 -5.07031 0.00219117
98 -5.07857 -5.0704 0.00217043
99 -5.04589 -5.07015 0.00216258
100 -5.07551 -5.07021 0.00214162
