#BLOCK ACTUAL AVE ERROR
1 1.17567 1.17567 0
2 1.11914 1.14741 0.0199864
3 1.13394 1.14292 0.013819
4 1.13406 1.14071 0.0105402
5 1.13773 1.14011 0.008449
6 1.11692 1.13625 0.00787511
7 1.12926 1.13525 0.00681309
8 1.10541 1.13152 0.00690724
9 1.12824 1.13115 0.00614937
10 1.12756 1.13079 0.00554493
11 1.12852 1.13059 0.00504469
12 1.11563 1.12934 0.00477581
13 1.13477 1.12976 0.00442668
14 1.0982 1.1275 0.00464926
15 1.12529 1.12736 0.00434166
16 1.10591 1.12602 0.00427222
17 1.11797 1.12554 0.00404701
18 1.11446 1.12493 0.00386875
19 1.09664 1.12344 0.0039411
20 1.12107 1.12332 0.00374582
21 1.10252 1.12233 0.00369609
22 1.12382 1.1224 0.0035287
23 1.14074 1.12319 0.00346424
24 1.11633 1.12291 0.00333168
25 1.10568 1.12222 0.00326892
26 1.1435 1.12304 0.00324403
27 1.10759 1.12247 0.00317391
28 1.12902 1.1227 0.00306916
29 1.11866 1.12256 0.00296649
30 1.13073 1.12283 0.00288009
31 1.11864 1.1227 0.00279035
32 1.10065 1.12201 0.0027869
33 1.11465 1.12179 0.00271135
34 1.12963 1.12202 0.0026414
35 1.10319 1.12148 0.0026201
36 1.10102 1.12091 0.00260819
37 1.12671 1.12107 0.00254241
38 1.11164 1.12082 0.00248759
39 1.10589 1.12044 0.00245308
40 1.12307 1.1205 0.00239264
41 1.104 1.1201 0.0023679
42 1.14793 1.12076 0.00240246
43 1.08944 1.12003 0.00245454
44 1.09631 1.11949 0.00245724
45 1.12664 1.11965 0.00240776
46 1.11814 1.11962 0.00235564
47 1.11845 1.1196 0.00230566
48 1.12368 1.11968 0.00225919
49 1.10037 1.11929 0.00224719
50 1.10327 1.11897 0.00222496
51 1.10581 1.11871 0.00219624
52 1.11994 1.11873 0.00215413
53 1.13068 1.11896 0.00212525
54 1.13709 1.11929 0.00211224
55 1.11943 1.1193 0.00207384
56 1.12536 1.1194 0.00203963
57 1.12187 1.11945 0.00200431
58 1.10045 1.11912 0.00199633
59 1.09953 1.11879 0.00198992
60 1.10587 1.11857 0.00196837
61 1.14098 1.11894 0.00197008
62 1.11912 1.11894 0.0019383
63 1.11499 1.11888 0.00190855
64 1.10149 1.11861 0.00189798
65 1.10197 1.11835 0.00188595
66 1.12587 1.11847 0.00186081
67 1.12884 1.11862 0.00183947
68 1.10525 1.11842 0.0018229
69 1.09887 1.11814 0.00181837
70 1.13259 1.11835 0.00180407
71 1.09983 1.11809 0.00179741
72 1.11056 1.11798 0.00177548
73 1.10669 1.11783 0.00175788
74 1.10831 1.1177 0.00173883
75 1.10803 1.11757 0.00172042
76 1.13162 1.11775 0.00170769
77 1.1241 1.11784 0.0016875
78 1.11746 1.11783 0.00166587
79 1.09962 1.1176 0.00166066
80 1.11861 1.11761 0.00163995
81 1.14193 1.11791 0.00164695
82 1.11788 1.11791 0.00162687
83 1.08329 1.1175 0.00165987
84 1.12425 1.11758 0.00164206
85 1.11049 1.11749 0.00162486
86 1.10838 1.11739 0.00160941
87 1.09102 1.11709 0.00161919
88 1.10522 1.11695 0.0016064
89 1.10614 1.11683 0.00159294
90 1.08712 1.1165 0.00160909
91 1.11036 1.11643 0.00159282
92 1.11264 1.11639 0.00157604
93 1.0941 1.11615 0.00157721
94 1.11471 1.11614 0.00156051
95 1.09104 1.11587 0.00156629
96 1.12699 1.11599 0.00155425
97 1.11202 1.11595 0.00153877
98 1.11654 1.11595 0.00152308
99 1.11307 1.11592 0.00150797
100 1.09571 1.11572 0.00150638
