#BLOCK ACTUAL AVE ERROR
1 1.75498 1.75498 0
2 1.68121 1.7181 0.0260785
3 1.64787 1.69469 0.0258382
4 1.66688 1.68773 0.0202921
5 1.68816 1.68782 0.0162338
6 1.67323 1.68539 0.013709
7 1.68584 1.68545 0.0117508
8 1.6802 1.6848 0.0103002
9 1.66641 1.68275 0.00935619
10 1.66033 1.68051 0.00868515
11 1.64188 1.677 0.00857625
12 1.66552 1.67604 0.00791472
13 1.68897 1.67704 0.00736808
14 1.69095 1.67803 0.00690845
15 1.65008 1.67617 0.0066945
16 1.65092 1.67459 0.00645934
17 1.63873 1.67248 0.00641452
18 1.66011 1.67179 0.00609484
19 1.61224 1.66866 0.00653042
20 1.68098 1.66927 0.00623291
21 1.67117 1.66936 0.00593676
22 1.65814 1.66885 0.0056888
23 1.63242 1.66727 0.00565772
24 1.67367 1.66754 0.00542826
25 1.68675 1.66831 0.00526525
26 1.655 1.66779 0.00508753
27 1.6774 1.66815 0.00491153
28 1.64971 1.66749 0.00478007
29 1.64478 1.66671 0.00467895
30 1.68408 1.66729 0.00455867
31 1.66263 1.66714 0.00441408
32 1.65309 1.6667 0.0042979
33 1.66588 1.66667 0.00416774
34 1.67899 1.66704 0.00406088
35 1.63919 1.66624 0.00402204
36 1.65229 1.66585 0.00392894
37 1.66238 1.66576 0.00382387
38 1.65522 1.66548 0.00373328
39 1.61576 1.66421 0.00384913
40 1.6397 1.66359 0.00380133
41 1.6521 1.66331 0.00371894
42 1.69896 1.66416 0.003726
43 1.65169 1.66387 0.00365062
44 1.64712 1.66349 0.00358744
45 1.66126 1.66344 0.00350807
46 1.67454 1.66368 0.00344009
47 1.63662 1.66311 0.00341473
48 1.67449 1.66334 0.00335182
49 1.66432 1.66336 0.00328347
50 1.63521 1.6628 0.00326573
51 1.64625 1.66248 0.00321777
52 1.66531 1.66253 0.00315635
53 1.62458 1.66181 0.003177
54 1.70115 1.66254 0.0032006
55 1.65993 1.6625 0.00314276
56 1.69472 1.66307 0.00313888
57 1.65279 1.66289 0.00308898
58 1.64534 1.66259 0.00305052
59 1.68318 1.66294 0.00301872
60 1.69219 1.66342 0.00300751
61 1.68526 1.66378 0.00297944
62 1.7216 1.66472 0.00307385
63 1.6555 1.66457 0.00302853
64 1.68201 1.66484 0.00299345
65 1.63595 1.6644 0.00298021
66 1.68094 1.66465 0.00294558
67 1.61818 1.66395 0.00298214
68 1.65502 1.66382 0.00294117
69 1.60609 1.66299 0.00301522
70 1.7078 1.66363 0.00303935
71 1.66633 1.66366 0.00299678
72 1.66651 1.6637 0.00295542
73 1.63995 1.66338 0.00293279
74 1.64368 1.66311 0.00290521
75 1.65617 1.66302 0.00286795
76 1.64549 1.66279 0.00283947
77 1.64243 1.66252 0.00281488
78 1.67014 1.66262 0.00278049
79 1.66308 1.66263 0.0027453
80 1.6837 1.66289 0.00272359
81 1.66296 1.66289 0.00268997
82 1.66962 1.66297 0.00265841
83 1.63106 1.66259 0.00265404
84 1.68278 1.66283 0.00263331
85 1.66919 1.66291 0.00260339
86 1.71675 1.66353 0.00264732
87 1.66795 1.66358 0.00261738
88 1.65389 1.66347 0.00258996
89 1.69231 1.6638 0.00258104
90 1.65422 1.66369 0.00255455
91 1.69237 1.664 0.00254585
92 1.65166 1.66387 0.00252172
93 1.66213 1.66385 0.00249467
94 1.65606 1.66377 0.00246951
95 1.66906 1.66382 0.00244414
96 1.64392 1.66362 0.00242746
97 1.68797 1.66387 0.00241538
98 1.65944 1.66382 0.00239116
99 1.66958 1.66388 0.00236771
100 1.71157 1.66436 0.00239158
