#BLOCK ACTUAL AVE ERROR
1 0.943575 0.943575 0
2 0.9086 0.926087 0.0123658
3 0.891523 0.914566 0.0125083
4 0.900869 0.911142 0.00983879
5 0.910755 0.911064 0.00787134
6 0.904902 0.910037 0.00662611
7 0.909924 0.910021 0.00567954
8 0.907962 0.909764 0.00497543
9 0.900568 0.908742 0.0045263
10 0.897784 0.907646 0.00420423
11 0.889025 0.905953 0.00414887
12 0.900057 0.905462 0.00383212
13 0.912433 0.905998 0.00357467
14 0.91465 0.906616 0.00337233
15 0.892826 0.905697 0.00327043
16 0.892946 0.9049 0.00316164
17 0.886922 0.903842 0.00314756
18 0.897658 0.903499 0.00299138
19 0.874731 0.901985 0.00319422
20 0.907689 0.90227 0.00304722
21 0.902278 0.90227 0.00290211
22 0.89683 0.902023 0.00278072
23 0.883743 0.901228 0.00277107
24 0.904433 0.901362 0.00265883
25 0.910626 0.901732 0.00257817
26 0.895155 0.901479 0.00249139
27 0.905504 0.901628 0.00240357
28 0.892496 0.901302 0.00233976
29 0.889351 0.90089 0.00229508
30 0.909294 0.90117 0.00223561
31 0.898285 0.901077 0.00216543
32 0.894055 0.900858 0.00210885
33 0.900391 0.900844 0.00204499
34 0.906597 0.901013 0.00199184
35 0.888273 0.900649 0.0019679
36 0.893175 0.900441 0.00192416
37 0.900174 0.900434 0.00187217
38 0.89496 0.90029 0.00182843
39 0.875867 0.899664 0.00188574
40 0.888113 0.899375 0.00186058
41 0.894483 0.899256 0.00181902
42 0.91646 0.899665 0.00182125
43 0.892485 0.899498 0.00178653
44 0.89235 0.899336 0.0017533
45 0.899182 0.899332 0.00171434
46 0.904626 0.899447 0.00168093
47 0.885848 0.899158 0.00166989
48 0.904686 0.899273 0.00163906
49 0.900058 0.899289 0.00160569
50 0.88582 0.89902 0.00159601
51 0.891006 0.898863 0.00157243
52 0.900869 0.898901 0.00154267
53 0.881173 0.898567 0.0015494
54 0.918326 0.898933 0.00156332
55 0.897577 0.898908 0.00153509
56 0.915358 0.899202 0.00153553
57 0.893716 0.899106 0.0015116
58 0.890285 0.898954 0.00149317
59 0.909211 0.899127 0.00147795
60 0.914398 0.899382 0.00147507
61 0.909968 0.899555 0.00146106
62 0.927933 0.900013 0.00150748
63 0.89632 0.899955 0.00148469
64 0.908547 0.900089 0.00146755
65 0.886536 0.89988 0.00145971
66 0.908892 0.900017 0.00144396
67 0.877525 0.899681 0.00146091
68 0.895378 0.899618 0.0014408
69 0.870989 0.899203 0.00147845
70 0.921295 0.899519 0.00149064
71 0.901548 0.899547 0.00146992
72 0.900914 0.899566 0.00144962
73 0.889021 0.899422 0.00143695
74 0.88967 0.89929 0.00142356
75 0.896162 0.899248 0.00140519
76 0.891386 0.899145 0.0013905
77 0.889864 0.899024 0.00137766
78 0.902371 0.899067 0.00136066
79 0.899278 0.89907 0.00134344
80 0.908987 0.899194 0.00133236
81 0.899678 0.8992 0.00131592
82 0.903279 0.899249 0.00130081
83 0.884458 0.899071 0.00129729
84 0.910021 0.899202 0.00128838
85 0.902436 0.89924 0.00127378
86 0.925399 0.899544 0.00129478
87 0.902123 0.899574 0.00128024
88 0.895361 0.899526 0.00126658
89 0.913983 0.899688 0.00126273
90 0.895665 0.899643 0.00124949
91 0.913696 0.899798 0.00124526
92 0.893479 0.899729 0.00123362
93 0.899482 0.899726 0.00122036
94 0.895823 0.899685 0.00120808
95 0.900929 0.899698 0.00119544
96 0.889379 0.899591 0.00118781
97 0.911271 0.899711 0.00118165
98 0.897322 0.899687 0.00116984
99 0.90186 0.899709 0.00115823
100 0.923235 0.899944 0.0011703
