#BLOCK ACTUAL AVE ERROR
1 1.64923 1.64923 0
2 1.66363 1.65643 0.00509227
3 1.62601 1.64629 0.00894799
4 1.67626 1.65378 0.00933451
5 1.70922 1.66487 0.012414
6 1.65207 1.66274 0.0105266
7 1.64136 1.65968 0.00945522
8 1.64467 1.65781 0.0084574
9 1.70192 1.66271 0.00882441
10 1.68273 1.66471 0.00816584
11 1.65066 1.66343 0.00752273
12 1.71292 1.66756 0.00794617
13 1.7147 1.67118 0.00812043
14 1.63578 1.66865 0.00792429
15 1.65017 1.66742 0.00749121
16 1.65395 1.66658 0.00707019
17 1.65144 1.66569 0.00671013
18 1.66395 1.66559 0.00633804
19 1.70957 1.66791 0.00641326
20 1.69883 1.66945 0.00627621
21 1.67824 1.66987 0.00599129
22 1.63302 1.6682 0.00594853
23 1.6464 1.66725 0.00576487
24 1.66607 1.6672 0.00552488
25 1.64295 1.66623 0.00538835
26 1.63616 1.66507 0.0053038
27 1.68335 1.66575 0.0051504
28 1.70151 1.66703 0.00512232
29 1.70289 1.66826 0.00509277
30 1.71164 1.66971 0.00512414
31 1.66582 1.66959 0.00496038
32 1.71145 1.67089 0.00497491
33 1.67412 1.67099 0.00482511
34 1.64187 1.67013 0.0047586
35 1.66503 1.66999 0.00462487
36 1.6604 1.66972 0.00450407
37 1.7124 1.67088 0.00452759
38 1.66103 1.67062 0.00441586
39 1.61635 1.66923 0.0045165
40 1.62737 1.66818 0.00452318
41 1.67065 1.66824 0.00441326
42 1.6797 1.66851 0.0043166
43 1.64164 1.66789 0.0042612
44 1.66548 1.66783 0.00416471
45 1.64991 1.66743 0.00409117
46 1.67289 1.66755 0.00400395
47 1.68697 1.66797 0.00394002
48 1.6172 1.66691 0.00399738
49 1.65739 1.66671 0.00392051
50 1.68889 1.66716 0.0038671
51 1.69344 1.66767 0.00382546
52 1.66748 1.66767 0.00375189
53 1.62353 1.66684 0.0037724
54 1.67348 1.66696 0.00370455
55 1.68686 1.66732 0.00365481
56 1.6329 1.66671 0.00364087
57 1.71903 1.66762 0.00369089
58 1.68476 1.66792 0.00363907
59 1.65939 1.66778 0.00358026
60 1.66773 1.66777 0.00352059
61 1.65218 1.66752 0.00347214
62 1.66975 1.66755 0.00341633
63 1.68067 1.66776 0.00336844
64 1.69569 1.6682 0.00334395
65 1.67944 1.66837 0.00329698
66 1.65261 1.66813 0.00325567
67 1.63088 1.66758 0.0032542
68 1.66203 1.6675 0.00320737
69 1.69441 1.66789 0.00318451
70 1.70382 1.6684 0.00318012
71 1.63674 1.66795 0.00316644
72 1.63311 1.66747 0.00315923
73 1.63065 1.66696 0.00315596
74 1.71214 1.66758 0.0031718
75 1.73722 1.6685 0.00326261
76 1.65554 1.66833 0.00322413
77 1.72945 1.66913 0.00327851
78 1.66968 1.66913 0.00323649
79 1.6739 1.66919 0.00319608
80 1.68063 1.66934 0.00315932
81 1.65131 1.66911 0.00312815
82 1.66196 1.66903 0.00309122
83 1.72742 1.66973 0.00313301
84 1.64962 1.66949 0.00310484
85 1.7004 1.66986 0.00308953
86 1.70307 1.67024 0.00307765
87 1.70753 1.67067 0.00307198
88 1.6648 1.6706 0.00303779
89 1.65896 1.67047 0.00300647
90 1.70778 1.67089 0.00300151
91 1.7011 1.67122 0.00298684
92 1.67165 1.67122 0.00295437
93 1.67779 1.67129 0.00292345
94 1.63359 1.67089 0.00291974
95 1.70159 1.67122 0.00290683
96 1.58939 1.67036 0.00299893
97 1.68051 1.67047 0.00296983
98 1.65532 1.67031 0.00294355
99 1.69709 1.67058 0.00292621
100 1.67829 1.67066 0.00289796
