#BLOCK ACTUAL AVE ERROR
1 -4.99353 -4.99353 0
2 -5.00481 -4.99917 0.00398965
3 -4.96988 -4.98941 0.00840491
4 -5.02116 -4.99735 0.00932742
5 -5.05615 -5.00911 0.0128964
6 -4.99562 -5.00686 0.0109412
7 -4.98519 -5.00376 0.00980623
8 -4.98628 -5.00158 0.00882069
9 -5.04624 -5.00654 0.00913073
10 -5.02726 -5.00861 0.00844953
11 -4.99682 -5.00754 0.00774911
12 -5.05869 -5.0118 0.00819221
13 -5.05855 -5.0154 0.00831402
14 -4.98192 -5.01301 0.0080567
15 -4.9945 -5.01177 0.00761346
16 -4.99662 -5.01083 0.00719628
17 -4.99633 -5.00997 0.00682332
18 -5.00755 -5.00984 0.00644558
19 -5.05489 -5.01221 0.00652789
20 -5.0439 -5.01379 0.0063909
21 -5.02423 -5.01429 0.00610587
22 -4.97701 -5.0126 0.00605891
23 -4.9896 -5.0116 0.00587739
24 -5.0103 -5.01154 0.00563275
25 -4.98546 -5.0105 0.00550319
26 -4.97938 -5.0093 0.00542014
27 -5.03029 -5.01008 0.00527484
28 -5.04769 -5.01142 0.0052547
29 -5.04829 -5.01269 0.00522501
30 -5.0597 -5.01426 0.00528056
31 -5.01079 -5.01415 0.00511141
32 -5.05404 -5.0154 0.00510142
33 -5.019 -5.01551 0.004948
34 -4.98688 -5.01466 0.00487357
35 -5.00991 -5.01453 0.00473622
36 -5.00545 -5.01428 0.00461136
37 -5.05966 -5.0155 0.00464701
38 -5.00598 -5.01525 0.00453148
39 -4.96143 -5.01387 0.00462066
40 -4.97087 -5.0128 0.00462853
41 -5.01522 -5.01286 0.00451602
42 -5.02005 -5.01303 0.00441174
43 -4.98416 -5.01236 0.0043599
44 -5.00837 -5.01227 0.00426176
45 -4.9953 -5.01189 0.00418369
46 -5.0184 -5.01203 0.00409513
47 -5.03242 -5.01246 0.00403092
48 -4.96205 -5.01141 0.00408149
49 -5.00219 -5.01123 0.00400253
50 -5.03423 -5.01169 0.00394883
51 -5.03843 -5.01221 0.00390607
52 -5.01283 -5.01222 0.00383097
53 -4.96797 -5.01139 0.00384859
54 -5.01986 -5.01154 0.00378052
55 -5.03123 -5.0119 0.00372868
56 -4.9805 -5.01134 0.00370402
57 -5.06316 -5.01225 0.00374893
58 -5.02834 -5.01253 0.00369453
59 -5.00261 -5.01236 0.00363573
60 -5.01078 -5.01233 0.00357523
61 -4.99827 -5.0121 0.00352405
62 -5.01135 -5.01209 0.00346723
63 -5.02358 -5.01227 0.00341699
64 -5.04026 -5.01271 0.00339147
65 -5.02355 -5.01288 0.0033434
66 -4.99873 -5.01266 0.0032996
67 -4.97273 -5.01207 0.00330375
68 -5.00835 -5.01201 0.00325562
69 -5.03909 -5.0124 0.003232
70 -5.0486 -5.01292 0.00322692
71 -4.97864 -5.01244 0.00321739
72 -4.97839 -5.01197 0.00320727
73 -4.97319 -5.01143 0.00320701
74 -5.05428 -5.01201 0.00321552
75 -5.08167 -5.01294 0.00330408
76 -4.99807 -5.01275 0.00326639
77 -5.07305 -5.01353 0.00331653
78 -5.01382 -5.01353 0.00327401
79 -5.01806 -5.01359 0.00323307
80 -5.02323 -5.01371 0.0031949
81 -4.99364 -5.01346 0.00316505
82 -5.00664 -5.01338 0.00312755
83 -5.07258 -5.01409 0.00317016
84 -4.99218 -5.01383 0.00314314
85 -5.04633 -5.01421 0.00312932
86 -5.04762 -5.0146 0.00311695
87 -5.05314 -5.01505 0.00311244
88 -5.00758 -5.01496 0.00307823
89 -5.00054 -5.0148 0.0030479
90 -5.05065 -5.0152 0.00303995
91 -5.04542 -5.01553 0.00302464
92 -5.01503 -5.01552 0.00299177
93 -5.02019 -5.01557 0.00296002
94 -4.97604 -5.01515 0.00295826
95 -5.04809 -5.0155 0.00294737
96 -4.9301 -5.01461 0.00304795
97 -5.02428 -5.01471 0.00301815
98 -5.00012 -5.01456 0.00299103
99 -5.04201 -5.01484 0.00297363
100 -5.02393 -5.01493 0.00294529
