#BLOCK ACTUAL AVE ERROR
1 0.892117 0.892117 0
2 0.899989 0.896053 0.00278311
3 0.880793 0.890966 0.0045488
4 0.905971 0.894718 0.00471083
5 0.921175 0.900009 0.00604997
6 0.894403 0.899075 0.00511328
7 0.889222 0.897667 0.00457244
8 0.89117 0.896855 0.00407238
9 0.918133 0.899219 0.00425114
10 0.907821 0.900079 0.0039121
11 0.892805 0.899418 0.00361191
12 0.924175 0.901481 0.00385537
13 0.924833 0.903277 0.00395517
14 0.885844 0.902032 0.00386372
15 0.893018 0.901431 0.00365257
16 0.894719 0.901012 0.0034483
17 0.893033 0.900542 0.00327724
18 0.899887 0.900506 0.00309537
19 0.921636 0.901618 0.00312586
20 0.917706 0.902422 0.00307132
21 0.908136 0.902695 0.00293709
22 0.88514 0.901897 0.00290996
23 0.892014 0.901467 0.00281499
24 0.900759 0.901437 0.00269785
25 0.889928 0.900977 0.00262892
26 0.888141 0.900483 0.00257375
27 0.909714 0.900825 0.00250103
28 0.918607 0.90146 0.00249103
29 0.918992 0.902065 0.0024774
30 0.921808 0.902723 0.00248069
31 0.899751 0.902627 0.00240252
32 0.923665 0.903284 0.00241572
33 0.904144 0.90331 0.00234265
34 0.889741 0.902911 0.0023075
35 0.900987 0.902856 0.00224223
36 0.897897 0.902719 0.00218417
37 0.922839 0.903262 0.00219178
38 0.897521 0.903111 0.00213931
39 0.876472 0.902428 0.00219079
40 0.881983 0.901917 0.00219483
41 0.903856 0.901964 0.00214181
42 0.908764 0.902126 0.00209692
43 0.890631 0.901859 0.00206513
44 0.900453 0.901827 0.00201844
45 0.894242 0.901658 0.00198061
46 0.902447 0.901676 0.00193763
47 0.909865 0.90185 0.00190422
48 0.878156 0.901356 0.00192747
49 0.896422 0.901256 0.00189076
50 0.912147 0.901473 0.00186545
51 0.913421 0.901708 0.00184352
52 0.901837 0.90171 0.00180807
53 0.880096 0.901302 0.00181937
54 0.904229 0.901356 0.00178649
55 0.911427 0.90154 0.00176336
56 0.88375 0.901222 0.00176026
57 0.926984 0.901674 0.00178646
58 0.911666 0.901846 0.00176394
59 0.897768 0.901777 0.0017354
60 0.901996 0.901781 0.00170648
61 0.893257 0.901641 0.00168422
62 0.903149 0.901665 0.00165723
63 0.908753 0.901778 0.00163474
64 0.914548 0.901977 0.00162133
65 0.90687 0.902053 0.00159813
66 0.893136 0.901917 0.00157961
67 0.883567 0.901644 0.0015796
68 0.898254 0.901594 0.00155716
69 0.915899 0.901801 0.00154833
70 0.919021 0.902047 0.00154563
71 0.886826 0.901833 0.00153866
72 0.883869 0.901583 0.00153738
73 0.883507 0.901336 0.00153613
74 0.923837 0.90164 0.00154518
75 0.935515 0.902091 0.00158922
76 0.896796 0.902022 0.00156983
77 0.931575 0.902405 0.00159568
78 0.90213 0.902402 0.00157522
79 0.906063 0.902448 0.00155597
80 0.909487 0.902536 0.001539
81 0.893985 0.902431 0.00152362
82 0.898483 0.902383 0.0015058
83 0.931059 0.902728 0.00152678
84 0.89323 0.902615 0.00151278
85 0.916519 0.902779 0.0015038
86 0.919033 0.902968 0.00149815
87 0.920289 0.903167 0.0014941
88 0.899745 0.903128 0.00147763
89 0.897364 0.903063 0.00146244
90 0.921017 0.903262 0.00145974
91 0.917799 0.903422 0.00145241
92 0.903511 0.903423 0.00143662
93 0.906316 0.903454 0.00142151
94 0.885808 0.903267 0.00141873
95 0.918277 0.903425 0.00141257
96 0.864628 0.90302 0.00145451
97 0.907866 0.90307 0.00144038
98 0.894989 0.902988 0.00142804
99 0.916181 0.903121 0.00141982
100 0.905347 0.903143 0.00140579
