#BLOCK ACTUAL AVE ERROR
1 1.09948 1.09948 0
2 1.10909 1.10429 0.00339485
3 1.08401 1.09753 0.00596533
4 1.1175 1.10252 0.006223
5 1.13948 1.10991 0.00827602
6 1.10138 1.10849 0.00701771
7 1.09424 1.10646 0.00630348
8 1.09645 1.1052 0.00563826
9 1.13461 1.10847 0.00588294
10 1.12182 1.10981 0.00544389
11 1.10044 1.10896 0.00501515
12 1.14195 1.1117 0.00529745
13 1.14313 1.11412 0.00541362
14 1.09052 1.11244 0.00528286
15 1.10011 1.11161 0.00499414
16 1.10263 1.11105 0.00471346
17 1.10096 1.11046 0.00447342
18 1.1093 1.1104 0.00422536
19 1.13972 1.11194 0.0042755
20 1.13255 1.11297 0.00418414
21 1.11883 1.11325 0.00399419
22 1.08868 1.11213 0.00396568
23 1.0976 1.1115 0.00384325
24 1.11071 1.11147 0.00368325
25 1.0953 1.11082 0.00359224
26 1.09077 1.11005 0.00353587
27 1.12224 1.1105 0.0034336
28 1.13434 1.11135 0.00341488
29 1.13526 1.11218 0.00339518
30 1.14109 1.11314 0.00341609
31 1.11055 1.11306 0.00330692
32 1.14097 1.11393 0.0033166
33 1.11608 1.11399 0.00321674
34 1.09458 1.11342 0.0031724
35 1.11002 1.11333 0.00308325
36 1.10693 1.11315 0.00300271
37 1.1416 1.11392 0.00301839
38 1.10735 1.11374 0.0029439
39 1.07757 1.11282 0.003011
40 1.08491 1.11212 0.00301545
41 1.11377 1.11216 0.00294217
42 1.1198 1.11234 0.00287774
43 1.09443 1.11192 0.0028408
44 1.11032 1.11189 0.00277647
45 1.09994 1.11162 0.00272745
46 1.11526 1.1117 0.0026693
47 1.12465 1.11198 0.00262668
48 1.07813 1.11127 0.00266492
49 1.10493 1.11114 0.00261367
50 1.12593 1.11144 0.00257807
51 1.12896 1.11178 0.0025503
52 1.11165 1.11178 0.00250126
53 1.08235 1.11122 0.00251494
54 1.11565 1.11131 0.0024697
55 1.12457 1.11155 0.00243654
56 1.0886 1.11114 0.00242724
57 1.14602 1.11175 0.0024606
58 1.12317 1.11195 0.00242604
59 1.10626 1.11185 0.00238684
60 1.11182 1.11185 0.00234706
61 1.10145 1.11168 0.00231476
62 1.11316 1.1117 0.00227755
63 1.12045 1.11184 0.00224562
64 1.13046 1.11213 0.0022293
65 1.11963 1.11225 0.00219799
66 1.10174 1.11209 0.00217044
67 1.08725 1.11172 0.00216947
68 1.10802 1.11166 0.00213825
69 1.1296 1.11192 0.00212301
70 1.13588 1.11227 0.00212008
71 1.09116 1.11197 0.00211096
72 1.08874 1.11165 0.00210615
73 1.0871 1.11131 0.00210397
74 1.14143 1.11172 0.00211453
75 1.15815 1.11234 0.00217507
76 1.10369 1.11222 0.00214942
77 1.15297 1.11275 0.00218567
78 1.11312 1.11276 0.00215766
79 1.11594 1.1128 0.00213072
80 1.12042 1.11289 0.00210622
81 1.10087 1.11274 0.00208543
82 1.10798 1.11269 0.00206081
83 1.15161 1.11315 0.00208867
84 1.09975 1.11299 0.00206989
85 1.1336 1.11324 0.00205969
86 1.13538 1.11349 0.00205177
87 1.13835 1.11378 0.00204798
88 1.10987 1.11374 0.00202519
89 1.10597 1.11365 0.00200432
90 1.13852 1.11392 0.00200101
91 1.13407 1.11415 0.00199122
92 1.11443 1.11415 0.00196958
93 1.11853 1.1142 0.00194897
94 1.08906 1.11393 0.0019465
95 1.13439 1.11414 0.00193789
96 1.05959 1.11358 0.00199928
97 1.12034 1.11365 0.00197989
98 1.10355 1.11354 0.00196237
99 1.13139 1.11372 0.00195081
100 1.11886 1.11377 0.00193198
