#BLOCK ACTUAL AVE ERROR
1 -3.3443 -3.3443 0
2 -3.34118 -3.34274 0.00110262
3 -3.34387 -3.34312 0.000796234
4 -3.3449 -3.34356 0.000711495
5 -3.34693 -3.34424 0.000828205
6 -3.34354 -3.34412 0.000698181
7 -3.34383 -3.34408 0.000599707
8 -3.3416 -3.34377 0.000599411
9 -3.34432 -3.34383 0.000535968
10 -3.34454 -3.3439 0.000486992
11 -3.34616 -3.34411 0.000484046
12 -3.34577 -3.34425 0.000463133
13 -3.34385 -3.34422 0.000428495
14 -3.34614 -3.34435 0.000419305
15 -3.34433 -3.34435 0.000391354
16 -3.34267 -3.34425 0.000380677
17 -3.34489 -3.34428 0.00036013
18 -3.3436 -3.34425 0.000342141
19 -3.34531 -3.3443 0.000328723
20 -3.34507 -3.34434 0.000314509
21 -3.34599 -3.34442 0.000309186
22 -3.34399 -3.3444 0.000295741
23 -3.3432 -3.34435 0.000287451
24 -3.34423 -3.34434 0.000275518
25 -3.34251 -3.34427 0.000274059
26 -3.34322 -3.34423 0.000266469
27 -3.34693 -3.34433 0.000274798
28 -3.34619 -3.3444 0.000272863
29 -3.3454 -3.34443 0.000265635
30 -3.34806 -3.34455 0.000283026
31 -3.34497 -3.34456 0.000274214
32 -3.34259 -3.3445 0.000272504
33 -3.34488 -3.34451 0.000264489
34 -3.34501 -3.34453 0.000257108
35 -3.34488 -3.34454 0.000249961
36 -3.34505 -3.34455 0.000243424
37 -3.34727 -3.34463 0.000247636
38 -3.34495 -3.34464 0.000241265
39 -3.34507 -3.34465 0.000235342
40 -3.3435 -3.34462 0.000231207
41 -3.34457 -3.34462 0.000225571
42 -3.34035 -3.34451 0.00024199
43 -3.34252 -3.34447 0.000240771
44 -3.34289 -3.34443 0.000237956
45 -3.3454 -3.34445 0.000233635
46 -3.3455 -3.34448 0.000229666
47 -3.34545 -3.3445 0.000225717
48 -3.34485 -3.34451 0.000221133
49 -3.3448 -3.34451 0.0002167
50 -3.34534 -3.34453 0.000212998
51 -3.34499 -3.34454 0.000209015
52 -3.34535 -3.34455 0.000205586
53 -3.34444 -3.34455 0.000201717
54 -3.34638 -3.34458 0.000200804
55 -3.34437 -3.34458 0.00019719
56 -3.3476 -3.34463 0.000200908
57 -3.34413 -3.34463 0.00019758
58 -3.34357 -3.34461 0.000195003
59 -3.34322 -3.34458 0.000193102
60 -3.34306 -3.34456 0.000191552
61 -3.34609 -3.34458 0.000190047
62 -3.3416 -3.34454 0.000192966
63 -3.34291 -3.34451 0.00019162
64 -3.34457 -3.34451 0.000188628
65 -3.34411 -3.3445 0.000185827
66 -3.34612 -3.34453 0.000184616
67 -3.34185 -3.34449 0.000186154
68 -3.34632 -3.34452 0.000185356
69 -3.34468 -3.34452 0.000182685
70 -3.34478 -3.34452 0.000180114
71 -3.3419 -3.34449 0.000181312
72 -3.34528 -3.3445 0.000179129
73 -3.34254 -3.34447 0.000178658
74 -3.34214 -3.34444 0.000178984
75 -3.34446 -3.34444 0.000176598
76 -3.34253 -3.34441 0.000176058
77 -3.3436 -3.3444 0.000174089
78 -3.34414 -3.3444 0.000171891
79 -3.34415 -3.3444 0.000169743
80 -3.3426 -3.34437 0.000169107
81 -3.34233 -3.34435 0.000168894
82 -3.34467 -3.34435 0.000166881
83 -3.34516 -3.34436 0.000165155
84 -3.34256 -3.34434 0.000164578
85 -3.34593 -3.34436 0.000163701
86 -3.34456 -3.34436 0.000161814
87 -3.34561 -3.34438 0.000160584
88 -3.34278 -3.34436 0.000159782
89 -3.34158 -3.34433 0.00016101
90 -3.34287 -3.34431 0.000160032
91 -3.34432 -3.34431 0.000158274
92 -3.34337 -3.3443 0.00015688
93 -3.3424 -3.34428 0.000156524
94 -3.34245 -3.34426 0.000156062
95 -3.3465 -3.34428 0.000156194
96 -3.34072 -3.34425 0.000158921
97 -3.34377 -3.34424 0.00015736
98 -3.3448 -3.34425 0.000155856
99 -3.34492 -3.34425 0.000154431
100 -3.34563 -3.34427 0.000153502
