#BLOCK ACTUAL AVE ERROR
1 -7.04563 -7.04563 0
2 -7.05049 -7.04806 0.00171535
3 -7.05661 -7.05091 0.00259329
4 -7.05164 -7.05109 0.00195141
5 -7.05144 -7.05116 0.00156236
6 -7.04738 -7.05053 0.00142355
7 -7.05823 -7.05163 0.00158946
8 -7.05354 -7.05187 0.00140848
9 -7.05035 -7.0517 0.00126201
10 -7.04176 -7.05071 0.0014766
11 -7.05869 -7.05143 0.00151005
12 -7.04584 -7.05097 0.00145425
13 -7.05324 -7.05114 0.00135282
14 -7.03604 -7.05006 0.00163063
15 -7.05755 -7.05056 0.00159656
16 -7.04519 -7.05023 0.0015317
17 -7.04504 -7.04992 0.00147165
18 -7.05611 -7.05026 0.00142948
19 -7.04308 -7.04989 0.00140332
20 -7.05242 -7.05001 0.00133884
21 -7.04358 -7.04971 0.00130966
22 -7.04941 -7.04969 0.00125019
23 -7.04607 -7.04954 0.00120571
24 -7.04877 -7.0495 0.00115589
25 -7.053 -7.04964 0.00111806
26 -7.04849 -7.0496 0.00107594
27 -7.04542 -7.04944 0.00104714
28 -7.05186 -7.04953 0.00101328
29 -7.05268 -7.04964 0.000984142
30 -7.05033 -7.04966 0.00095161
31 -7.05535 -7.04985 0.000938422
32 -7.0485 -7.0498 0.000910034
33 -7.05239 -7.04988 0.000885827
34 -7.05705 -7.05009 0.000884469
35 -7.0509 -7.05012 0.000859502
36 -7.04021 -7.04984 0.000878617
37 -7.05557 -7.05 0.000868405
38 -7.04073 -7.04975 0.000879128
39 -7.05437 -7.04987 0.000864506
40 -7.05285 -7.04994 0.0008461
41 -7.04796 -7.0499 0.000826852
42 -7.05256 -7.04996 0.000809591
43 -7.05297 -7.05003 0.000793791
44 -7.05007 -7.05003 0.000775751
45 -7.04927 -7.05001 0.000758698
46 -7.04103 -7.04982 0.000766942
47 -7.04783 -7.04978 0.000751786
48 -7.05066 -7.04979 0.00073635
49 -7.04122 -7.04962 0.000741804
50 -7.05382 -7.0497 0.000731701
