#BLOCK ACTUAL AVE ERROR
1 1.07767 1.07767 0
2 1.09094 1.0843 0.00469216
3 1.09173 1.08678 0.00372479
4 1.08763 1.08699 0.00279972
5 1.08133 1.08586 0.00245799
6 1.08975 1.08651 0.00213191
7 1.09077 1.08712 0.00191221
8 1.08402 1.08673 0.00171196
9 1.0831 1.08633 0.00156845
10 1.09441 1.08714 0.00160663
11 1.08013 1.0865 0.0015818
12 1.09438 1.08716 0.00158048
13 1.08737 1.08717 0.00145899
14 1.08919 1.08732 0.00136187
15 1.08869 1.08741 0.00127417
16 1.0821 1.08708 0.00123703
17 1.08618 1.08702 0.00116537
18 1.08184 1.08674 0.00113565
19 1.09319 1.08707 0.00112556
20 1.10308 1.08788 0.00132353
21 1.07783 1.0874 0.00134422
22 1.08831 1.08744 0.00128377
23 1.08347 1.08727 0.00123952
24 1.08222 1.08706 0.0012056
25 1.10295 1.08769 0.00131435
26 1.09479 1.08796 0.00129187
27 1.07987 1.08766 0.00127836
28 1.08634 1.08762 0.00123358
29 1.08647 1.08758 0.00119168
30 1.08864 1.08761 0.00115248
31 1.08537 1.08754 0.00111758
32 1.09059 1.08764 0.00108672
33 1.08559 1.08757 0.00105556
34 1.09213 1.08771 0.00103299
35 1.08901 1.08774 0.00100415
36 1.08078 1.08755 0.000994706
37 1.09341 1.08771 0.000980354
38 1.08674 1.08768 0.000954889
39 1.09347 1.08783 0.000941841
40 1.08675 1.08781 0.000918684
41 1.0841 1.08771 0.00090072
42 1.08914 1.08775 0.000879913
43 1.09043 1.08781 0.000861664
44 1.08007 1.08764 0.000859835
45 1.09268 1.08775 0.000847999
46 1.08113 1.0876 0.000841676
47 1.09528 1.08777 0.000839453
48 1.0889 1.08779 0.000822294
49 1.09353 1.08791 0.000813821
50 1.08849 1.08792 0.000797628
