#BLOCK ACTUAL AVE ERROR
1 0.771036 0.771036 0
2 0.779072 0.775054 0.0028411
3 0.779153 0.77642 0.00219822
4 0.779396 0.777164 0.0017701
5 0.779918 0.777715 0.00149933
6 0.788262 0.779473 0.00203377
7 0.768761 0.777943 0.00224636
8 0.773375 0.777372 0.00203685
9 0.780166 0.777682 0.00183405
10 0.780274 0.777941 0.00166886
11 0.782198 0.778328 0.00156136
12 0.771239 0.777738 0.00153896
13 0.778246 0.777777 0.00142108
14 0.777362 0.777747 0.00131988
15 0.780002 0.777897 0.00124042
16 0.775389 0.777741 0.00117276
17 0.774904 0.777574 0.00111557
18 0.776316 0.777504 0.00105578
19 0.781651 0.777722 0.00102253
20 0.775709 0.777622 0.00097635
21 0.772254 0.777366 0.000962732
22 0.783741 0.777656 0.000961598
23 0.771015 0.777367 0.000962165
24 0.776206 0.777319 0.00092329
25 0.778324 0.777359 0.000887235
26 0.775495 0.777287 0.000856003
27 0.780991 0.777424 0.00083522
28 0.772757 0.777258 0.000821853
29 0.783163 0.777461 0.000818351
30 0.77087 0.777242 0.000820032
31 0.780038 0.777332 0.000798527
32 0.775146 0.777263 0.000776488
33 0.782778 0.777431 0.000770727
34 0.776527 0.777404 0.000748517
35 0.771081 0.777223 0.000748615
36 0.783657 0.777402 0.000748847
37 0.774278 0.777318 0.000733354
38 0.776828 0.777305 0.000714168
39 0.783216 0.777456 0.000711756
40 0.780154 0.777524 0.000697152
41 0.771783 0.777384 0.000694068
42 0.778068 0.7774 0.000677734
43 0.774981 0.777344 0.000664303
44 0.775147 0.777294 0.000651077
45 0.781683 0.777391 0.000643875
46 0.780144 0.777451 0.000632653
47 0.776775 0.777437 0.000619356
48 0.781242 0.777516 0.000611504
49 0.773506 0.777434 0.000604475
50 0.778146 0.777449 0.000592554
