#BLOCK ACTUAL AVE ERROR
1 -5.37456 -5.37456 0
2 -5.37298 -5.37377 0.000556391
3 -5.37403 -5.37386 0.000377679
4 -5.37286 -5.37361 0.000355951
5 -5.37222 -5.37333 0.000378029
6 -5.37137 -5.373 0.000433534
7 -5.37227 -5.3729 0.000384137
8 -5.37189 -5.37277 0.00035613
9 -5.37139 -5.37262 0.000348123
10 -5.3748 -5.37284 0.000375416
11 -5.37248 -5.37281 0.000342687
12 -5.37232 -5.37277 0.000316469
13 -5.37284 -5.37277 0.000292173
14 -5.37263 -5.37276 0.000271489
15 -5.37229 -5.37273 0.000255185
16 -5.374 -5.37281 0.000251277
17 -5.37327 -5.37284 0.000237967
18 -5.3732 -5.37286 0.000225623
19 -5.37299 -5.37286 0.000213856
20 -5.37346 -5.37289 0.000205226
21 -5.37115 -5.37281 0.00021164
22 -5.37156 -5.37275 0.000209481
23 -5.37079 -5.37267 0.000217088
24 -5.37214 -5.37265 0.000209153
25 -5.37169 -5.37261 0.000204288
26 -5.37157 -5.37257 0.000200324
27 -5.37179 -5.37254 0.00019498
28 -5.3725 -5.37254 0.000188021
29 -5.37326 -5.37256 0.000183164
30 -5.3732 -5.37258 0.00017828
31 -5.37239 -5.37258 0.000172644
32 -5.37246 -5.37257 0.000167286
33 -5.37385 -5.37261 0.000166613
34 -5.37364 -5.37264 0.00016443
35 -5.37253 -5.37264 0.000159766
36 -5.37242 -5.37263 0.000155442
37 -5.37257 -5.37263 0.000151249
38 -5.37168 -5.37261 0.000149326
39 -5.37161 -5.37258 0.000147663
40 -5.37291 -5.37259 0.000144207
41 -5.37309 -5.3726 0.000141209
42 -5.3725 -5.3726 0.000137868
43 -5.37252 -5.3726 0.000134675
44 -5.37134 -5.37257 0.000134616
45 -5.37374 -5.37259 0.000134123
46 -5.37218 -5.37259 0.000131503
47 -5.37337 -5.3726 0.00012977
48 -5.37236 -5.3726 0.000127168
49 -5.374 -5.37263 0.000127745
50 -5.3721 -5.37262 0.000125615
