#BLOCK ACTUAL AVE ERROR
1 0.94031 0.94031 0
2 0.948358 0.944334 0.00284521
3 0.948439 0.945702 0.0022013
4 0.948955 0.946515 0.00179487
5 0.94973 0.947158 0.00154677
6 0.958594 0.949064 0.0021653
7 0.94082 0.947886 0.0021526
8 0.949307 0.948064 0.00189083
9 0.944859 0.947708 0.00171394
10 0.951302 0.948067 0.00157978
11 0.943773 0.947677 0.00148361
12 0.955317 0.948314 0.00149034
13 0.944793 0.948043 0.0014001
14 0.947271 0.947988 0.00130118
15 0.948887 0.948048 0.00121581
16 0.941703 0.947651 0.00120276
17 0.956125 0.94815 0.00123097
18 0.943824 0.947909 0.00118581
19 0.955543 0.948311 0.00118951
20 0.954726 0.948632 0.00117249
21 0.932834 0.947879 0.00133636
22 0.9469 0.947835 0.00127636
23 0.953603 0.948086 0.00124525
24 0.94383 0.947908 0.00120593
25 0.954757 0.948182 0.0011884
26 0.945537 0.948081 0.00114704
27 0.956912 0.948408 0.00115024
28 0.934973 0.947928 0.00120508
29 0.948278 0.94794 0.00116359
30 0.952556 0.948094 0.00113493
31 0.937647 0.947757 0.00114726
32 0.949851 0.947822 0.00111328
33 0.951339 0.947929 0.00108463
34 0.950421 0.948002 0.0010552
35 0.940534 0.947789 0.0010464
36 0.945945 0.947737 0.00101859
37 0.951236 0.947832 0.000995441
38 0.949561 0.947878 0.000970284
39 0.941112 0.947704 0.000960789
40 0.951764 0.947806 0.000942114
41 0.948991 0.947834 0.000919579
42 0.937604 0.947591 0.000929385
43 0.960107 0.947882 0.000952263
44 0.944866 0.947813 0.000933085
45 0.940979 0.947662 0.000924627
46 0.946961 0.947646 0.000904651
47 0.953292 0.947766 0.000893342
48 0.947945 0.94777 0.000874738
49 0.951588 0.947848 0.00086035
50 0.942323 0.947738 0.00085021
