#BLOCK ACTUAL AVE ERROR
1 1.18819 1.18819 0
2 1.19938 1.19378 0.0039539
3 1.19977 1.19578 0.00309872
4 1.20039 1.19693 0.00252926
5 1.20482 1.19851 0.00246648
6 1.2041 1.19944 0.00222444
7 1.19023 1.19813 0.00226228
8 1.2011 1.1985 0.0020099
9 1.20142 1.19882 0.00181263
10 1.2062 1.19956 0.00177497
11 1.17852 1.19765 0.00243509
12 1.21139 1.19879 0.00248696
13 1.19556 1.19854 0.00230802
14 1.20672 1.19913 0.00221574
15 1.20043 1.19921 0.00206972
16 1.19359 1.19886 0.00197
17 1.20235 1.19907 0.00186474
18 1.1929 1.19873 0.00179237
19 1.19975 1.19878 0.00169884
20 1.21251 1.19947 0.00174706
