#BLOCK ACTUAL AVE ERROR
1 -6.65303 -6.65303 0
2 -6.66273 -6.65788 0.00343103
3 -6.66465 -6.66014 0.00293659
4 -6.66402 -6.66111 0.00235748
5 -6.66836 -6.66256 0.0022893
6 -6.66629 -6.66318 0.00199036
7 -6.65292 -6.66172 0.00218009
8 -6.66391 -6.66199 0.00192475
9 -6.66406 -6.66222 0.00172463
10 -6.67051 -6.66305 0.00173985
11 -6.64176 -6.66111 0.00243067
12 -6.67346 -6.66214 0.00243611
13 -6.65862 -6.66187 0.00226374
14 -6.67047 -6.66248 0.00218372
15 -6.66293 -6.66251 0.00203834
16 -6.655 -6.66204 0.00196434
17 -6.66552 -6.66225 0.00185941
18 -6.65507 -6.66185 0.00179838
19 -6.66147 -6.66183 0.00170384
20 -6.67533 -6.66251 0.00174732
