#BLOCK ACTUAL AVE ERROR
1 0.952647 0.952647 0
2 0.960387 0.956517 0.00273628
3 0.96059 0.957875 0.00213453
4 0.961104 0.958682 0.00174696
5 0.964042 0.959754 0.00169484
6 0.96368 0.960408 0.00153347
7 0.953951 0.959486 0.00156749
8 0.961235 0.959705 0.00138672
9 0.961704 0.959927 0.00125031
10 0.964985 0.960433 0.00122333
11 0.94604 0.959124 0.00167124
12 0.968621 0.959916 0.00170911
13 0.957359 0.959719 0.00158892
14 0.96534 0.96012 0.00152532
15 0.960977 0.960178 0.0014247
16 0.95622 0.95993 0.00135695
17 0.962259 0.960067 0.00128403
18 0.95602 0.959842 0.00123222
19 0.960522 0.959878 0.00116789
20 0.969445 0.960356 0.00120346
