#BLOCK ACTUAL AVE ERROR
1 0.792129 0.792129 0
2 0.799584 0.795857 0.00263594
3 0.799847 0.797187 0.00206581
4 0.80026 0.797955 0.00168617
5 0.803211 0.799006 0.00164432
6 0.802733 0.799627 0.00148296
7 0.79349 0.798751 0.00150819
8 0.800736 0.798999 0.00133993
9 0.800947 0.799215 0.00120842
10 0.80413 0.799707 0.00118331
11 0.78568 0.798432 0.00162339
12 0.807594 0.799195 0.00165797
13 0.797042 0.79903 0.00153868
14 0.804477 0.799419 0.00147716
15 0.800285 0.799476 0.00137981
16 0.795726 0.799242 0.00131333
17 0.801565 0.799379 0.00124316
18 0.795266 0.79915 0.00119491
19 0.799833 0.799186 0.00113256
20 0.808338 0.799644 0.00116471
