#BLOCK ACTUAL AVE ERROR
1 -5.46484 -5.46484 0
2 -5.46336 -5.4641 0.000522873
3 -5.46488 -5.46436 0.000408267
4 -5.46363 -5.46418 0.000344188
5 -5.46355 -5.46405 0.00029755
6 -5.46219 -5.46374 0.000376337
7 -5.46268 -5.46359 0.000351529
8 -5.4628 -5.46349 0.000320978
9 -5.46264 -5.4634 0.000298864
10 -5.46431 -5.46349 0.000282591
11 -5.46324 -5.46347 0.000257836
12 -5.46207 -5.46335 0.00026136
13 -5.46306 -5.46333 0.000242227
14 -5.46375 -5.46336 0.000226813
15 -5.4625 -5.4633 0.00021876
16 -5.46141 -5.46318 0.000234863
17 -5.46318 -5.46318 0.000221048
18 -5.46217 -5.46312 0.000215776
19 -5.46172 -5.46305 0.000216692
20 -5.46283 -5.46304 0.000206146
