#BLOCK ACTUAL AVE ERROR
1 1.20313 1.20313 0
2 1.20601 1.20457 0.00101895
3 1.20082 1.20332 0.00122735
4 1.19335 1.20083 0.00234577
5 1.20077 1.20082 0.00187665
6 1.20402 1.20135 0.00163802
7 1.2028 1.20156 0.00141712
8 1.19584 1.20084 0.00140872
9 1.19636 1.20035 0.00133729
10 1.20934 1.20124 0.0014751
11 1.19301 1.2005 0.00151898
12 1.21448 1.20166 0.00178446
13 1.18643 1.20049 0.00199503
14 1.21135 1.20127 0.00199764
15 1.19481 1.20084 0.00191027
16 1.20044 1.20081 0.00179104
17 1.20677 1.20116 0.00171969
18 1.19662 1.20091 0.00164258
19 1.20354 1.20105 0.00156196
20 1.19552 1.20077 0.00150808
21 1.19875 1.20068 0.00143934
22 1.21291 1.20123 0.00147753
23 1.20037 1.20119 0.00141376
24 1.20322 1.20128 0.00135737
25 1.19811 1.20115 0.00130897
26 1.19693 1.20099 0.00126865
27 1.19203 1.20066 0.00126433
28 1.19605 1.20049 0.00122983
29 1.20074 1.2005 0.00118745
30 1.20639 1.2007 0.00116395
31 1.19131 1.2004 0.00116512
32 1.19871 1.20034 0.00112989
33 1.18979 1.20002 0.00113998
34 1.20414 1.20014 0.00111287
35 1.19729 1.20006 0.00108405
36 1.20248 1.20013 0.00105602
37 1.19209 1.19991 0.00104961
38 1.20855 1.20014 0.0010463
39 1.20249 1.2002 0.00102121
40 1.19074 1.19996 0.0010227
41 1.19491 1.19984 0.00100516
42 1.2094 1.20007 0.00100668
43 1.19604 1.19997 0.000987614
44 1.19509 1.19986 0.000971384
45 1.20047 1.19988 0.000949893
46 1.20353 1.19996 0.000932558
47 1.19949 1.19995 0.000912769
48 1.19251 1.19979 0.000906819
49 1.19236 1.19964 0.000900896
50 1.19552 1.19956 0.000886642
51 1.20812 1.19972 0.000884994
52 1.18736 1.19949 0.000899346
53 1.1986 1.19947 0.000882535
54 1.19241 1.19934 0.000875809
55 1.20005 1.19935 0.00085998
56 1.20354 1.19943 0.000847865
57 1.18922 1.19925 0.000851703
58 1.21169 1.19946 0.000863621
59 1.19671 1.19942 0.000850247
60 1.20151 1.19945 0.000836794
61 1.19993 1.19946 0.000823113
62 1.197 1.19942 0.000810795
63 1.19552 1.19936 0.000800288
64 1.20922 1.19951 0.000802471
65 1.18242 1.19925 0.00083208
66 1.21255 1.19945 0.000843522
67 1.20233 1.19949 0.000832031
68 1.1896 1.19935 0.000832416
69 1.20808 1.19947 0.000829918
70 1.20018 1.19948 0.000818122
71 1.20606 1.19958 0.00081182
72 1.19237 1.19948 0.000806696
73 1.21287 1.19966 0.000816229
74 1.1892 1.19952 0.000817352
75 1.21582 1.19974 0.000834863
76 1.1902 1.19961 0.000833255
77 1.1991 1.1996 0.00082246
78 1.21045 1.19974 0.000823589
79 1.19665 1.1997 0.000814095
80 1.18445 1.19951 0.000825933
81 1.21048 1.19965 0.000826755
82 1.19731 1.19962 0.000817166
83 1.19454 1.19956 0.000809612
84 1.19949 1.19956 0.000799974
85 1.20502 1.19962 0.000793141
86 1.18801 1.19949 0.000795337
87 1.20798 1.19958 0.000792168
88 1.20467 1.19964 0.000785273
89 1.20402 1.19969 0.000777989
90 1.19872 1.19968 0.000769419
91 1.19383 1.19962 0.000763648
92 1.20891 1.19972 0.000762
93 1.19642 1.19968 0.000754629
94 1.20218 1.19971 0.000747068
95 1.19934 1.1997 0.000739214
96 1.19419 1.19965 0.000733746
97 1.21142 1.19977 0.000736158
98 1.18769 1.19965 0.0007389
99 1.19969 1.19965 0.000731437
100 1.20721 1.19972 0.00072802
