#BLOCK ACTUAL AVE ERROR
1 -6.66442 -6.66442 0
2 -6.66757 -6.666 0.0011155
3 -6.66222 -6.66474 0.0012698
4 -6.65542 -6.66241 0.00223128
5 -6.66348 -6.66262 0.00179535
6 -6.66592 -6.66317 0.0015781
7 -6.66403 -6.66329 0.00135738
8 -6.65685 -6.66249 0.00140682
9 -6.65698 -6.66188 0.00137705
10 -6.67023 -6.66271 0.00147086
11 -6.65372 -6.66189 0.00154754
12 -6.67656 -6.66312 0.00183898
13 -6.64726 -6.6619 0.00206276
14 -6.6716 -6.66259 0.00202855
15 -6.65517 -6.66209 0.00195267
16 -6.66089 -6.66202 0.00183209
17 -6.66772 -6.66235 0.00175475
18 -6.65786 -6.6621 0.00167495
19 -6.66429 -6.66222 0.00159073
20 -6.65685 -6.66195 0.00153368
21 -6.6601 -6.66186 0.00146319
22 -6.67513 -6.66247 0.00151582
23 -6.66228 -6.66246 0.00144993
24 -6.66414 -6.66253 0.00139122
25 -6.65817 -6.66235 0.00134642
26 -6.6579 -6.66218 0.00130549
27 -6.65225 -6.66181 0.00130792
28 -6.65758 -6.66166 0.00126993
29 -6.66189 -6.66167 0.00122617
30 -6.66874 -6.66191 0.0012077
31 -6.65232 -6.6616 0.00120767
32 -6.65982 -6.66154 0.00117121
33 -6.65161 -6.66124 0.00117374
34 -6.66543 -6.66136 0.00114566
35 -6.65814 -6.66127 0.00111663
36 -6.66417 -6.66135 0.00108851
37 -6.65217 -6.6611 0.001087
38 -6.66941 -6.66132 0.00108013
39 -6.66341 -6.66138 0.00105377
40 -6.65208 -6.66114 0.00105276
41 -6.65522 -6.661 0.00103696
42 -6.67084 -6.66123 0.00103843
43 -6.65799 -6.66116 0.00101702
44 -6.65765 -6.66108 0.000997023
45 -6.66132 -6.66108 0.000974882
46 -6.66605 -6.66119 0.000959646
47 -6.66049 -6.66118 0.000939345
48 -6.65372 -6.66102 0.000932536
49 -6.654 -6.66088 0.000924441
50 -6.65613 -6.66078 0.000910808
51 -6.66879 -6.66094 0.000906367
52 -6.64873 -6.66071 0.000918867
53 -6.6596 -6.66068 0.000901768
54 -6.65474 -6.66057 0.00089177
55 -6.66153 -6.66059 0.000875726
56 -6.66399 -6.66065 0.000862189
57 -6.64844 -6.66044 0.000873265
58 -6.67238 -6.66064 0.000882154
59 -6.65738 -6.66059 0.00086894
60 -6.66343 -6.66064 0.000855747
61 -6.6608 -6.66064 0.000841722
62 -6.65796 -6.6606 0.000829256
63 -6.65616 -6.66053 0.000819076
64 -6.67101 -6.66069 0.000822503
65 -6.64319 -6.66042 0.000852764
66 -6.67314 -6.66061 0.000861333
67 -6.66395 -6.66066 0.000849916
68 -6.65089 -6.66052 0.000849475
69 -6.67043 -6.66066 0.000849215
70 -6.66176 -6.66068 0.000837229
71 -6.66756 -6.66077 0.000831033
72 -6.65365 -6.66068 0.000825359
73 -6.67383 -6.66086 0.000833479
74 -6.65054 -6.66072 0.000833785
75 -6.6783 -6.66095 0.00085499
76 -6.65116 -6.66082 0.000853397
77 -6.6607 -6.66082 0.000842315
78 -6.6711 -6.66095 0.000841766
79 -6.65666 -6.6609 0.000832865
80 -6.64427 -6.66069 0.000847979
81 -6.67206 -6.66083 0.000849043
82 -6.65912 -6.66081 0.000838944
83 -6.65586 -6.66075 0.000830957
84 -6.66067 -6.66075 0.000821066
85 -6.66599 -6.66081 0.000813721
86 -6.64988 -6.66068 0.000814132
87 -6.67002 -6.66079 0.00081182
88 -6.66643 -6.66086 0.000805119
89 -6.66594 -6.66091 0.000798101
90 -6.65943 -6.6609 0.000789403
91 -6.65347 -6.66081 0.000784939
92 -6.67076 -6.66092 0.000783817
93 -6.65641 -6.66087 0.000776888
94 -6.6628 -6.66089 0.000768895
95 -6.65997 -6.66088 0.000760863
96 -6.65579 -6.66083 0.000754783
97 -6.67316 -6.66096 0.000757628
98 -6.65005 -6.66085 0.000758027
99 -6.66116 -6.66085 0.000750377
100 -6.66697 -6.66091 0.000745362
