#BLOCK ACTUAL AVE ERROR
1 0.962896 0.962896 0
2 0.965007 0.963952 0.000746295
3 0.961526 0.963143 0.000826677
4 0.956341 0.961443 0.00159791
5 0.961304 0.961415 0.00127857
6 0.963656 0.961788 0.00111869
7 0.962825 0.961936 0.000968624
8 0.958034 0.961449 0.000962594
9 0.958236 0.961092 0.000919451
10 0.966995 0.961682 0.000999227
11 0.955825 0.96115 0.00104061
12 0.970321 0.961914 0.00120225
13 0.951384 0.961104 0.00135542
14 0.968409 0.961626 0.00135533
15 0.957099 0.961324 0.00129813
16 0.961206 0.961317 0.00121702
17 0.965671 0.961573 0.00117207
18 0.958553 0.961405 0.0011189
19 0.963386 0.961509 0.00106486
20 0.957729 0.96132 0.00102825
21 0.959995 0.961257 0.000981223
22 0.969761 0.961644 0.0010099
23 0.961079 0.961619 0.000966291
24 0.962993 0.961676 0.000927722
25 0.95949 0.961589 0.000894727
26 0.958629 0.961475 0.000867525
27 0.955436 0.961251 0.00086375
28 0.958163 0.961141 0.000839913
29 0.961147 0.961141 0.000810951
30 0.965113 0.961274 0.000794653
31 0.95488 0.961067 0.000795334
32 0.959761 0.961027 0.000771527
33 0.953774 0.960807 0.00077882
34 0.963667 0.960891 0.000760444
35 0.959057 0.960839 0.00074052
36 0.962562 0.960886 0.000721497
37 0.955479 0.96074 0.000716647
38 0.966631 0.960895 0.000714358
39 0.962419 0.960934 0.000697109
40 0.95446 0.960773 0.000698217
41 0.957556 0.960694 0.000685582
42 0.967426 0.960854 0.000687739
43 0.958253 0.960794 0.000674399
44 0.957651 0.960722 0.000662844
45 0.961171 0.960732 0.000648189
46 0.963144 0.960785 0.000636214
47 0.960517 0.960779 0.000622704
48 0.955632 0.960672 0.000618894
49 0.955391 0.960564 0.000615575
50 0.957774 0.960508 0.000605788
51 0.966354 0.960623 0.000604657
52 0.952197 0.960461 0.000614355
53 0.959893 0.96045 0.000602857
54 0.955508 0.960359 0.000598601
55 0.960668 0.960364 0.000587744
56 0.963245 0.960416 0.000579495
57 0.953353 0.960292 0.000582424
58 0.968627 0.960436 0.000589844
59 0.958524 0.960403 0.000580736
60 0.96168 0.960424 0.000571447
61 0.960873 0.960432 0.000562126
62 0.958753 0.960405 0.000553711
63 0.957567 0.96036 0.000546751
64 0.96704 0.960464 0.00054808
65 0.948911 0.960286 0.000567738
66 0.969589 0.960427 0.000576367
67 0.962357 0.960456 0.000568484
68 0.953893 0.96036 0.000568257
69 0.966427 0.960447 0.000566784
70 0.960917 0.960454 0.000558727
71 0.964802 0.960515 0.000554203
72 0.955533 0.960446 0.00055081
73 0.969393 0.960569 0.000556734
74 0.953288 0.96047 0.000557836
75 0.971444 0.960617 0.000569262
76 0.954267 0.960533 0.000567871
77 0.960122 0.960528 0.000560521
78 0.967991 0.960623 0.000561441
79 0.958731 0.9606 0.000554845
80 0.950326 0.960471 0.000562575
81 0.967833 0.960562 0.000562923
82 0.958904 0.960542 0.000556421
83 0.957245 0.960502 0.000551133
84 0.960474 0.960502 0.000544572
85 0.964233 0.960546 0.000539932
86 0.952799 0.960456 0.000541114
87 0.966218 0.960522 0.000538933
88 0.964002 0.960561 0.000534258
89 0.963719 0.960597 0.000529432
90 0.960094 0.960591 0.000523579
91 0.956649 0.960548 0.000519614
92 0.966965 0.960618 0.000518627
93 0.95846 0.960594 0.000513569
94 0.962546 0.960615 0.000508525
95 0.960303 0.960612 0.000503182
96 0.956611 0.96057 0.000499664
97 0.968787 0.960655 0.000501641
98 0.952709 0.960574 0.000503032
99 0.960853 0.960577 0.000497959
100 0.965808 0.960629 0.000495719
