#BLOCK ACTUAL AVE ERROR
1 0.802087 0.802087 0
2 0.804009 0.803048 0.000679298
3 0.800544 0.802213 0.000818232
4 0.79557 0.800553 0.00156385
5 0.800511 0.800544 0.0012511
6 0.802679 0.8009 0.00109201
7 0.801869 0.801039 0.000944746
8 0.797227 0.800562 0.000939147
9 0.797575 0.80023 0.000891526
10 0.806223 0.80083 0.0009834
11 0.795342 0.800331 0.00101265
12 0.809656 0.801108 0.00118964
13 0.790955 0.800327 0.00133002
14 0.807567 0.800844 0.00133176
15 0.79654 0.800557 0.00127352
16 0.800296 0.800541 0.00119403
17 0.804516 0.800774 0.00114646
18 0.797745 0.800606 0.00109505
19 0.802362 0.800699 0.00104131
20 0.797016 0.800514 0.00100539
21 0.799166 0.80045 0.000959563
22 0.80861 0.800821 0.000985021
23 0.800248 0.800796 0.000942509
24 0.802145 0.800852 0.000904911
25 0.798741 0.800768 0.000872648
26 0.797955 0.80066 0.000845767
27 0.794686 0.800438 0.000842885
28 0.797367 0.800329 0.000819887
29 0.800495 0.800335 0.000791635
30 0.804257 0.800465 0.000775969
31 0.794208 0.800263 0.000776744
32 0.799142 0.800228 0.000753261
33 0.793195 0.800015 0.000759989
34 0.80276 0.800096 0.000741913
35 0.798194 0.800042 0.000722703
36 0.801653 0.800086 0.000704012
37 0.794725 0.799941 0.000699738
38 0.805699 0.800093 0.000697535
39 0.801658 0.800133 0.000680804
40 0.793825 0.799975 0.000681803
41 0.796605 0.799893 0.00067011
42 0.806267 0.800045 0.000671119
43 0.79736 0.799983 0.00065841
44 0.796727 0.799909 0.00064759
45 0.800315 0.799918 0.000633262
46 0.802353 0.799971 0.000621705
47 0.799658 0.799964 0.000608513
48 0.795004 0.799861 0.000604546
49 0.794908 0.79976 0.000600597
50 0.797012 0.799705 0.000591095
51 0.80541 0.799816 0.000589996
52 0.791574 0.799658 0.000599564
53 0.799063 0.799647 0.000588356
54 0.794943 0.79956 0.000583873
55 0.800032 0.799568 0.00057332
56 0.802359 0.799618 0.000565244
57 0.792811 0.799499 0.000567802
58 0.807795 0.799642 0.000575747
59 0.797803 0.79961 0.000566831
60 0.801008 0.799634 0.000557863
61 0.799955 0.799639 0.000548742
62 0.797997 0.799613 0.00054053
63 0.797011 0.799571 0.000533525
64 0.806144 0.799674 0.000534981
65 0.788281 0.799499 0.00055472
66 0.808366 0.799633 0.000562348
67 0.801556 0.799662 0.000554687
68 0.793067 0.799565 0.000554944
69 0.805386 0.799649 0.000553278
70 0.800117 0.799656 0.000545415
71 0.804037 0.799718 0.000541213
72 0.794911 0.799651 0.000537798
73 0.808577 0.799773 0.000544153
74 0.792798 0.799679 0.000544901
75 0.810548 0.799824 0.000556576
76 0.793466 0.79974 0.000555503
77 0.799399 0.799736 0.000548307
78 0.806967 0.799828 0.000549059
79 0.797765 0.799802 0.00054273
80 0.789636 0.799675 0.000550622
81 0.806985 0.799765 0.00055117
82 0.798204 0.799746 0.000544777
83 0.796358 0.799706 0.000539741
84 0.79966 0.799705 0.000533316
85 0.803348 0.799748 0.000528761
86 0.792004 0.799658 0.000530225
87 0.805322 0.799723 0.000528112
88 0.803115 0.799761 0.000523515
89 0.80268 0.799794 0.000518659
90 0.799149 0.799787 0.000512946
91 0.795885 0.799744 0.000509099
92 0.80594 0.799812 0.000508
93 0.797615 0.799788 0.000503086
94 0.801452 0.799806 0.000498045
95 0.799561 0.799803 0.000492809
96 0.796124 0.799765 0.000489164
97 0.807616 0.799846 0.000490772
98 0.79179 0.799763 0.0004926
99 0.79979 0.799764 0.000487625
100 0.804805 0.799814 0.000485347
