#BLOCK ACTUAL AVE ERROR
1 -5.46129 -5.46129 0
2 -5.46156 -5.46142 9.65579e-05
3 -5.4614 -5.46142 6.47537e-05
4 -5.46206 -5.46158 0.000147983
5 -5.46271 -5.4618 0.000235284
6 -5.4619 -5.46182 0.000196626
7 -5.46122 -5.46174 0.000186172
8 -5.461 -5.46164 0.000183945
9 -5.46062 -5.46153 0.000195527
10 -5.46089 -5.46147 0.000186158
11 -5.46071 -5.4614 0.000181502
12 -5.46208 -5.46145 0.000174986
13 -5.46083 -5.46141 0.00016805
14 -5.46025 -5.46132 0.000175134
15 -5.46036 -5.46126 0.000174806
16 -5.46044 -5.46121 0.000171187
17 -5.46095 -5.46119 0.000161809
18 -5.46124 -5.4612 0.00015284
19 -5.46074 -5.46117 0.000146632
20 -5.46133 -5.46118 0.000139502
21 -5.46135 -5.46119 0.000133087
22 -5.46221 -5.46123 0.000134937
23 -5.46191 -5.46126 0.000132218
24 -5.46093 -5.46125 0.000127454
25 -5.46006 -5.4612 0.00013088
26 -5.46097 -5.46119 0.000126156
27 -5.46022 -5.46116 0.000126495
28 -5.46153 -5.46117 0.000122663
29 -5.46115 -5.46117 0.000118437
30 -5.46235 -5.46121 0.00012086
31 -5.46101 -5.4612 0.000117131
32 -5.4611 -5.4612 0.000113511
33 -5.46182 -5.46122 0.000111613
34 -5.46129 -5.46122 0.000108349
35 -5.46085 -5.46121 0.000105778
36 -5.46169 -5.46122 0.000103688
37 -5.46009 -5.46119 0.000105344
38 -5.46086 -5.46118 0.000102936
39 -5.46093 -5.46118 0.000100508
40 -5.46134 -5.46118 9.80761e-05
41 -5.46031 -5.46116 9.79593e-05
42 -5.46144 -5.46117 9.58597e-05
43 -5.46195 -5.46118 9.53381e-05
44 -5.46256 -5.46122 9.8153e-05
45 -5.46085 -5.46121 9.63053e-05
46 -5.46252 -5.46124 9.83425e-05
47 -5.461 -5.46123 9.63748e-05
48 -5.46121 -5.46123 9.43677e-05
49 -5.46164 -5.46124 9.28115e-05
50 -5.46062 -5.46123 9.17852e-05
51 -5.46067 -5.46122 9.06283e-05
52 -5.46137 -5.46122 8.89312e-05
53 -5.461 -5.46121 8.73468e-05
54 -5.46232 -5.46123 8.81038e-05
55 -5.46149 -5.46124 8.66193e-05
56 -5.46045 -5.46123 8.62038e-05
57 -5.45923 -5.46119 9.15469e-05
58 -5.46069 -5.46118 9.03747e-05
59 -5.46067 -5.46117 8.92569e-05
60 -5.46192 -5.46119 8.8626e-05
61 -5.46087 -5.46118 8.73268e-05
62 -5.46096 -5.46118 8.59889e-05
63 -5.46064 -5.46117 8.50391e-05
64 -5.4618 -5.46118 8.42747e-05
65 -5.46077 -5.46117 8.3212e-05
66 -5.46059 -5.46116 8.24208e-05
67 -5.46162 -5.46117 8.1467e-05
68 -5.46129 -5.46117 8.02888e-05
69 -5.46235 -5.46119 8.09137e-05
70 -5.46159 -5.46119 7.9958e-05
71 -5.46151 -5.4612 7.89523e-05
72 -5.46128 -5.4612 7.78647e-05
73 -5.46096 -5.4612 7.68667e-05
74 -5.46135 -5.4612 7.58546e-05
75 -5.46248 -5.46122 7.67329e-05
76 -5.46096 -5.46121 7.57982e-05
77 -5.4616 -5.46122 7.49848e-05
78 -5.46065 -5.46121 7.43739e-05
79 -5.46001 -5.46119 7.49673e-05
80 -5.45982 -5.46118 7.5973e-05
81 -5.46158 -5.46118 7.51972e-05
82 -5.46182 -5.46119 7.46774e-05
83 -5.46132 -5.46119 7.37937e-05
84 -5.46118 -5.46119 7.29154e-05
85 -5.46097 -5.46119 7.21034e-05
86 -5.46187 -5.4612 7.16997e-05
87 -5.46204 -5.46121 7.15272e-05
88 -5.46176 -5.46121 7.09873e-05
89 -5.46192 -5.46122 7.06382e-05
90 -5.4607 -5.46122 7.00871e-05
91 -5.45964 -5.4612 7.14249e-05
92 -5.46185 -5.46121 7.09999e-05
93 -5.45999 -5.46119 7.14303e-05
94 -5.46063 -5.46119 7.0923e-05
95 -5.46062 -5.46118 7.04219e-05
96 -5.46161 -5.46118 6.98295e-05
97 -5.46174 -5.46119 6.9341e-05
98 -5.46237 -5.4612 6.96665e-05
99 -5.46148 -5.4612 6.90173e-05
100 -5.45976 -5.46119 6.98214e-05
