#Blocks mean_unif uncer_unif mean_gaus uncer_gaus mean_acc_unif uncer_acc_unif mean_acc_gaus uncer_acc_gaus
1 1.49983 0 1.49977 0 0.500332 0 0.5001 0
2 1.4986 0.00122525 1.49844 0.00132481 0.500309 2.3e-05 0.499097 0.001003
3 1.50105 0.00254603 1.50066 0.00234862 0.500284 2.80139e-05 0.499066 0.000579894
4 1.49996 0.00210391 1.4997 0.001921 0.499882 0.000402821 0.498986 0.00041789
5 1.4995 0.00169388 1.49923 0.00156006 0.499969 0.000323818 0.499131 0.000354791
6 1.49841 0.00175899 1.49828 0.00159002 0.499965 0.000264426 0.499137 0.000289745
7 1.49811 0.00151699 1.49799 0.00137342 0.499991 0.00022501 0.499276 0.000281732
8 1.4975 0.001448 1.49739 0.00133219 0.500001 0.000195122 0.499231 0.000248128
9 1.49782 0.001317 1.49771 0.00121582 0.500106 0.000201767 0.499218 0.000219208
10 1.49826 0.00125597 1.49812 0.00116372 0.500077 0.000182833 0.499277 0.000204632
11 1.49794 0.00117826 1.49785 0.00108558 0.500109 0.000168396 0.499142 0.000229082
12 1.4981 0.00108713 1.49809 0.0010191 0.500099 0.000154058 0.499129 0.000209489
13 1.4982 0.00100499 1.49819 0.000942741 0.500061 0.00014659 0.499151 0.000193916
14 1.49764 0.00108871 1.4977 0.00100058 0.499967 0.000165294 0.499109 0.00018446
15 1.49783 0.00103229 1.49788 0.000947629 0.499936 0.000156902 0.499116 0.000171878
16 1.49753 0.00101284 1.49762 0.000923062 0.499819 0.000187813 0.499128 0.000161197
17 1.49758 0.000952974 1.4977 0.000870831 0.499836 0.00017721 0.499115 0.000151953
18 1.49749 0.000903141 1.49761 0.000825912 0.49979 0.000173168 0.499087 0.000145972
19 1.49753 0.000855034 1.49764 0.00078193 0.499776 0.000164402 0.499105 0.000139252
20 1.4976 0.00081474 1.49773 0.000746265 0.499724 0.000164232 0.499128 0.000134102
21 1.49798 0.000860207 1.49807 0.000790737 0.499818 0.000181961 0.499157 0.000130781
