#Blocks mean_unif uncer_unif mean_gaus uncer_gaus mean_acc_unif uncer_acc_unif mean_acc_gaus uncer_acc_gaus
1 5.00433 0 5.00359 0 0.499892 0 0.501195 0
2 4.99782 0.0065115 4.99739 0.0061977 0.499985 9.3e-05 0.500741 0.000454
3 5.00075 0.00476793 5.00027 0.0045905 0.499988 5.37598e-05 0.500221 0.00058203
4 5.0023 0.0037079 5.00191 0.00364071 0.499931 6.80286e-05 0.500487 0.000489584
5 4.99977 0.00382382 4.99957 0.00366838 0.500029 0.000111401 0.500604 0.000396957
6 4.99785 0.00366543 4.99793 0.00341207 0.499971 0.000108364 0.50049 0.000343402
7 4.99558 0.0038433 4.99575 0.00361674 0.499963 9.19264e-05 0.500465 0.000291368
8 4.99499 0.00337895 4.9952 0.00318075 0.499986 8.30218e-05 0.50046 0.000252374
9 4.99603 0.00315563 4.99606 0.00293559 0.500193 0.000219869 0.500487 0.000224205
10 4.99654 0.00286694 4.99668 0.00269645 0.500131 0.000206272 0.500523 0.000203705
11 4.99655 0.00259326 4.99666 0.00243911 0.500138 0.000186701 0.500444 0.000200223
12 4.99693 0.00239863 4.99705 0.00226123 0.500194 0.000179452 0.500453 0.000182981
13 4.99736 0.00224679 4.9974 0.00210869 0.500122 0.000180217 0.500472 0.000169344
14 4.99662 0.00220802 4.99685 0.0020272 0.500086 0.00017073 0.500458 0.000157372
15 4.99698 0.00208752 4.99711 0.00190548 0.500134 0.000166078 0.500495 0.000151007
16 4.99637 0.00204696 4.99658 0.00186058 0.500094 0.000160477 0.500513 0.000142479
17 4.99655 0.00193193 4.99683 0.00176576 0.500113 0.000152043 0.5005 0.000134468
18 4.99684 0.00184424 4.99703 0.00167603 0.500109 0.000143407 0.500522 0.000128548
19 4.99685 0.0017445 4.9969 0.00159049 0.500116 0.000135796 0.500543 0.000123544
20 4.99711 0.00167425 4.99712 0.00152535 0.500083 0.000132834 0.500567 0.000119622
21 4.99725 0.00159906 4.99725 0.00145695 0.500131 0.000135141 0.500536 0.000117986
22 4.99743 0.00153563 4.99746 0.00140384 0.500159 0.000131829 0.500559 0.000114748
23 4.99766 0.00148423 4.99768 0.001359 0.500154 0.000126055 0.500565 0.000109818
24 4.9979 0.0014411 4.99788 0.00131764 0.500236 0.000145507 0.500557 0.00010543
25 4.99827 0.00143304 4.99829 0.00132653 0.500273 0.000144536 0.500575 0.000102638
26 4.99876 0.00145987 4.99873 0.00134846 0.500298 0.000141083 0.500595 0.000100606
27 4.99905 0.00143429 4.999 0.00132619 0.500355 0.000147381 0.500605 9.73716e-05
28 4.99876 0.0014116 4.99874 0.00130357 0.500371 0.000142929 0.500627 9.62527e-05
29 4.99863 0.00136866 4.9986 0.00126561 0.500371 0.000137914 0.500625 9.28934e-05
30 4.9989 0.00134913 4.99891 0.00126004 0.500359 0.000133719 0.500636 9.04578e-05
31 4.99908 0.0013185 4.99908 0.00123055 0.500387 0.000132286 0.500626 8.80354e-05
32 4.99963 0.00138812 4.99955 0.00128031 0.500416 0.000131236 0.500655 8.99356e-05
33 4.99953 0.00134876 4.99947 0.00124302 0.500385 0.000130919 0.500617 9.52475e-05
34 4.99933 0.00132482 4.99931 0.00121669 0.50038 0.000127115 0.500638 9.49153e-05
35 4.99907 0.00131177 4.9991 0.00120116 0.500373 0.000123633 0.500629 9.25888e-05
36 4.99946 0.00133192 4.99945 0.00121943 0.500394 0.000122031 0.500616 9.09357e-05
37 4.99945 0.00129542 4.99945 0.00118603 0.500392 0.000118698 0.500594 9.11142e-05
38 4.9996 0.00126964 4.9996 0.00116396 0.500397 0.000115642 0.500604 8.926e-05
39 5.00021 0.00137968 5.00019 0.00127432 0.500406 0.000112938 0.500612 8.73098e-05
40 5.00013 0.00134717 5.00013 0.0012432 0.500414 0.000110414 0.500589 8.83406e-05
