x y z R
0 0 0 0
-0.0560511 0.175939 0.502161 0.535034
-0.0560511 0.175939 0.502161 0.535034
-0.0560511 0.175939 0.502161 0.535034
-0.0560511 0.175939 0.502161 0.535034
-0.0560511 0.175939 0.502161 0.535034
-0.0560511 0.175939 0.502161 0.535034
-0.0560511 0.175939 0.502161 0.535034
0.230041 0.373023 -0.516827 0.677625
1.28777 0.995251 -0.512277 1.70626
1.74334 0.675263 -0.140107 1.8748
1.74334 0.675263 -0.140107 1.8748
1.74334 0.675263 -0.140107 1.8748
1.74334 0.675263 -0.140107 1.8748
2.76921 1.75261 0.627198 3.3367
1.87232 0.658988 1.14992 2.29394
1.87232 0.658988 1.14992 2.29394
1.96576 0.125529 1.10468 2.25838
1.26704 -1.05534 0.159906 1.65671
0.676845 -1.93589 1.14513 2.34886
0.0390581 -1.12348 1.75443 2.08369
-0.692724 -1.95842 2.18287 3.01334
-0.692724 -1.95842 2.18287 3.01334
-0.692724 -1.95842 2.18287 3.01334
-0.506528 -1.09212 2.6768 2.93506
-0.506528 -1.09212 2.6768 2.93506
0.428887 -1.60543 3.3673 3.755
1.23768 -0.720893 3.95171 4.20328
0.650932 0.152748 4.06878 4.12335
0.650932 0.152748 4.06878 4.12335
0.263064 0.789654 2.94071 3.05623
0.263064 0.789654 2.94071 3.05623
-0.822996 -0.244362 1.92896 2.11138
-0.105233 -1.20227 1.5526 1.96649
-0.248412 -0.132865 2.57184 2.58722
-0.248412 -0.132865 2.57184 2.58722
0.545821 0.225045 1.80629 1.90033
-0.531627 -0.676666 0.613422 1.05678
-0.531627 -0.676666 0.613422 1.05678
0.679392 0.282876 0.48168 0.879549
0.679392 0.282876 0.48168 0.879549
0.669128 1.23192 0.13634 1.40853
0.669128 1.23192 0.13634 1.40853
0.669128 1.23192 0.13634 1.40853
0.669128 1.23192 0.13634 1.40853
0.669128 1.23192 0.13634 1.40853
0.669128 1.23192 0.13634 1.40853
0.669128 1.23192 0.13634 1.40853
0.669128 1.23192 0.13634 1.40853
0.958487 0.37396 0.231132 1.0545
1.05683 0.0691654 0.630088 1.23235
0.279934 -1.13445 0.448788 1.2517
0.279934 -1.13445 0.448788 1.2517
0.310898 -1.20945 0.498525 1.3446
-0.784157 -1.04113 1.48742 1.97769
-1.29223 -0.810413 0.817938 1.7308
-1.29223 -0.810413 0.817938 1.7308
-2.20046 -0.412253 0.439414 2.28146
-2.20046 -0.412253 0.439414 2.28146
-1.58462 -1.63019 0.170935 2.27986
-1.58462 -1.63019 0.170935 2.27986
-1.58462 -1.63019 0.170935 2.27986
-1.32343 -0.905183 -0.346399 1.64037
-1.7722 -0.923262 0.234602 2.012
-1.7722 -0.923262 0.234602 2.012
-1.61741 -1.67977 0.644223 2.41923
-1.61741 -1.67977 0.644223 2.41923
-1.77719 -1.28325 0.661827 2.2898
-1.77719 -1.28325 0.661827 2.2898
-1.77719 -1.28325 0.661827 2.2898
-1.77719 -1.28325 0.661827 2.2898
-1.10459 -0.891428 -0.280641 1.4469
-0.857903 -1.16372 -0.114541 1.4503
-0.260106 -0.883142 0.615132 1.10724
-0.260106 -0.883142 0.615132 1.10724
-0.260106 -0.883142 0.615132 1.10724
-0.260106 -0.883142 0.615132 1.10724
-0.495325 -1.15672 -0.194159 1.2732
-0.495325 -1.15672 -0.194159 1.2732
0.441992 -0.602022 0.232449 0.782189
1.30669 0.421674 0.563395 1.48414
1.30669 0.421674 0.563395 1.48414
0.42363 -0.717888 -0.556495 1.00225
1.28108 -0.369459 0.203908 1.34879
1.28108 -0.369459 0.203908 1.34879
0.30424 -0.912755 -0.647535 1.15974
0.30424 -0.912755 -0.647535 1.15974
0.30424 -0.912755 -0.647535 1.15974
0.30424 -0.912755 -0.647535 1.15974
0.856472 0.275547 0.0482021 0.900996
0.856472 0.275547 0.0482021 0.900996
0.881715 0.0101038 -0.360373 0.952571
0.780176 0.862003 0.106354 1.16749
1.81942 1.02293 0.209748 2.09777
1.81942 1.02293 0.209748 2.09777
1.81942 1.02293 0.209748 2.09777
0.848594 1.69044 0.0809373 1.89321
1.38657 1.48524 0.105691 2.03462
0.702444 2.50778 -0.541945 2.66009
0.32129 2.20191 0.643777 2.31648
0.32129 2.20191 0.643777 2.31648
-0.434078 1.21277 1.77872 2.19615
0.395735 1.36945 0.588048 1.54201
0.852121 1.23459 1.01155 1.8093
0.852121 1.23459 1.01155 1.8093
0.852121 1.23459 1.01155 1.8093
2.07076 1.18899 0.446566 2.42923
2.07076 1.18899 0.446566 2.42923
2.21244 0.300756 -0.57486 2.3056
1.17478 1.24555 -0.910705 1.9393
0.609038 0.671986 -0.504009 1.03755
0.609038 0.671986 -0.504009 1.03755
0.609038 0.671986 -0.504009 1.03755
0.609038 0.671986 -0.504009 1.03755
0.941054 0.406383 -0.474219 1.12943
0.941054 0.406383 -0.474219 1.12943
0.941054 0.406383 -0.474219 1.12943
0.0786938 0.175955 0.501569 0.537331
0.0662255 1.13336 0.963153 1.48881
0.0229082 0.563533 1.27611 1.39519
0.341876 0.574281 0.212637 0.701351
0.341876 0.574281 0.212637 0.701351
0.134651 0.710635 -0.762437 1.05092
0.134651 0.710635 -0.762437 1.05092
0.134651 0.710635 -0.762437 1.05092
-0.328429 0.404684 -0.0585643 0.524466
