#Blocks mean_1 uncer_1 mean_2 uncer_2 mean_3 uncer_3
1 1.50142 0 4.98875 0 5.00261 0
2 1.49902 0.00240149 4.99402 0.00527723 5.00374 0.00112126
3 1.497 0.00244467 4.99637 0.00384836 5.00302 0.000965711
4 1.49726 0.00174813 4.99592 0.00275916 5.002 0.00122744
5 1.49769 0.0014212 4.99575 0.00214374 5.00314 0.00148583
6 1.49787 0.00117312 4.99677 0.00202345 5.00381 0.00138557
7 1.49802 0.00100405 4.99581 0.00195861 5.00177 0.0023522
8 1.49786 0.000884521 4.99493 0.00191014 4.99958 0.0029925
9 1.49816 0.00083508 4.99497 0.00168493 4.99877 0.00276015
10 1.49826 0.00075321 4.99672 0.00230968 4.99812 0.00255167
11 1.49782 0.000809006 4.99594 0.00222939 4.99923 0.00255733
12 1.49816 0.00081287 4.99699 0.00229175 4.99909 0.0023384
13 1.49846 0.000805389 4.99821 0.0024354 4.99939 0.00217224
14 1.49805 0.000850285 4.99854 0.00227866 4.99956 0.00201812
15 1.49885 0.00112681 4.9991 0.00219383 5.00061 0.00215019
16 1.49859 0.00108639 4.99762 0.00253102 5.00117 0.00208917
17 1.49864 0.00102158 4.99751 0.00238007 5.00113 0.00196282
18 1.49869 0.000964588 4.99793 0.00228382 5.00018 0.0020801
19 1.49856 0.000921485 4.99733 0.00224174 5.00034 0.00197369
20 1.49873 0.000889806 4.99597 0.00252695 5.00018 0.00187891
21 1.49898 0.000882428 4.99629 0.00242562 5.00066 0.00184859
22 1.49892 0.000843266 4.99655 0.00232641 5.0001 0.001847
23 1.49913 0.000833658 4.99641 0.00222741 4.99954 0.0018524
24 1.49918 0.000799375 4.9964 0.00213259 4.99955 0.00177357
25 1.49925 0.000770003 4.99696 0.00212218 4.99926 0.00172599
26 1.49921 0.000740737 4.99719 0.00205096 4.9991 0.00166583
27 1.49941 0.000739307 4.99753 0.00200411 4.99944 0.00163797
28 1.49946 0.000714498 4.99715 0.00196984 4.99992 0.00165128
29 1.49941 0.000691779 4.99714 0.00190071 5.00001 0.00159545
30 1.49954 0.000682504 4.99717 0.00183649 5.00022 0.00155663
31 1.4995 0.000661392 4.99731 0.00178178 5.00032 0.00150838
32 1.49965 0.000657647 4.99757 0.00174526 5.00032 0.00146048
33 1.49945 0.000669107 4.99725 0.00172289 5.00038 0.00141696
34 1.4995 0.000651198 4.99748 0.0016876 5.00043 0.00137551
35 1.49964 0.000646499 4.99767 0.00164933 5.001 0.00145066
36 1.49978 0.000644763 4.99818 0.00168321 5.00035 0.0015503
37 1.49977 0.000627262 4.99818 0.00163708 5.00071 0.00155023
