#Blocks mean_1 uncer_1 mean_2 uncer_2
1 1.65094 0 6.06967 0
2 1.57557 0.0753721 5.29288 0.776788
3 1.38718 0.193356 5.24306 0.451238
4 1.29806 0.163204 5.36084 0.340119
5 1.3248 0.129216 5.07425 0.389284
6 1.34343 0.107135 4.98472 0.330218
7 1.37148 0.0947918 4.84106 0.313889
8 1.36012 0.0828741 4.8856 0.275461
9 1.49105 0.149949 4.97256 0.258029
10 1.53126 0.140015 5.0378 0.23983
11 1.52753 0.126703 5.02803 0.217154
12 1.50567 0.11771 5.05563 0.200145
13 1.51082 0.1084 5.13918 0.202178
14 1.50541 0.100504 5.25875 0.222114
15 1.52045 0.0947646 5.37072 0.235146
16 1.49095 0.0934226 5.39632 0.221443
17 1.48347 0.0880733 5.40522 0.2082
18 1.47138 0.0839126 5.40419 0.196296
19 1.46188 0.0799393 5.35123 0.193083
20 1.44761 0.0771676 5.32372 0.185228
21 1.45573 0.0738485 5.32745 0.176227
22 1.43185 0.0743513 5.2648 0.179326
23 1.43131 0.0710472 5.2581 0.171483
24 1.43978 0.0685488 5.3288 0.178758
25 1.43084 0.066355 5.40948 0.189491
26 1.43278 0.0637811 5.44355 0.185218
27 1.43278 0.0613734 5.41253 0.180905
28 1.44047 0.059639 5.4315 0.175354
29 1.44043 0.0575458 5.39637 0.172808
30 1.44501 0.0557828 5.37783 0.167975
31 1.4527 0.0544985 5.38867 0.162827
32 1.44288 0.0536736 5.36477 0.159458
33 1.45871 0.0543761 5.35938 0.154645
34 1.45029 0.0534205 5.37593 0.150938
35 1.45587 0.0521712 5.36554 0.14693
36 1.4561 0.0507018 5.32586 0.148203
37 1.44565 0.0504071 5.29352 0.147724
38 1.45202 0.0494741 5.29714 0.14383
39 1.45319 0.0482032 5.25725 0.14566
40 1.44455 0.0477708 5.21567 0.147936
41 1.44401 0.0465942 5.22344 0.144492
42 1.4559 0.0469999 5.21364 0.141351
43 1.46708 0.0472373 5.19853 0.138848
44 1.4746 0.0467599 5.16566 0.139582
45 1.47155 0.0458109 5.1435 0.138233
46 1.46656 0.0450806 5.11335 0.138514
47 1.47065 0.0442997 5.12345 0.13591
48 1.47369 0.0434736 5.13112 0.13327
49 1.47342 0.042578 5.11739 0.131242
50 1.46644 0.0422976 5.11493 0.128614
51 1.474 0.0421442 5.09803 0.127194
52 1.47286 0.0413415 5.0767 0.126536
53 1.47618 0.0406893 5.08898 0.124731
54 1.48298 0.0405029 5.07581 0.123106
55 1.49153 0.0406705 5.0707 0.120955
56 1.48848 0.0400538 5.09849 0.121984
57 1.48199 0.0398772 5.102 0.119876
58 1.48693 0.0394939 5.08553 0.118936
59 1.48608 0.0388281 5.10471 0.118465
60 1.48082 0.0385355 5.08076 0.118911
61 1.48223 0.0379244 5.06157 0.118509
62 1.47603 0.0378183 5.04077 0.118423
63 1.4716 0.0374764 5.04313 0.116552
64 1.46633 0.0372601 5.0377 0.114845
65 1.46125 0.0370328 5.04663 0.113417
66 1.46957 0.0374039 5.05727 0.11219
67 1.46837 0.0368608 5.06111 0.11057
68 1.46358 0.0366291 5.07081 0.109362
69 1.46245 0.0361123 5.06875 0.107786
70 1.47721 0.0385342 5.05566 0.107038
71 1.48135 0.0382128 5.05658 0.105523
72 1.48323 0.0377251 5.06335 0.104267
73 1.48722 0.0374176 5.05645 0.10306
74 1.4885 0.0369306 5.03804 0.103312
75 1.48434 0.0366707 5.05596 0.103488
76 1.47729 0.0368654 5.06102 0.102243
77 1.48611 0.0374362 5.04806 0.101736
78 1.48424 0.0370003 5.03725 0.101004
79 1.48328 0.0365416 5.01971 0.101248
80 1.49159 0.0370276 5.01606 0.100041
81 1.49139 0.0365681 5.03172 0.100032
82 1.48691 0.0363959 5.02012 0.0994831
83 1.49214 0.036333 5.03751 0.0998041
84 1.48918 0.0360201 5.02115 0.0999564
85 1.48859 0.0355988 5.04112 0.100771
86 1.48521 0.0353438 5.0378 0.0996471
87 1.48751 0.0350106 5.02987 0.0988142
88 1.49142 0.0348303 5.02916 0.0976874
89 1.48643 0.0347964 5.03079 0.0965974
90 1.48027 0.0349541 5.02789 0.0955623
91 1.48201 0.0346115 5.01257 0.0957399
92 1.48386 0.0342832 5.02013 0.0949944
93 1.4836 0.0339136 5.02594 0.0941469
94 1.48156 0.0336131 5.01431 0.0938624
95 1.48133 0.0332582 5.01804 0.0929439
96 1.48653 0.0333168 5.01904 0.0919761
97 1.48627 0.0329726 5.02349 0.0911314
98 1.49072 0.0329372 5.02606 0.0902333
99 1.49772 0.0333461 5.02518 0.0893215
100 1.49557 0.0330815 5.02812 0.0884727
