#Blocks mean_unif uncer_unif mean_gaus uncer_gaus mean_acc_unif uncer_acc_unif mean_acc_gaus uncer_acc_gaus
1 5.00698 0 5.00711 0 0.50066 0 0.50028 0
2 5.00444 0.00254223 5.00437 0.0027343 0.500294 0.000366 0.500082 0.0001975
3 5.00577 0.00197694 5.00569 0.00205658 0.500541 0.000325055 0.500133 0.000124844
4 5.00323 0.00289897 5.00305 0.003014 0.500376 0.000282941 0.500179 9.96214e-05
5 4.99934 0.00448356 4.99974 0.00404862 0.500098 0.000354316 0.500115 0.00010083
6 4.99879 0.00370326 4.99916 0.00335722 0.499987 0.000309838 0.500171 9.98877e-05
7 4.9994 0.00318913 4.99986 0.00292303 0.500125 0.000296287 0.500296 0.000150936
8 5.00093 0.00316018 5.00106 0.00280112 0.500108 0.000257157 0.500375 0.000152585
9 5.00066 0.00280045 5.00063 0.00250732 0.500163 0.000233385 0.500421 0.000142248
10 5.00208 0.00287747 5.00201 0.00263486 0.500161 0.000208762 0.500449 0.000130338
11 5.00229 0.00261178 5.00227 0.00239728 0.500285 0.000225922 0.500483 0.00012269
12 5.00224 0.00238483 5.00224 0.00218867 0.500353 0.000217323 0.500443 0.000119051
13 5.00213 0.00219623 5.00218 0.00201405 0.500332 0.000201034 0.50045 0.000109715
14 5.00164 0.00209284 5.00171 0.00192244 0.500337 0.000186176 0.500398 0.00011378
15 5.00052 0.00224825 5.00071 0.00205147 0.500341 0.000173391 0.500436 0.000112367
16 4.99986 0.00220173 5.00009 0.00201729 0.500346 0.000162258 0.500422 0.000106029
17 4.99986 0.00206816 5.00012 0.00189522 0.500347 0.000152419 0.500395 0.0001031
18 5.00006 0.00195997 5.00034 0.00180011 0.500322 0.000145892 0.500376 9.90898e-05
19 4.99919 0.00204615 4.99947 0.00191263 0.500289 0.00014194 0.50037 9.39569e-05
20 4.99887 0.00196755 4.99925 0.00182828 0.500286 0.000134677 0.500343 9.30711e-05
21 4.9987 0.00187934 4.99895 0.00176348 0.500309 0.000130139 0.500327 8.99778e-05
22 4.99868 0.00179198 4.99902 0.00168287 0.500325 0.000125056 0.500352 8.94778e-05
23 4.99867 0.00171237 4.99904 0.00160811 0.500294 0.000123385 0.500336 8.69288e-05
24 4.99991 0.00205516 5.00014 0.00189432 0.500334 0.000124492 0.500384 9.58818e-05
25 4.99949 0.00201354 4.9997 0.00186939 0.500296 0.000125063 0.500387 9.20068e-05
26 4.99939 0.00193717 4.99968 0.00179625 0.500287 0.000120509 0.500399 8.92406e-05
27 4.99973 0.00189453 4.99995 0.00174976 0.500304 0.000117172 0.500395 8.59533e-05
28 4.99955 0.0018351 4.99975 0.00169769 0.500308 0.000112997 0.500372 8.5992e-05
29 4.99986 0.00179781 5.00002 0.00165924 0.500319 0.000109555 0.500396 8.63545e-05
30 4.99959 0.00175778 4.99981 0.00161661 0.500296 0.00010839 0.500374 8.63819e-05
31 5.00036 0.00186712 5.00055 0.00173247 0.500314 0.000106333 0.50039 8.50753e-05
32 5.00068 0.00183656 5.00084 0.00170255 0.500334 0.00010492 0.500377 8.33676e-05
33 5.00077 0.00178205 5.00094 0.0016527 0.500308 0.000104885 0.500351 8.4853e-05
34 5.00065 0.00173262 5.00085 0.00160545 0.500316 0.000102067 0.500331 8.46725e-05
35 5.0007 0.00168308 5.00089 0.00155945 0.500332 0.000100461 0.500339 8.25784e-05
36 5.00085 0.00164228 5.00102 0.0015205 0.500353 9.98313e-05 0.500332 8.05211e-05
37 5.00102 0.00160627 5.00113 0.00148327 0.500356 9.71267e-05 0.500342 7.88894e-05
38 5.00133 0.00159436 5.00142 0.0014715 0.500365 9.50315e-05 0.500318 8.04234e-05
39 5.00167 0.00158918 5.00174 0.00146998 0.500377 9.32937e-05 0.500333 7.97244e-05
40 5.00175 0.00155116 5.0018 0.00143396 0.500377 9.09331e-05 0.500332 7.77138e-05
41 5.00156 0.00152498 5.00164 0.00140827 0.500366 8.93567e-05 0.500329 7.58507e-05
42 5.00155 0.00148827 5.00163 0.00137435 0.500375 8.76649e-05 0.500329 7.40228e-05
43 5.00137 0.00146387 5.0015 0.00134873 0.500365 8.61669e-05 0.500321 7.26575e-05
44 5.00111 0.00145444 5.00125 0.00134072 0.500355 8.47401e-05 0.500324 7.10291e-05
45 5.00151 0.00147657 5.00159 0.00135511 0.500355 8.28363e-05 0.500328 6.95868e-05
46 5.00132 0.00145557 5.00141 0.00133782 0.500354 8.10245e-05 0.50034 6.90793e-05
47 5.00123 0.00142733 5.00131 0.00131259 0.500347 7.96194e-05 0.500352 6.86164e-05
48 5.00093 0.00142848 5.00102 0.00131806 0.500333 7.92012e-05 0.50034 6.81739e-05
49 5.00041 0.00149515 5.00052 0.00138515 0.500319 7.87387e-05 0.500332 6.73354e-05
50 5.00009 0.00149767 5.00025 0.00138394 0.500303 7.884e-05 0.50033 6.60016e-05
51 5.00023 0.00147448 5.00037 0.00136203 0.500316 7.83937e-05 0.500344 6.61639e-05
52 5.00014 0.00144905 5.00029 0.00133813 0.500319 7.6917e-05 0.500335 6.54477e-05
53 5.00021 0.00142324 5.00035 0.00131438 0.500321 7.54788e-05 0.500341 6.44336e-05
54 5.00038 0.00140754 5.0005 0.00129856 0.500322 7.40744e-05 0.500331 6.39049e-05
55 5.00037 0.00138176 5.00049 0.00127477 0.500316 7.29591e-05 0.500339 6.32283e-05
56 5.00041 0.0013573 5.00051 0.00125193 0.500316 7.1645e-05 0.500335 6.2219e-05
57 5.00012 0.00136397 5.00022 0.00126383 0.500307 7.09438e-05 0.500328 6.15017e-05
58 5.00015 0.00134063 5.00024 0.00124201 0.500316 7.0205e-05 0.500332 6.05443e-05
59 5.00036 0.00133467 5.00043 0.00123545 0.500333 7.1135e-05 0.500341 6.01585e-05
60 5.00031 0.00131345 5.00038 0.00121589 0.500329 7.00536e-05 0.500324 6.1564e-05
61 5.00045 0.00129937 5.00051 0.00120324 0.500338 6.95421e-05 0.500347 6.49517e-05
62 5.00064 0.0012924 5.00071 0.00120024 0.500331 6.87642e-05 0.500353 6.41441e-05
63 5.00079 0.00128047 5.00084 0.00118833 0.500327 6.7788e-05 0.500341 6.41721e-05
64 5.00063 0.00127004 5.00066 0.00118323 0.500316 6.77507e-05 0.500351 6.38829e-05
65 5.00047 0.0012605 5.00052 0.00117349 0.50031 6.69008e-05 0.50035 6.2905e-05
66 5.00047 0.00124126 5.0005 0.00115582 0.500316 6.60957e-05 0.500333 6.41224e-05
67 5.00031 0.00123229 5.00036 0.00114638 0.500324 6.56272e-05 0.500333 6.31581e-05
68 5.00037 0.0012155 5.00041 0.00113038 0.500338 6.62004e-05 0.50034 6.26233e-05
69 5.00053 0.00120851 5.00056 0.0011244 0.500341 6.53014e-05 0.500336 6.18724e-05
70 5.00082 0.00122455 5.00081 0.00113481 0.50035 6.50096e-05 0.500348 6.22601e-05
71 5.00073 0.00121052 5.00073 0.00112128 0.500353 6.41347e-05 0.500346 6.14026e-05
72 5.00053 0.00120973 5.00054 0.00112173 0.500352 6.32469e-05 0.500343 6.06319e-05
73 5.00043 0.00119702 5.00045 0.00111013 0.500341 6.32412e-05 0.500341 5.98304e-05
74 5.00031 0.00118731 5.00033 0.00110094 0.50034 6.23957e-05 0.500336 5.92633e-05
75 5.00042 0.001177 5.00043 0.00109051 0.500343 6.1642e-05 0.500343 5.89518e-05
76 5.00029 0.0011693 5.0003 0.00108353 0.500349 6.11297e-05 0.500339 5.83329e-05
77 5.00022 0.00115593 5.00027 0.00107004 0.500361 6.14152e-05 0.500346 5.80802e-05
78 5.00022 0.00114102 5.00025 0.00105639 0.500364 6.07306e-05 0.500346 5.73382e-05
79 5.00012 0.00113142 5.00015 0.00104757 0.500369 6.01433e-05 0.500338 5.71008e-05
80 4.99992 0.00113484 4.99998 0.00104794 0.500374 5.96096e-05 0.500335 5.64865e-05
81 4.99989 0.00112099 4.99997 0.00103496 0.500369 5.91092e-05 0.500321 5.74866e-05
82 4.99983 0.00110927 4.99993 0.00102317 0.500374 5.86148e-05 0.500318 5.68545e-05
83 4.99989 0.00109803 4.99996 0.00101111 0.500379 5.80955e-05 0.500328 5.70874e-05
84 4.99978 0.00109111 4.99984 0.00100608 0.500374 5.76326e-05 0.50034 5.76511e-05
85 4.99988 0.00108276 4.99991 0.000996822 0.500374 5.69526e-05 0.500353 5.83431e-05
86 4.99997 0.00107399 5 0.000989105 0.500378 5.64155e-05 0.50036 5.81853e-05
87 5.0001 0.00106983 5.00012 0.000985725 0.500381 5.58771e-05 0.500365 5.76986e-05
88 4.99994 0.00106959 4.99999 0.000983565 0.500374 5.57692e-05 0.500352 5.85889e-05
89 5.00009 0.00106791 5.00012 0.000980897 0.500385 5.63134e-05 0.500355 5.80231e-05
