T U Err_U M Err_M Cv Err_Cv X Err_X
0.5 -48.7291 0.0287815 1.59263 2.30193 16.2828 0.219446 3974.73 30.4362 
0.51 -48.5543 0.0261579 1.13478 1.83951 17.2812 0.19291 3766.22 24.9886 
0.52 -48.3671 0.0240315 -0.512478 1.90772 18.1775 0.147245 3559.12 21.6637 
0.53 -48.2125 0.0265564 0.02975 2.12464 18.6258 0.16969 3393.99 23.439 
0.54 -48.036 0.0307817 -0.021118 1.83244 19.1861 0.160794 3216.97 26.5063 
0.55 -47.7993 0.0306824 0.34547 1.5973 19.9198 0.157413 3006.17 25.4547 
0.56 -47.5853 0.0330932 0.364438 1.38154 20.2957 0.131686 2827.37 28.0625 
0.57 -47.3983 0.0327549 0.356174 1.23218 20.757 0.126206 2681.84 27.6358 
0.58 -47.1772 0.0230576 0.304644 1.24575 20.8564 0.122329 2510.67 19.7357 
0.59 -46.9696 0.032324 1.25681 1.22358 21.1213 0.148168 2372.21 26.0026 
0.6 -46.7504 0.0343961 0.119566 0.901681 21.2405 0.143825 2226.71 28.738 
0.61 -46.5389 0.0350588 -0.309168 0.811886 21.3931 0.155405 2096.18 28.3055 
0.62 -46.3281 0.0309919 -0.14541 0.742392 21.4161 0.153873 1965.24 24.8104 
0.63 -46.102 0.029695 -0.040992 0.657781 21.4079 0.154691 1835.73 21.8856 
0.64 -45.8909 0.0266884 -0.257032 0.730884 21.4018 0.154553 1726.91 17.8043 
0.65 -45.65 0.0308238 -0.027146 0.628065 21.4907 0.173686 1616.51 21.0912 
0.66 -45.4466 0.0328398 0.130742 0.589503 21.668 0.170746 1532.68 21.3321 
0.67 -45.2032 0.0283655 -0.319936 0.671195 21.6464 0.167737 1435.7 18.108 
0.68 -44.9834 0.0218267 -0.375496 0.632503 21.5563 0.142523 1348.74 11.9389 
0.69 -44.7871 0.0236457 -0.568694 0.63836 21.6553 0.123861 1286.62 12.5866 
0.7 -44.5666 0.0233429 0.088904 0.619898 21.6896 0.0925209 1217.23 11.5216 
0.71 -44.3434 0.0250281 0.21796 0.587233 21.7503 0.106952 1152.57 13.5874 
0.72 -44.1284 0.0234122 0.028584 0.532702 21.6772 0.110297 1092.94 11.9162 
0.73 -43.9098 0.0251063 -0.065054 0.521259 21.7887 0.104874 1041.2 11.6488 
0.74 -43.7171 0.0264905 -0.249498 0.481123 21.8264 0.0919771 1004 11.4824 
0.75 -43.5086 0.0261984 -0.387862 0.470416 21.9432 0.105112 965.231 11.6593 
0.76 -43.2899 0.0257304 -0.26371 0.398184 21.9994 0.101152 916.374 11.461 
0.77 -43.0731 0.0211139 -0.420174 0.36857 22.0556 0.0851137 877.618 9.46836 
0.78 -42.856 0.0243335 -0.347028 0.365518 22.032 0.0874036 836.04 9.69809 
0.79 -42.6351 0.0213988 -0.168968 0.362411 22.0528 0.0908098 798.933 8.29419 
0.8 -42.4089 0.0215566 -0.05487 0.3184 22.0874 0.084557 762.06 7.6186 
0.81 -42.1835 0.0218033 0.145526 0.294894 22.0097 0.0786146 727.097 8.30976 
0.82 -41.9614 0.0217287 0.06376 0.293125 21.9947 0.0703479 693.781 8.19503 
0.83 -41.737 0.0234983 0.12652 0.276676 21.9296 0.0784299 665.292 8.35722 
0.84 -41.517 0.0214795 0.147402 0.260528 21.9196 0.0605893 637.911 6.74236 
0.85 -41.2972 0.0198651 0.21472 0.242816 21.8485 0.0682462 609.786 6.03583 
0.86 -41.0767 0.0178302 0.193134 0.180712 21.8452 0.0783254 585.007 5.3624 
0.87 -40.8709 0.017241 0.252882 0.196544 21.9091 0.0623626 566.313 5.239 
0.88 -40.6576 0.0158997 0.21923 0.190075 21.8588 0.0646123 546.322 4.79898 
0.89 -40.4425 0.0158032 0.186292 0.186751 21.8437 0.0616032 528.419 4.4905 
0.9 -40.2175 0.0162063 0.161642 0.187147 21.8061 0.0485023 508.37 3.96794 
0.91 -39.9998 0.0169217 0.17037 0.203361 21.7304 0.044371 491.255 3.36182 
0.92 -39.7896 0.0143239 0.171726 0.201637 21.664 0.0405766 475.258 3.06282 
0.93 -39.5763 0.0147638 0.1313 0.191947 21.5813 0.0377279 460.289 3.03187 
0.94 -39.3574 0.0127481 0.119654 0.189159 21.5271 0.0412429 444.574 2.83606 
0.95 -39.1473 0.012015 0.074112 0.19946 21.4048 0.0420263 430.447 2.86339 
0.96 -38.9381 0.0144748 0.038402 0.199391 21.3467 0.0443988 417.974 2.88625 
0.97 -38.7294 0.014636 0.004052 0.176479 21.2083 0.056799 405.008 2.72248 
0.98 -38.5113 0.0131506 -0.015458 0.169939 21.1001 0.0612626 391.353 2.70128 
0.99 -38.2987 0.0132807 -0.0246 0.155342 20.9881 0.0515281 377.727 2.45894 
1 -38.083 0.0122184 -0.054368 0.146942 20.8721 0.0529411 367.267 2.30302 
1.01 -37.8716 0.0117898 -0.024554 0.143238 20.7923 0.0514271 356.793 2.05011 
1.02 -37.6636 0.0119748 0.031118 0.145033 20.6927 0.0536222 346.271 1.82678 
1.03 -37.4625 0.012706 0.01733 0.139619 20.5772 0.058385 336.094 1.68661 
1.04 -37.2567 0.0131132 0.022236 0.135248 20.4799 0.0579578 326.699 1.6134 
1.05 -37.0435 0.0138352 0.033112 0.124437 20.3689 0.0563623 317.069 1.62897 
1.06 -36.8355 0.0139701 0.074858 0.119099 20.2518 0.0503424 308.975 1.56245 
1.07 -36.631 0.0134223 0.04775 0.119546 20.143 0.0467294 300.581 1.53225 
1.08 -36.4323 0.0152701 0.0591 0.121262 19.9988 0.0453873 292.057 1.45473 
1.09 -36.2362 0.0143358 0.050542 0.113288 19.8874 0.0493145 285.588 1.47985 
1.1 -36.0389 0.0139066 0.061142 0.110173 19.7889 0.0453577 278.631 1.40963 
1.11 -35.8479 0.0127883 0.050472 0.106333 19.6593 0.0458426 272.515 1.39847 
1.12 -35.6473 0.0114724 0.087732 0.103907 19.5141 0.0438621 264.83 1.37648 
1.13 -35.4504 0.0105931 0.086228 0.0934332 19.3945 0.0476034 257.916 1.38704 
1.14 -35.2562 0.0115095 0.082148 0.0768311 19.2731 0.0532638 251.606 1.32326 
1.15 -35.0627 0.0106626 0.065564 0.0784084 19.1562 0.0519049 245.463 1.23375 
1.16 -34.8694 0.00926549 0.057516 0.0811203 19.0199 0.0460044 240.091 1.1179 
1.17 -34.6831 0.0104783 0.081856 0.0815719 18.8929 0.0423425 234.893 1.19889 
1.18 -34.4927 0.0108286 0.066292 0.0904148 18.7617 0.0394383 229.493 1.14828 
1.19 -34.3062 0.0105444 0.073468 0.0893999 18.6601 0.0383435 224.875 1.1588 
1.2 -34.1184 0.0108967 0.080884 0.0948018 18.5369 0.0325162 219.462 1.09463 
1.21 -33.9336 0.0107098 0.070518 0.0968522 18.4191 0.030746 214.536 0.94896 
1.22 -33.7527 0.0100728 0.072266 0.0916606 18.2558 0.0304234 209.849 0.946249 
1.23 -33.5744 0.0112541 0.092108 0.0865107 18.1293 0.0309375 205.591 0.908367 
1.24 -33.397 0.011256 0.108808 0.0851503 17.9891 0.0301847 201.441 0.963336 
1.25 -33.2141 0.0112203 0.113894 0.0804912 17.8634 0.0295957 197.514 0.972449 
1.26 -33.0342 0.0114716 0.09486 0.0724722 17.7282 0.0296972 193.365 0.954568 
1.27 -32.8596 0.0115353 0.07812 0.0732222 17.5812 0.0331791 189.442 0.971764 
1.28 -32.6842 0.0109429 0.082118 0.0714107 17.453 0.0341999 185.396 0.841223 
1.29 -32.5135 0.0108936 0.066458 0.0698401 17.3129 0.0314936 181.774 0.806237 
1.3 -32.3345 0.0113978 0.047014 0.0679838 17.1954 0.0317108 178.003 0.794919 
1.31 -32.1633 0.0111105 0.023242 0.069954 17.0531 0.0296437 174.689 0.812516 
1.32 -31.9898 0.0117697 0.002482 0.0651573 16.9398 0.0272164 171.12 0.812362 
1.33 -31.8218 0.0117987 -0.001006 0.0639554 16.7994 0.026376 167.977 0.802304 
1.34 -31.6577 0.0113932 0.007346 0.0679979 16.6591 0.0256234 164.924 0.89566 
1.35 -31.492 0.010928 -0.0108 0.0684493 16.5528 0.026953 162.126 0.906575 
