#BLOCK ACTUAL AVE ERROR
1 0.27636 0.27636 0
2 0.17072 0.22354 0.0373494
3 0.12808 0.19172 0.0359861
4 -0.13724 0.10948 0.0761643
5 0.14168 0.11592 0.0612031
6 -0.12736 0.0753733 0.0630182
7 0.2418 0.0991486 0.0583283
8 0.00276 0.0871 0.0522669
9 -0.12772 0.0632311 0.0516227
10 0.22612 0.07952 0.0489629
11 -0.10564 0.0626873 0.0473168
12 -0.03768 0.0543233 0.0441067
13 0.11708 0.0591508 0.0409772
14 0.08084 0.0607 0.0380796
15 -0.3102 0.0359733 0.0428229
16 0.15928 0.04368 0.0408341
17 -0.05184 0.0380612 0.0388167
18 -0.10996 0.0298378 0.0375212
19 0.01008 0.0287979 0.0355608
20 0.01016 0.027866 0.033795
