#BLOCK ACTUAL AVE ERROR
1 9.86166 9.86166 0
2 9.7714 9.81653 0.0319104
3 9.93871 9.85726 0.0394753
4 9.82659 9.84959 0.030342
5 9.83669 9.84701 0.024383
6 9.76498 9.83334 0.0238464
7 9.87996 9.84 0.0213498
8 9.82429 9.83804 0.0187712
9 9.82266 9.83633 0.0167631
10 9.70471 9.82317 0.0195835
11 9.83158 9.82393 0.0178182
12 9.88247 9.82881 0.0169879
13 9.94033 9.83739 0.0177153
14 9.78391 9.83357 0.0168567
15 9.83884 9.83392 0.0157366
16 9.72282 9.82697 0.0162127
17 9.79744 9.82524 0.0153518
18 9.79798 9.82372 0.0145735
19 9.82112 9.82359 0.0138071
20 9.99527 9.83217 0.0155581
