#BLOCK ACTUAL AVE ERROR
1 69.3428 69.3428 0
2 66.8197 68.0813 0.892072
3 67.6622 67.9416 0.60555
4 68.1476 67.9931 0.456349
5 66.6196 67.7184 0.440058
6 67.0657 67.6096 0.379923
7 67.1472 67.5436 0.331341
8 68.0211 67.6033 0.295251
9 69.1968 67.7803 0.31104
10 69.6064 67.9629 0.329202
11 67.9906 67.9654 0.299285
12 66.9234 67.8786 0.286664
13 68.218 67.9047 0.2658
14 67.4694 67.8736 0.248626
15 68.318 67.9032 0.23381
16 67.943 67.9057 0.21921
17 68.0432 67.9138 0.206464
18 69.6992 68.013 0.217519
19 67.2053 67.9705 0.210184
20 69.5558 68.0498 0.214101
