#BLOCK ACTUAL AVE ERROR
1 -23.1039 -23.1039 0
2 -23.1219 -23.1129 0.00636396
3 -23.1182 -23.1147 0.00447592
4 -23.1358 -23.12 0.00568187
5 -23.1282 -23.1216 0.00477631
6 -23.15 -23.1263 0.00587476
7 -23.1199 -23.1254 0.00510645
8 -23.1102 -23.1235 0.00481112
9 -23.1162 -23.1227 0.00434384
10 -23.1082 -23.1213 0.00414321
11 -23.1531 -23.1242 0.00467067
12 -23.0445 -23.1175 0.00766413
13 -23.0978 -23.116 0.00722364
14 -23.073 -23.1129 0.00733033
15 -23.0704 -23.1101 0.00736952
16 -23.1162 -23.1105 0.00691894
17 -23.0938 -23.1095 0.00658077
18 -23.1573 -23.1122 0.00672934
19 -23.1277 -23.113 0.0064246
20 -23.1596 -23.1153 0.00651273
