T U Err_U M Err_M Cv Err_Cv X Err_X
0.5 -50.1387 0.0269696 44.1702 0.501148 13.6746 0.369657 4488.47 21.4387 
0.51 -50.0034 0.0271115 43.0152 0.551706 14.9555 0.332371 4325.21 19.4292 
0.52 -49.8743 0.0286482 42.5363 0.502612 16.0456 0.336157 4166.87 19.7995 
0.53 -49.7117 0.0328323 41.5627 0.500079 17.3117 0.332585 3996.31 22.715 
0.54 -49.5353 0.0321181 40.5284 0.540232 18.5591 0.304067 3824.94 20.4205 
0.55 -49.3686 0.0281191 39.8274 0.430399 19.6875 0.232256 3671.48 18.5746 
0.56 -49.1629 0.0271913 38.6759 0.391854 20.895 0.175189 3499 18.5215 
0.57 -48.944 0.028254 37.1826 0.479738 22.0025 0.176399 3339.28 19.2355 
0.58 -48.716 0.0338404 36.0137 0.503403 22.8104 0.168565 3170.16 22.1094 
0.59 -48.442 0.0322075 34.4238 0.554762 23.7514 0.136175 2982.77 19.8602 
0.6 -48.2007 0.033023 33.2363 0.486901 24.4621 0.127263 2827.2 20.7889 
0.61 -47.9675 0.0323917 32.0471 0.465191 24.879 0.129525 2682.4 19.6337 
0.62 -47.7152 0.0325175 30.7345 0.42183 25.2703 0.158163 2535.62 19.2332 
0.63 -47.4811 0.0321711 29.7687 0.386922 25.4441 0.16075 2407.51 18.3189 
0.64 -47.1986 0.0314849 28.3066 0.346762 25.8031 0.141956 2256.29 18.2406 
0.65 -46.9332 0.0313389 27.1723 0.376802 26.0524 0.149155 2126.55 16.5072 
0.66 -46.6506 0.0281892 25.8148 0.297599 26.2789 0.147804 2000.63 13.2848 
0.67 -46.3788 0.0341954 24.7366 0.350924 26.3163 0.165923 1879.71 17.1422 
0.68 -46.1176 0.0292925 23.7895 0.280213 26.3552 0.161557 1776.18 15.2832 
0.69 -45.8655 0.0299179 22.947 0.261788 26.2796 0.151757 1680.94 14.6149 
0.7 -45.6062 0.034001 22.0493 0.335094 26.1804 0.147479 1589.79 14.7743 
0.71 -45.3566 0.035789 21.2339 0.376921 26.1027 0.150894 1507.97 15.1097 
0.72 -45.0888 0.0368709 20.2026 0.382807 25.8772 0.157321 1419.72 14.5423 
0.73 -44.8262 0.0338615 19.3776 0.367894 25.668 0.155104 1338.58 13.5511 
0.74 -44.5725 0.0314414 18.4916 0.376414 25.5157 0.160691 1269.81 12.3526 
0.75 -44.3178 0.0318165 17.7851 0.353466 25.3295 0.141142 1202.45 12.2857 
0.76 -44.06 0.0304957 16.9773 0.33445 25.2726 0.171424 1142.91 12.0966 
0.77 -43.8159 0.0307957 16.3191 0.361689 25.2003 0.162497 1084.07 11.7623 
0.78 -43.556 0.0304863 15.6331 0.345635 25.0281 0.146272 1025.85 10.9981 
0.79 -43.3179 0.0288902 15.1018 0.322591 24.9205 0.155181 977.455 10.7303 
0.8 -43.0722 0.028604 14.6314 0.306128 24.8369 0.154116 932.776 9.99774 
0.81 -42.8237 0.0284738 14.0095 0.303042 24.6597 0.155379 888.86 9.77377 
0.82 -42.5893 0.0274203 13.4905 0.279107 24.5598 0.153683 850.865 9.08644 
0.83 -42.3268 0.0292612 12.9557 0.25752 24.4288 0.158924 808.377 8.62454 
0.84 -42.0816 0.0287602 12.5842 0.268277 24.2427 0.148292 769.472 8.34075 
0.85 -41.8316 0.0280857 12.0465 0.24386 24.0764 0.128967 733.072 7.37881 
0.86 -41.5929 0.02619 11.7193 0.224785 23.9296 0.120574 699.848 6.4874 
0.87 -41.3547 0.022785 11.404 0.205199 23.8397 0.0991965 672.375 6.14257 
0.88 -41.1116 0.0224062 10.961 0.195969 23.6921 0.0919408 640.439 5.8705 
0.89 -40.8781 0.021667 10.646 0.206037 23.5306 0.0796524 615.634 5.0155 
0.9 -40.6439 0.0199037 10.2451 0.195682 23.3842 0.0668914 590.841 4.24269 
0.91 -40.4112 0.019001 9.84023 0.189329 23.2884 0.0584775 566.874 4.46076 
0.92 -40.1819 0.0172849 9.535 0.19876 23.1225 0.054346 545.849 3.92288 
0.93 -39.9539 0.0159028 9.24457 0.182322 23.0119 0.0462542 526.236 3.87303 
0.94 -39.7227 0.0137141 8.858 0.172543 22.8587 0.0406903 505.892 3.26658 
0.95 -39.4924 0.0140548 8.55013 0.168517 22.7367 0.0522344 487.987 3.12125 
0.96 -39.2706 0.0137855 8.2492 0.156455 22.544 0.0530608 470.761 2.75691 
0.97 -39.0438 0.0127077 7.95821 0.145413 22.4195 0.0627227 454.23 2.49421 
0.98 -38.8186 0.0120319 7.73816 0.148724 22.2767 0.0647132 438.936 2.45261 
0.99 -38.5922 0.0126106 7.51952 0.146111 22.0843 0.0524429 424.415 2.50444 
1 -38.3702 0.0124642 7.26434 0.128169 21.9245 0.0521715 409.63 2.05423 
1.01 -38.1511 0.0115873 7.07716 0.144536 21.7554 0.0497748 396.828 1.8168 
1.02 -37.9285 0.0131278 6.83619 0.143865 21.6114 0.0493082 382.837 2.16194 
1.03 -37.717 0.0124851 6.66376 0.125917 21.4528 0.0496046 372.089 1.99833 
1.04 -37.503 0.0127969 6.51805 0.112568 21.3082 0.0480316 359.916 1.82226 
1.05 -37.2883 0.0143071 6.38987 0.113863 21.168 0.0441478 348.715 2.01345 
1.06 -37.0724 0.0141102 6.20517 0.112965 21.0358 0.0470254 338.192 1.81616 
1.07 -36.8707 0.0151546 6.04581 0.114784 20.8791 0.0405977 328.489 1.93905 
1.08 -36.6667 0.0151314 5.91803 0.10798 20.7435 0.0429885 319.781 2.11169 
1.09 -36.4555 0.0158278 5.73435 0.10568 20.5753 0.041997 310.067 2.06608 
1.1 -36.2551 0.015177 5.56754 0.1011 20.4101 0.0376113 302.437 2.03077 
1.11 -36.052 0.0149544 5.47315 0.0982369 20.2895 0.037328 294.381 1.77506 
1.12 -35.8498 0.0134815 5.33102 0.0851314 20.1254 0.0373398 286.642 1.53552 
1.13 -35.6468 0.0139531 5.18205 0.0818697 19.9685 0.0417533 277.817 1.61824 
1.14 -35.4508 0.0135101 5.08117 0.0773682 19.8546 0.0469439 270.866 1.68815 
1.15 -35.2502 0.013497 4.94881 0.0681117 19.6567 0.0485689 263.289 1.43129 
1.16 -35.0534 0.0136042 4.81996 0.0700055 19.5187 0.0448442 257.005 1.35907 
1.17 -34.8583 0.0125503 4.69734 0.0745384 19.3657 0.04023 251.009 1.22117 
1.18 -34.6649 0.0129783 4.59719 0.0755668 19.233 0.037794 244.821 1.27707 
1.19 -34.4767 0.0134991 4.49156 0.0830794 19.101 0.0349293 239.066 1.33812 
1.2 -34.2878 0.0125562 4.43005 0.0797003 18.9592 0.0340294 233.865 1.25607 
1.21 -34.1011 0.0122959 4.33971 0.0790364 18.7994 0.0313721 228.64 1.16016 
1.22 -33.9114 0.0126145 4.22836 0.0767126 18.6473 0.0313698 223.228 1.08886 
1.23 -33.7243 0.0127874 4.14562 0.0701948 18.4847 0.0334783 218.242 1.09113 
1.24 -33.5382 0.0136883 4.05814 0.0681612 18.3468 0.0276531 213.201 0.96139 
1.25 -33.3565 0.0138554 3.97898 0.0698581 18.182 0.027943 208.121 0.933284 
1.26 -33.1758 0.0128236 3.9058 0.0701576 18.0465 0.0309521 203.682 0.958943 
1.27 -32.9946 0.012534 3.84026 0.0664556 17.9236 0.0342239 199.25 0.89692 
1.28 -32.816 0.0132247 3.75086 0.0669785 17.7593 0.0312702 194.896 0.925962 
1.29 -32.6372 0.0131117 3.66818 0.0662607 17.6008 0.0322971 190.557 0.999297 
1.3 -32.4655 0.0132583 3.57984 0.0647103 17.4584 0.0289323 186.622 0.946828 
1.31 -32.2839 0.0132829 3.50697 0.0630747 17.3241 0.028334 182.842 0.920952 
1.32 -32.108 0.0127489 3.41849 0.0605499 17.17 0.0269973 178.881 0.896988 
1.33 -31.9401 0.0122456 3.3496 0.0611074 17.0452 0.0263433 175.115 0.88592 
1.34 -31.7666 0.0122326 3.28904 0.0629553 16.8986 0.0280905 171.941 0.858067 
1.35 -31.6033 0.0117355 3.21849 0.0610605 16.7603 0.0274912 168.811 0.901732 
1.36 -31.4329 0.0123417 3.14743 0.0655142 16.6351 0.0284677 165.584 0.822623 
1.37 -31.2634 0.0124538 3.0995 0.0619309 16.504 0.0313821 162.358 0.831415 
1.38 -31.1013 0.0123789 3.04522 0.0628338 16.361 0.0314962 159.473 0.855813 
1.39 -30.9392 0.0126418 3.01104 0.0595821 16.2306 0.0328674 156.743 0.799702 
1.4 -30.7736 0.0127038 2.96131 0.0557953 16.0852 0.0302861 153.924 0.771161 
1.41 -30.6116 0.0126202 2.91557 0.0549261 15.9528 0.0325048 151.122 0.780764 
1.42 -30.4503 0.0120879 2.86675 0.0546192 15.8205 0.0327768 148.494 0.74684 
1.43 -30.2903 0.0115169 2.82222 0.0540028 15.693 0.0332831 145.706 0.722726 
1.44 -30.1322 0.0121089 2.77339 0.0530706 15.5685 0.0318656 143.18 0.723721 
1.45 -29.9764 0.0119371 2.73016 0.0471155 15.4413 0.0323169 140.679 0.667833 
1.46 -29.8219 0.0118808 2.67411 0.0485807 15.3159 0.032709 138.185 0.647235 
1.47 -29.6684 0.0122021 2.6236 0.0460949 15.1862 0.0323243 135.887 0.606399 
1.48 -29.5179 0.0117493 2.57689 0.0486614 15.0584 0.0313136 133.451 0.592295 
1.49 -29.3691 0.0114989 2.52781 0.0469552 14.9343 0.0304524 131.285 0.620731 
1.5 -29.2212 0.0116086 2.49444 0.0471955 14.8152 0.0294371 129.279 0.579117 
1.51 -29.0744 0.0118021 2.46671 0.0477386 14.6947 0.0268134 127.298 0.590573 
1.52 -28.922 0.0115403 2.42779 0.0485217 14.5699 0.0245493 125.305 0.564938 
1.53 -28.7766 0.0119683 2.39078 0.0481014 14.4468 0.0234652 123.289 0.515821 
1.54 -28.6342 0.0119524 2.35444 0.0453687 14.3324 0.0216867 121.416 0.527878 
1.55 -28.4933 0.0116351 2.3132 0.0435636 14.2298 0.0229874 119.61 0.489095 
1.56 -28.3492 0.0109851 2.29694 0.0440837 14.1151 0.0226444 117.799 0.492639 
1.57 -28.2079 0.0110626 2.26499 0.0437482 13.9933 0.0217099 116.199 0.494729 
1.58 -28.0689 0.0104029 2.22998 0.0444968 13.8692 0.0192001 114.472 0.462212 
1.59 -27.9322 0.00980719 2.20036 0.0459105 13.753 0.0190899 112.762 0.464557 
1.6 -27.7925 0.0104458 2.16015 0.0460564 13.6445 0.0193459 111.192 0.460559 
1.61 -27.6552 0.010279 2.13054 0.0448234 13.5292 0.0186267 109.627 0.426291 
1.62 -27.5228 0.0103796 2.10857 0.0456955 13.4164 0.0198179 108.255 0.422488 
1.63 -27.389 0.0106207 2.09343 0.044685 13.3066 0.0193799 106.727 0.407944 
1.64 -27.2569 0.0103639 2.07024 0.0435824 13.2044 0.0187573 105.298 0.404189 
1.65 -27.124 0.0105571 2.04318 0.0433543 13.0908 0.0189102 103.848 0.392449 
1.66 -26.9972 0.0100774 2.00756 0.0423981 12.9776 0.0203189 102.419 0.380196 
1.67 -26.869 0.00937496 1.98242 0.0417964 12.8675 0.0199933 100.983 0.366677 
1.68 -26.7403 0.00888898 1.95575 0.0405829 12.7605 0.0208376 99.6885 0.351485 
1.69 -26.6135 0.00834828 1.92601 0.0399388 12.6653 0.0203847 98.3716 0.363317 
1.7 -26.4887 0.00867626 1.90152 0.0395936 12.5539 0.0212351 97.1101 0.353179 
1.71 -26.3641 0.00862185 1.88533 0.0379769 12.4506 0.0206922 95.8774 0.351517 
1.72 -26.2381 0.00897158 1.86034 0.0390349 12.3514 0.0196998 94.6345 0.334201 
1.73 -26.1157 0.00968636 1.84016 0.0379984 12.2492 0.0192709 93.3378 0.31865 
1.74 -25.9941 0.00980892 1.82631 0.0386323 12.1502 0.0192722 92.2459 0.298047 
1.75 -25.8715 0.0093994 1.81329 0.0383466 12.057 0.018304 91.1676 0.28353 
1.76 -25.7537 0.00934691 1.7859 0.038895 11.9591 0.0179752 90.0062 0.269616 
1.77 -25.6325 0.00951597 1.76447 0.0375963 11.8637 0.0168059 88.8295 0.251306 
1.78 -25.5138 0.00952063 1.74839 0.0367157 11.7754 0.0160878 87.8112 0.259575 
1.79 -25.3981 0.00964398 1.72255 0.0348253 11.6773 0.0147159 86.7838 0.243093 
1.8 -25.2835 0.00939536 1.70589 0.0349563 11.5809 0.0139187 85.6958 0.237455 
1.81 -25.1683 0.00926084 1.69473 0.0346206 11.4846 0.0148774 84.704 0.242016 
1.82 -25.0552 0.00910397 1.67685 0.0347824 11.3897 0.0151784 83.7827 0.232601 
1.83 -24.9433 0.00876241 1.66396 0.0337547 11.3029 0.015606 82.8508 0.24929 
1.84 -24.8322 0.00851847 1.63781 0.0326039 11.2107 0.0160177 81.8056 0.234276 
1.85 -24.7206 0.00836727 1.61594 0.0324641 11.1185 0.015926 80.8276 0.239658 
1.86 -24.6108 0.0086153 1.59354 0.0343835 11.0262 0.0179634 79.9287 0.242495 
1.87 -24.502 0.00833992 1.57695 0.0334897 10.938 0.016943 79.0335 0.244607 
1.88 -24.3928 0.00860955 1.55046 0.0317205 10.8529 0.0164826 78.1228 0.24116 
1.89 -24.2853 0.00834482 1.54199 0.0333127 10.7692 0.0153823 77.2999 0.233257 
1.9 -24.1784 0.00849731 1.5255 0.0338415 10.687 0.0163014 76.4427 0.229292 
1.91 -24.0714 0.00863906 1.50786 0.0324228 10.5978 0.017148 75.5996 0.233245 
1.92 -23.9679 0.00853217 1.49194 0.0337449 10.5104 0.0169595 74.8232 0.22696 
1.93 -23.8654 0.00880366 1.47898 0.0331735 10.4316 0.0159508 74.0405 0.214875 
1.94 -23.7641 0.00896729 1.46488 0.0338036 10.3516 0.0153768 73.2619 0.22289 
1.95 -23.6601 0.00831311 1.44509 0.0322206 10.2749 0.0152515 72.4866 0.213063 
1.96 -23.5579 0.00800308 1.43363 0.03412 10.1973 0.0151609 71.7368 0.204498 
