#BLOCK ACTUAL AVE ERROR
1 1.6114 1.6114 0
2 1.51416 1.56278 0.0343795
3 1.47944 1.535 0.0322459
4 1.20192 1.45173 0.0760612
5 1.47356 1.4561 0.0609741
6 1.22992 1.4184 0.0613677
7 1.60296 1.44477 0.0579888
8 1.37396 1.43592 0.0514112
9 1.21744 1.41164 0.0511095
10 1.59472 1.42995 0.0491684
11 1.2706 1.41546 0.0467839
12 1.3152 1.40711 0.0436249
13 1.48064 1.41276 0.0406342
14 1.42708 1.41379 0.0377446
15 1.0518 1.38965 0.0422443
16 1.45972 1.39403 0.0398304
17 1.22 1.3838 0.0387807
18 1.2966 1.37895 0.0369275
19 1.37296 1.37864 0.0349853
20 1.35336 1.37737 0.0332589
