#BLOCK ACTUAL AVE ERROR
1 9.89814 9.89814 0
2 9.857 9.87757 0.0145438
3 10.012 9.92237 0.0378418
4 9.85052 9.9044 0.032365
5 9.88519 9.90056 0.0261191
6 9.81355 9.88606 0.0254756
7 9.92305 9.89135 0.0223777
8 9.85505 9.88681 0.0200352
9 9.92044 9.89054 0.0181542
10 9.77027 9.87852 0.0199285
11 9.92761 9.88298 0.0186099
12 9.94042 9.88777 0.0176639
13 9.98291 9.89509 0.0177566
14 9.82556 9.89012 0.0171688
15 9.89055 9.89015 0.0160242
16 9.75904 9.88195 0.0169891
17 9.83255 9.87905 0.0162364
18 9.87472 9.87881 0.0153362
19 9.90162 9.88001 0.0145759
20 10.011 9.88656 0.0152477
