#BLOCK ACTUAL AVE ERROR
1 70.1701 70.1701 0
2 68.1639 69.167 0.709299
3 68.4539 68.9293 0.511145
4 68.4709 68.8147 0.396
5 67.605 68.5728 0.383655
6 68.1245 68.4981 0.326906
7 68.1967 68.455 0.283026
8 68.7088 68.4867 0.249418
9 69.8425 68.6374 0.263295
10 70.4123 68.8149 0.2907
11 68.1576 68.7551 0.270343
12 67.5966 68.6586 0.264491
13 68.8638 68.6744 0.244616
14 68.4469 68.6581 0.227682
15 69.0296 68.6829 0.213846
16 68.4899 68.6708 0.200821
17 68.5198 68.6619 0.189205
18 70.527 68.7656 0.205112
19 68.1666 68.734 0.196724
20 70.4942 68.822 0.205634
