#BLOCK ACTUAL AVE ERROR
1 -23.1482 -23.1482 0
2 -23.178 -23.1631 0.0105413
3 -23.1487 -23.1583 0.00805004
4 -23.17 -23.1613 0.00654839
5 -23.1713 -23.1633 0.00553899
6 -23.1951 -23.1686 0.00668824
7 -23.1674 -23.1684 0.00573479
8 -23.1511 -23.1662 0.0054114
9 -23.1501 -23.1644 0.00509827
10 -23.1604 -23.164 0.00460468
11 -23.1638 -23.164 0.00418612
12 -23.0666 -23.1559 0.00866648
13 -23.1454 -23.1551 0.00803759
14 -23.1094 -23.1518 0.00809847
15 -23.1017 -23.1485 0.00821987
16 -23.1554 -23.1489 0.00771733
17 -23.1559 -23.1493 0.00727436
18 -23.1957 -23.1519 0.00731206
19 -23.1681 -23.1528 0.00697672
20 -23.2023 -23.1552 0.00705343
