T U Err_U M Err_M Cv Err_Cv X Err_X
0.5 -48.7142 0.0266345 -1.1064 1.55285 16.3141 0.218199 3955.67 26.3848 
0.51 -48.5399 0.0238105 1.60311 1.9386 17.2447 0.167355 3748.83 23.4748 
0.52 -48.3857 0.0274553 0.522738 1.70584 17.9365 0.172111 3573.71 25.8384 
0.53 -48.2082 0.0217017 1.34609 1.53671 18.654 0.148358 3385.97 19.0339 
0.54 -48.0139 0.0237224 -0.841492 1.35226 19.3382 0.144827 3196.44 20.8063 
0.55 -47.808 0.0247671 2.43661 1.02057 19.9225 0.137389 3007.46 22.1214 
0.56 -47.6026 0.0275614 0.250778 1.02838 20.2368 0.128769 2830.49 23.1491 
0.57 -47.4007 0.0273205 -0.390188 1.05884 20.5936 0.10514 2664.84 22.4056 
0.58 -47.2023 0.0245581 -0.457648 0.811189 20.8921 0.0993138 2516.83 19.6904 
0.59 -46.9954 0.0237199 -1.07337 0.781984 21.1661 0.0972306 2371.07 18.4647 
0.6 -46.7913 0.0262955 0.237768 1.14109 21.2754 0.0971926 2237.08 19.332 
0.61 -46.5804 0.0213363 0.287836 0.657382 21.351 0.130351 2108.13 15.9102 
0.62 -46.3651 0.0198544 -0.842414 0.563226 21.4649 0.118049 1983.88 16.0849 
0.63 -46.1379 0.0199941 -0.331666 0.547129 21.421 0.152707 1856.25 15.4933 
0.64 -45.9404 0.0213437 0.14873 0.762568 21.4797 0.127274 1757.99 14.8857 
0.65 -45.7071 0.0208543 -0.048766 0.548806 21.4125 0.104577 1638.09 14.5147 
0.66 -45.4949 0.0170907 0.61845 0.462121 21.4238 0.107427 1545.66 11.165 
0.67 -45.2739 0.0190815 0.148762 0.436536 21.3476 0.0825372 1457.79 12.0585 
0.68 -45.0719 0.0175897 -0.218664 0.430106 21.3765 0.106633 1382.52 10.5523 
0.69 -44.8814 0.0218968 -0.248218 0.295301 21.5207 0.144359 1325.91 14.7908 
0.7 -44.6455 0.0186747 0.41169 0.419379 21.5083 0.116765 1243.9 10.6559 
0.71 -44.4315 0.018917 -0.614338 0.460327 21.7024 0.100107 1187.55 9.26049 
0.72 -44.1938 0.0206762 -0.43906 0.461826 21.7928 0.101809 1120.17 10.066 
0.73 -43.9757 0.0175747 0.833406 0.302474 21.9459 0.0935274 1067.19 8.711 
0.74 -43.7539 0.015394 -0.120868 0.292 21.7412 0.112411 1009.77 7.75402 
0.75 -43.5356 0.014952 -0.23258 0.32768 21.9051 0.0800011 964.868 6.6466 
0.76 -43.3243 0.013298 -0.273886 0.253693 21.9367 0.103279 918.649 6.2568 
0.77 -43.0974 0.00984628 -0.456806 0.183361 21.9691 0.0995259 876.536 5.53212 
0.78 -42.8743 0.0110757 0.415292 0.209296 22.0355 0.0698741 837.235 4.14119 
0.79 -42.646 0.0163192 0.047656 0.248222 22.0472 0.0823205 799.993 4.60534 
0.8 -42.4229 0.0183799 -0.132076 0.17708 22.0032 0.0676358 762.877 5.4314 
0.81 -42.1964 0.0147851 -0.186016 0.167281 22.0265 0.0944871 730.584 4.10969 
0.82 -41.9687 0.0121484 -0.211954 0.187657 21.935 0.0871583 692.359 4.33027 
0.83 -41.7461 0.0128186 -0.209214 0.219101 21.9769 0.0656733 667.603 3.36503 
0.84 -41.5373 0.0109674 0.17117 0.155367 21.9741 0.0724987 642.707 4.15328 
0.85 -41.3191 0.00996256 0.255308 0.173293 22.0568 0.0755712 620.523 3.20251 
0.86 -41.1054 0.0122066 0.049832 0.17888 21.9932 0.0662301 595.881 2.59838 
0.87 -40.893 0.0121409 -0.003266 0.155892 21.9671 0.053608 575.859 3.585 
0.88 -40.6685 0.00985437 -0.141654 0.157657 21.9192 0.0609215 552.165 3.17679 
0.89 -40.4395 0.0105111 0.141582 0.166454 21.8429 0.0525277 529.276 3.02065 
0.9 -40.2269 0.0123254 0.138112 0.156944 21.7958 0.0469548 511.968 2.56409 
