#BLOCK ACTUAL AVE ERROR
1 0.07916 0.07916 0
2 0.00688 0.04302 0.0255548
3 0.11888 0.0683067 0.0267679
4 -0.0062 0.04968 0.0257538
5 0.14656 0.069056 0.0269226
6 -0.10576 0.03992 0.0347962
7 0.0126 0.0360171 0.0300434
8 -0.11684 0.01691 0.0317884
9 0.1126 0.0275422 0.0299818
10 -0.20152 0.004636 0.0346459
11 0.1042 0.0136873 0.0326572
12 0.10048 0.02092 0.0307263
13 -0.05796 0.0148523 0.0289556
14 0.05088 0.0174257 0.0270015
15 -0.16768 0.00508533 0.0278791
16 0.3384 0.0259175 0.0330148
17 0.17088 0.0344447 0.0321552
18 0.08296 0.03714 0.0304815
19 0.11956 0.0414779 0.0291843
20 0.09772 0.04429 0.0278602
