#BLOCK ACTUAL AVE ERROR
1 9.79138 9.79138 0
2 9.71866 9.75502 0.0257092
3 9.88265 9.79757 0.0387344
4 9.79259 9.79632 0.0290708
5 9.76083 9.78922 0.0241076
6 9.77669 9.78713 0.0201799
7 9.83107 9.79341 0.0182469
8 9.74648 9.78754 0.0168826
9 9.6769 9.77525 0.018962
10 9.79902 9.77763 0.0172142
11 9.87878 9.78682 0.0179378
12 9.85004 9.79209 0.0171992
13 9.79906 9.79263 0.0158845
14 9.75687 9.79007 0.0149539
15 9.72124 9.78548 0.0146441
16 9.80807 9.7869 0.0137967
17 9.87276 9.79195 0.0138788
18 9.8382 9.79452 0.0133435
19 9.90275 9.80021 0.0138038
20 9.92299 9.80635 0.014414
