#BLOCK ACTUAL AVE ERROR
1 68.5843 68.5843 0
2 68.424 68.5041 0.0566675
3 66.958 67.9888 0.422498
4 67.5879 67.8885 0.328545
5 68.7954 68.0699 0.308872
6 68.0146 68.0607 0.257531
7 68.8625 68.1753 0.244893
8 66.6662 67.9866 0.27758
9 67.1436 67.893 0.262064
10 66.2816 67.7318 0.281064
11 67.7092 67.7298 0.255521
12 68.765 67.816 0.248365
13 68.7932 67.8912 0.240365
14 67.1496 67.8382 0.228958
15 68.012 67.8498 0.213987
16 67.8652 67.8508 0.200615
17 68.5602 67.8925 0.193106
18 67.8112 67.888 0.182431
19 68.2548 67.9073 0.173848
20 67.424 67.8831 0.166826
