#BLOCK ACTUAL AVE ERROR
1 -23.1557 -23.1557 0
2 -23.1666 -23.1611 0.00384666
3 -23.0807 -23.1343 0.0220319
4 -23.1195 -23.1306 0.0168317
5 -23.0424 -23.113 0.0207452
6 -23.149 -23.119 0.0181339
7 -23.1329 -23.121 0.0156518
8 -23.0954 -23.1178 0.0140166
9 -23.0614 -23.1115 0.013786
10 -23.0742 -23.1078 0.0129014
11 -23.0845 -23.1057 0.0119012
12 -23.1491 -23.1093 0.0114471
13 -23.1418 -23.1118 0.0108357
14 -23.137 -23.1136 0.0102107
15 -23.1379 -23.1152 0.00965802
16 -23.1061 -23.1146 0.00907123
17 -23.1005 -23.1138 0.00857579
18 -23.077 -23.1118 0.0083401
19 -23.0982 -23.111 0.0079318
20 -23.0462 -23.1078 0.00817028
